i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.075173 	0.982438 	3.013457 	0.003336 	0.004052 	0.004205 	0.010830 
1 	17144.776957 	3.074730e+00 	9.724930e-01 	3.004064e+00 	3.370208e-03 	4.102389e-03 	4.260109e-03 	1.714378e+04 
2 	33603.837815 	3.074144e+00 	9.626202e-01 	2.994776e+00 	3.404795e-03 	4.153897e-03 	4.316620e-03 	1.645906e+04 
3 	49411.901117 	3.073432e+00 	9.528498e-01 	2.985621e+00 	3.439680e-03 	4.206045e-03 	4.373916e-03 	1.580806e+04 
4 	64603.120032 	3.072599e+00 	9.431813e-01 	2.976600e+00 	3.474856e-03 	4.258828e-03 	4.431995e-03 	1.519122e+04 
5 	79209.920188 	3.071646e+00 	9.336137e-01 	2.967713e+00 	3.510317e-03 	4.312242e-03 	4.490857e-03 	1.460680e+04 
6 	93263.058102 	3.070578e+00 	9.241460e-01 	2.958961e+00 	3.546057e-03 	4.366284e-03 	4.550498e-03 	1.405314e+04 
7 	106791.711012 	3.069398e+00 	9.147772e-01 	2.950346e+00 	3.582071e-03 	4.420947e-03 	4.610918e-03 	1.352865e+04 
8 	119823.562707 	3.068109e+00 	9.055063e-01 	2.941869e+00 	3.618350e-03 	4.476226e-03 	4.672113e-03 	1.303185e+04 
9 	132384.884939 	3.066713e+00 	8.963324e-01 	2.933530e+00 	3.654888e-03 	4.532114e-03 	4.734078e-03 	1.256132e+04 
10 	144500.614597 	3.065214e+00 	8.872544e-01 	2.925331e+00 	3.691676e-03 	4.588603e-03 	4.796806e-03 	1.211573e+04 
11 	156194.426753 	3.063614e+00 	8.782715e-01 	2.917273e+00 	3.728706e-03 	4.645682e-03 	4.860290e-03 	1.169381e+04 
12 	167488.803769 	3.061915e+00 	8.693826e-01 	2.909358e+00 	3.765968e-03 	4.703341e-03 	4.924520e-03 	1.129438e+04 
