i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.026188 	2.569932 	1.474948 	0.003401 	0.004406 	0.004595 	0.010830 
1 	17567.852008 	3.022115e+00 	2.554541e+00 	1.459974e+00 	3.464364e-03 	4.519636e-03 	4.721390e-03 	1.756685e+04 
2 	34381.714850 	3.017480e+00 	2.539246e+00 	1.445163e+00 	3.529837e-03 	4.639639e-03 	4.854465e-03 	1.681386e+04 
3 	50571.615018 	3.012323e+00 	2.524080e+00 	1.430555e+00 	3.597453e-03 	4.765701e-03 	4.994698e-03 	1.618990e+04 
4 	66277.215808 	3.006617e+00 	2.509033e+00 	1.416158e+00 	3.667352e-03 	4.898367e-03 	5.142759e-03 	1.570560e+04 
5 	81652.104727 	3.000324e+00 	2.494092e+00 	1.401983e+00 	3.739706e-03 	5.038282e-03 	5.299440e-03 	1.537489e+04 
6 	96873.258680 	2.993389e+00 	2.479240e+00 	1.388043e+00 	3.814725e-03 	5.186212e-03 	5.465678e-03 	1.522115e+04 
7 	112156.278681 	2.985736e+00 	2.464450e+00 	1.374361e+00 	3.892681e-03 	5.343084e-03 	5.642608e-03 	1.528302e+04 
8 	127781.399769 	2.977254e+00 	2.449682e+00 	1.360965e+00 	3.973937e-03 	5.510063e-03 	5.831641e-03 	1.562512e+04 
9 	144141.284312 	2.967776e+00 	2.434870e+00 	1.347901e+00 	4.059013e-03 	5.688667e-03 	6.034607e-03 	1.635988e+04 
10 	161837.333890 	2.957034e+00 	2.419902e+00 	1.335242e+00 	4.148710e-03 	5.881008e-03 	6.254020e-03 	1.769605e+04 
11 	181899.222129 	2.944558e+00 	2.404564e+00 	1.323117e+00 	4.244403e-03 	6.090318e-03 	6.493677e-03 	2.006189e+04 
12 	206382.482657 	2.929401e+00 	2.388395e+00 	1.311793e+00 	4.348826e-03 	6.322330e-03 	6.760205e-03 	2.448326e+04 
13 	240535.297206 	2.909161e+00 	2.370150e+00 	1.301986e+00 	4.468876e-03 	6.590064e-03 	7.068393e-03 	3.415281e+04 
14 	290920.460935 	2.881830e+00 	2.349830e+00 	1.297187e+00 	4.599099e-03 	6.871567e-03 	7.391769e-03 	5.038516e+04 
15 	346317.386593 	2.854028e+00 	2.331903e+00 	1.299232e+00 	4.705767e-03 	7.085731e-03 	7.635834e-03 	5.539693e+04 
16 	404324.166865 	2.825786e+00 	2.314729e+00 	1.305102e+00 	4.801377e-03 	7.264221e-03 	7.837413e-03 	5.800678e+04 
17 	462550.554827 	2.797424e+00 	2.297668e+00 	1.312885e+00 	4.892770e-03 	7.427189e-03 	8.020373e-03 	5.822639e+04 
18 	519495.230051 	2.769157e+00 	2.280427e+00 	1.321420e+00 	4.984100e-03 	7.587730e-03 	8.200353e-03 	5.694468e+04 
19 	574716.013091 	2.741138e+00 	2.262980e+00 	1.330437e+00 	5.075967e-03 	7.748166e-03 	8.380176e-03 	5.522078e+04 
20 	628030.949726 	2.713379e+00 	2.245232e+00 	1.339679e+00 	5.169579e-03 	7.912247e-03 	8.564342e-03 	5.331494e+04 
21 	679574.143314 	2.685930e+00 	2.227191e+00 	1.349249e+00 	5.264419e-03 	8.078493e-03 	8.751102e-03 	5.154319e+04 
22 	729368.556780 	2.658758e+00 	2.208772e+00 	1.359029e+00 	5.361341e-03 	8.249410e-03 	8.943464e-03 	4.979441e+04 
23 	777616.305585 	2.631901e+00 	2.189973e+00 	1.369177e+00 	5.459665e-03 	8.422911e-03 	9.138950e-03 	4.824775e+04 
24 	824351.886762 	2.605319e+00 	2.170699e+00 	1.379593e+00 	5.560283e-03 	8.601592e-03 	9.340679e-03 	4.673558e+04 
25 	869786.554443 	2.579054e+00 	2.150931e+00 	1.390464e+00 	5.662425e-03 	8.783028e-03 	9.545763e-03 	4.543467e+04 
26 	913938.699483 	2.553056e+00 	2.130564e+00 	1.401682e+00 	5.767134e-03 	8.970251e-03 	9.757857e-03 	4.415215e+04 
27 	957031.736173 	2.527380e+00 	2.109558e+00 	1.413477e+00 	5.873483e-03 	9.160291e-03 	9.973413e-03 	4.309304e+04 
28 	998972.974257 	2.502004e+00 	2.087831e+00 	1.425690e+00 	5.982613e-03 	9.356706e-03 	1.019676e-02 	4.194124e+04 
29 	1038159.862065 	2.478066e+00 	2.066321e+00 	1.437932e+00 	6.088964e-03 	9.548518e-03 	1.041527e-02 	3.918689e+04 
30 	1074809.046848 	2.455545e+00 	2.045051e+00 	1.450222e+00 	6.192125e-03 	9.734599e-03 	1.062760e-02 	3.664918e+04 
31 	1109098.754981 	2.434339e+00 	2.024010e+00 	1.462482e+00 	6.292550e-03 	9.916276e-03 	1.083533e-02 	3.428971e+04 
32 	1141247.982964 	2.414413e+00 	2.003208e+00 	1.474765e+00 	6.389773e-03 	1.009208e-02 	1.103668e-02 	3.214923e+04 
33 	1171414.645004 	2.395652e+00 	1.982629e+00 	1.487008e+00 	6.484313e-03 	1.026341e-02 	1.123329e-02 	3.016666e+04 
34 	1199777.632511 	2.378018e+00 	1.962283e+00 	1.499259e+00 	6.575773e-03 	1.042894e-02 	1.142357e-02 	2.836299e+04 
35 	1226469.523931 	2.361397e+00 	1.942155e+00 	1.511465e+00 	6.664670e-03 	1.059000e-02 	1.160905e-02 	2.669189e+04 
36 	1251632.486476 	2.345747e+00 	1.922253e+00 	1.523662e+00 	6.750739e-03 	1.074562e-02 	1.178857e-02 	2.516296e+04 
37 	1275377.992769 	2.330961e+00 	1.902564e+00 	1.535809e+00 	6.834431e-03 	1.089691e-02 	1.196339e-02 	2.374551e+04 
38 	1297818.871304 	2.316994e+00 	1.883092e+00 	1.547927e+00 	6.915629e-03 	1.104333e-02 	1.213284e-02 	2.244088e+04 
39 	1319048.713663 	2.303754e+00 	1.863829e+00 	1.559989e+00 	6.994693e-03 	1.118569e-02 	1.229787e-02 	2.122984e+04 
40 	1339157.859865 	2.291191e+00 	1.844775e+00 	1.572005e+00 	7.071628e-03 	1.132382e-02 	1.245821e-02 	2.010915e+04 
41 	1358224.536310 	2.279230e+00 	1.825926e+00 	1.583957e+00 	7.146711e-03 	1.145831e-02 	1.261456e-02 	1.906668e+04 
42 	1376321.999398 	2.267821e+00 	1.807279e+00 	1.595846e+00 	7.220027e-03 	1.158922e-02 	1.276695e-02 	1.809746e+04 
43 	1393515.444306 	2.256904e+00 	1.788831e+00 	1.607661e+00 	7.291791e-03 	1.171697e-02 	1.291587e-02 	1.719344e+04 
44 	1409865.020350 	2.246431e+00 	1.770580e+00 	1.619401e+00 	7.362125e-03 	1.184177e-02 	1.306151e-02 	1.634958e+04 
