i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.571431 	2.474205 	4.025432 	0.002925 	0.003130 	0.003152 	0.010830 
1 	7072.031814 	5.656456e-01 	2.462765e+00 	4.014003e+00 	2.961415e-03 	3.170609e-03 	3.192563e-03 	7.071032e+03 
2 	13872.083863 	5.599072e-01 	2.451395e+00 	4.002644e+00 	2.998004e-03 	3.211355e-03 	3.233837e-03 	6.800052e+03 
3 	20412.101842 	5.542274e-01 	2.440117e+00 	3.991377e+00 	3.034875e-03 	3.252448e-03 	3.275469e-03 	6.540018e+03 
4 	26703.065720 	5.486056e-01 	2.428930e+00 	3.980201e+00 	3.072029e-03 	3.293889e-03 	3.317458e-03 	6.290964e+03 
5 	32755.459862 	5.430414e-01 	2.417833e+00 	3.969115e+00 	3.109466e-03 	3.335677e-03 	3.359806e-03 	6.052394e+03 
6 	38579.291110 	5.375340e-01 	2.406826e+00 	3.958118e+00 	3.147185e-03 	3.377814e-03 	3.402513e-03 	5.823831e+03 
7 	44184.111916 	5.320829e-01 	2.395906e+00 	3.947210e+00 	3.185186e-03 	3.420300e-03 	3.445579e-03 	5.604821e+03 
8 	49579.042370 	5.266875e-01 	2.385074e+00 	3.936389e+00 	3.223469e-03 	3.463134e-03 	3.489006e-03 	5.394930e+03 
9 	54772.791087 	5.213473e-01 	2.374329e+00 	3.925654e+00 	3.262035e-03 	3.506319e-03 	3.532794e-03 	5.193749e+03 
10 	59773.675039 	5.160617e-01 	2.363669e+00 	3.915005e+00 	3.300883e-03 	3.549854e-03 	3.576944e-03 	5.000884e+03 
11 	64589.638370 	5.108300e-01 	2.353093e+00 	3.904440e+00 	3.340013e-03 	3.593740e-03 	3.621456e-03 	4.815963e+03 
12 	69228.270256 	5.056518e-01 	2.342602e+00 	3.893959e+00 	3.379424e-03 	3.637978e-03 	3.666332e-03 	4.638632e+03 
13 	73696.821863 	5.005265e-01 	2.332193e+00 	3.883561e+00 	3.419117e-03 	3.682567e-03 	3.711571e-03 	4.468552e+03 
14 	78002.222442 	4.954536e-01 	2.321867e+00 	3.873245e+00 	3.459092e-03 	3.727508e-03 	3.757174e-03 	4.305401e+03 
15 	82151.094621 	4.904325e-01 	2.311621e+00 	3.863011e+00 	3.499347e-03 	3.772802e-03 	3.803142e-03 	4.148872e+03 
16 	86149.768920 	4.854626e-01 	2.301456e+00 	3.852856e+00 	3.539884e-03 	3.818449e-03 	3.849475e-03 	3.998674e+03 
17 	90004.297545 	4.805435e-01 	2.291370e+00 	3.842781e+00 	3.580701e-03 	3.864449e-03 	3.896174e-03 	3.854529e+03 
18 	93720.467487 	4.756747e-01 	2.281363e+00 	3.832785e+00 	3.621799e-03 	3.910803e-03 	3.943240e-03 	3.716170e+03 
19 	97303.812972 	4.708555e-01 	2.271434e+00 	3.822866e+00 	3.663177e-03 	3.957511e-03 	3.990672e-03 	3.583345e+03 
