i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.228420 	0.136643 	3.706005 	0.003341 	0.004003 	0.004163 	0.010830 
1 	12334.087862 	3.227745e+00 	1.352800e-01 	3.705158e+00 	3.345896e-03 	4.009016e-03 	4.169946e-03 	1.233309e+04 
2 	24603.413060 	3.227070e+00 	1.339305e-01 	3.704327e+00 	3.350564e-03 	4.015348e-03 	4.176854e-03 	1.226933e+04 
3 	36810.011410 	3.226393e+00 	1.325945e-01 	3.703512e+00 	3.355192e-03 	4.021625e-03 	4.183703e-03 	1.220660e+04 
4 	48954.912210 	3.225716e+00 	1.312718e-01 	3.702712e+00 	3.359780e-03 	4.027847e-03 	4.190492e-03 	1.214490e+04 
5 	61039.125365 	3.225038e+00 	1.299624e-01 	3.701927e+00 	3.364328e-03 	4.034014e-03 	4.197221e-03 	1.208421e+04 
6 	73063.641818 	3.224360e+00 	1.286661e-01 	3.701157e+00 	3.368837e-03 	4.040127e-03 	4.203890e-03 	1.202452e+04 
7 	85029.433974 	3.223681e+00 	1.273828e-01 	3.700403e+00 	3.373307e-03 	4.046185e-03 	4.210501e-03 	1.196579e+04 
8 	96937.456107 	3.223002e+00 	1.261123e-01 	3.699663e+00 	3.377738e-03 	4.052189e-03 	4.217052e-03 	1.190802e+04 
9 	108788.644761 	3.222322e+00 	1.248545e-01 	3.698937e+00 	3.382131e-03 	4.058139e-03 	4.223545e-03 	1.185119e+04 
10 	120583.919143 	3.221641e+00 	1.236092e-01 	3.698226e+00 	3.386484e-03 	4.064035e-03 	4.229979e-03 	1.179527e+04 
11 	132324.181492 	3.220960e+00 	1.223765e-01 	3.697530e+00 	3.390800e-03 	4.069878e-03 	4.236355e-03 	1.174026e+04 
12 	144010.317479 	3.220279e+00 	1.211560e-01 	3.696848e+00 	3.395077e-03 	4.075668e-03 	4.242673e-03 	1.168614e+04 
13 	155643.196536 	3.219597e+00 	1.199478e-01 	3.696179e+00 	3.399317e-03 	4.081405e-03 	4.248933e-03 	1.163288e+04 
14 	167223.672224 	3.218915e+00 	1.187516e-01 	3.695525e+00 	3.403519e-03 	4.087089e-03 	4.255136e-03 	1.158048e+04 
15 	178752.582573 	3.218232e+00 	1.175674e-01 	3.694884e+00 	3.407683e-03 	4.092721e-03 	4.261282e-03 	1.152891e+04 
16 	190230.750415 	3.217549e+00 	1.163951e-01 	3.694257e+00 	3.411810e-03 	4.098301e-03 	4.267370e-03 	1.147817e+04 
17 	201658.983716 	3.216866e+00 	1.152344e-01 	3.693644e+00 	3.415901e-03 	4.103829e-03 	4.273402e-03 	1.142823e+04 
18 	213038.075889 	3.216182e+00 	1.140854e-01 	3.693043e+00 	3.419954e-03 	4.109305e-03 	4.279378e-03 	1.137909e+04 
19 	224368.806108 	3.215499e+00 	1.129478e-01 	3.692456e+00 	3.423971e-03 	4.114731e-03 	4.285298e-03 	1.133073e+04 
20 	235651.939609 	3.214815e+00 	1.118216e-01 	3.691882e+00 	3.427951e-03 	4.120105e-03 	4.291162e-03 	1.128313e+04 
21 	246888.227988 	3.214131e+00 	1.107067e-01 	3.691321e+00 	3.431895e-03 	4.125428e-03 	4.296970e-03 	1.123629e+04 
22 	258078.409486 	3.213446e+00 	1.096029e-01 	3.690772e+00 	3.435804e-03 	4.130702e-03 	4.302723e-03 	1.119018e+04 
23 	269223.209274 	3.212762e+00 	1.085102e-01 	3.690236e+00 	3.439676e-03 	4.135925e-03 	4.308422e-03 	1.114480e+04 
24 	280323.339721 	3.212077e+00 	1.074283e-01 	3.689712e+00 	3.443513e-03 	4.141098e-03 	4.314066e-03 	1.110013e+04 
25 	291379.500671 	3.211392e+00 	1.063573e-01 	3.689201e+00 	3.447315e-03 	4.146222e-03 	4.319655e-03 	1.105616e+04 
26 	302392.379696 	3.210707e+00 	1.052970e-01 	3.688702e+00 	3.451082e-03 	4.151296e-03 	4.325191e-03 	1.101288e+04 
27 	313362.652355 	3.210022e+00 	1.042473e-01 	3.688215e+00 	3.454814e-03 	4.156322e-03 	4.330673e-03 	1.097027e+04 
28 	324290.982441 	3.209337e+00 	1.032080e-01 	3.687740e+00 	3.458512e-03 	4.161298e-03 	4.336101e-03 	1.092833e+04 
29 	335178.022225 	3.208652e+00 	1.021792e-01 	3.687276e+00 	3.462175e-03 	4.166227e-03 	4.341477e-03 	1.088704e+04 
30 	346024.412694 	3.207967e+00 	1.011606e-01 	3.686825e+00 	3.465804e-03 	4.171108e-03 	4.346799e-03 	1.084639e+04 
31 	356830.783779 	3.207282e+00 	1.001522e-01 	3.686384e+00 	3.469399e-03 	4.175940e-03 	4.352070e-03 	1.080637e+04 
32 	367597.754583 	3.206597e+00 	9.915386e-02 	3.685955e+00 	3.472961e-03 	4.180726e-03 	4.357288e-03 	1.076697e+04 
33 	378325.933601 	3.205912e+00 	9.816550e-02 	3.685538e+00 	3.476489e-03 	4.185464e-03 	4.362454e-03 	1.072818e+04 
34 	389015.918937 	3.205226e+00 	9.718702e-02 	3.685131e+00 	3.479984e-03 	4.190156e-03 	4.367570e-03 	1.068999e+04 
35 	399668.298510 	3.204541e+00 	9.621831e-02 	3.684736e+00 	3.483447e-03 	4.194801e-03 	4.372634e-03 	1.065238e+04 
36 	410283.650263 	3.203856e+00 	9.525928e-02 	3.684351e+00 	3.486876e-03 	4.199400e-03 	4.377647e-03 	1.061535e+04 
37 	420862.542363 	3.203171e+00 	9.430982e-02 	3.683977e+00 	3.490273e-03 	4.203953e-03 	4.382610e-03 	1.057889e+04 
38 	431405.533395 	3.202487e+00 	9.336985e-02 	3.683614e+00 	3.493638e-03 	4.208460e-03 	4.387522e-03 	1.054299e+04 
39 	441913.172553 	3.201802e+00 	9.243927e-02 	3.683261e+00 	3.496971e-03 	4.212923e-03 	4.392385e-03 	1.050764e+04 
40 	452385.999831 	3.201117e+00 	9.151797e-02 	3.682919e+00 	3.500272e-03 	4.217340e-03 	4.397199e-03 	1.047283e+04 
41 	462824.546198 	3.200432e+00 	9.060588e-02 	3.682587e+00 	3.503541e-03 	4.221713e-03 	4.401963e-03 	1.043855e+04 
42 	473229.333783 	3.199748e+00 	8.970290e-02 	3.682265e+00 	3.506780e-03 	4.226042e-03 	4.406679e-03 	1.040479e+04 
43 	483600.876046 	3.199064e+00 	8.880893e-02 	3.681953e+00 	3.509987e-03 	4.230326e-03 	4.411346e-03 	1.037154e+04 
44 	493939.677948 	3.198379e+00 	8.792389e-02 	3.681651e+00 	3.513163e-03 	4.234567e-03 	4.415965e-03 	1.033880e+04 
45 	504246.236117 	3.197695e+00 	8.704768e-02 	3.681358e+00 	3.516309e-03 	4.238765e-03 	4.420536e-03 	1.030656e+04 
46 	514521.039014 	3.197012e+00 	8.618023e-02 	3.681076e+00 	3.519425e-03 	4.242920e-03 	4.425060e-03 	1.027480e+04 
47 	524764.567084 	3.196328e+00 	8.532143e-02 	3.680803e+00 	3.522510e-03 	4.247032e-03 	4.429537e-03 	1.024353e+04 
48 	534977.292919 	3.195644e+00 	8.447121e-02 	3.680539e+00 	3.525566e-03 	4.251101e-03 	4.433967e-03 	1.021273e+04 
49 	545159.681406 	3.194961e+00 	8.362947e-02 	3.680285e+00 	3.528592e-03 	4.255129e-03 	4.438351e-03 	1.018239e+04 
50 	555312.189875 	3.194278e+00 	8.279614e-02 	3.680040e+00 	3.531588e-03 	4.259115e-03 	4.442689e-03 	1.015251e+04 
51 	565435.268243 	3.193595e+00 	8.197112e-02 	3.679805e+00 	3.534556e-03 	4.263060e-03 	4.446981e-03 	1.012308e+04 
52 	575529.359160 	3.192912e+00 	8.115434e-02 	3.679578e+00 	3.537494e-03 	4.266963e-03 	4.451227e-03 	1.009409e+04 
53 	585594.898141 	3.192230e+00 	8.034571e-02 	3.679360e+00 	3.540404e-03 	4.270826e-03 	4.455429e-03 	1.006554e+04 
54 	595632.313706 	3.191547e+00 	7.954516e-02 	3.679151e+00 	3.543285e-03 	4.274648e-03 	4.459586e-03 	1.003742e+04 
55 	605642.027510 	3.190865e+00 	7.875259e-02 	3.678950e+00 	3.546138e-03 	4.278430e-03 	4.463699e-03 	1.000971e+04 
56 	615624.454476 	3.190183e+00 	7.796793e-02 	3.678759e+00 	3.548963e-03 	4.282173e-03 	4.467768e-03 	9.982427e+03 
57 	625580.002915 	3.189502e+00 	7.719111e-02 	3.678575e+00 	3.551761e-03 	4.285876e-03 	4.471793e-03 	9.955548e+03 
58 	635509.074655 	3.188820e+00 	7.642204e-02 	3.678401e+00 	3.554530e-03 	4.289540e-03 	4.475775e-03 	9.929072e+03 
59 	645412.065161 	3.188139e+00 	7.566064e-02 	3.678234e+00 	3.557273e-03 	4.293165e-03 	4.479714e-03 	9.902991e+03 
60 	655289.363651 	3.187458e+00 	7.490684e-02 	3.678076e+00 	3.559988e-03 	4.296752e-03 	4.483610e-03 	9.877298e+03 
61 	665141.353216 	3.186778e+00 	7.416056e-02 	3.677925e+00 	3.562677e-03 	4.300300e-03 	4.487464e-03 	9.851990e+03 
62 	674968.410928 	3.186097e+00 	7.342173e-02 	3.677783e+00 	3.565339e-03 	4.303811e-03 	4.491276e-03 	9.827058e+03 
63 	684770.907957 	3.185417e+00 	7.269027e-02 	3.677649e+00 	3.567975e-03 	4.307284e-03 	4.495047e-03 	9.802497e+03 
64 	694549.209671 	3.184738e+00 	7.196611e-02 	3.677522e+00 	3.570584e-03 	4.310720e-03 	4.498777e-03 	9.778302e+03 
65 	704303.675751 	3.184058e+00 	7.124917e-02 	3.677403e+00 	3.573168e-03 	4.314118e-03 	4.502465e-03 	9.754466e+03 
66 	714034.660290 	3.183379e+00 	7.053939e-02 	3.677292e+00 	3.575726e-03 	4.317481e-03 	4.506114e-03 	9.730985e+03 
67 	723742.511894 	3.182700e+00 	6.983668e-02 	3.677188e+00 	3.578258e-03 	4.320807e-03 	4.509722e-03 	9.707852e+03 
68 	733427.573782 	3.182021e+00 	6.914099e-02 	3.677092e+00 	3.580765e-03 	4.324097e-03 	4.513290e-03 	9.685062e+03 
69 	743090.183886 	3.181343e+00 	6.845224e-02 	3.677003e+00 	3.583247e-03 	4.327352e-03 	4.516818e-03 	9.662610e+03 
70 	752730.674942 	3.180664e+00 	6.777036e-02 	3.676921e+00 	3.585705e-03 	4.330571e-03 	4.520308e-03 	9.640491e+03 
71 	762349.374586 	3.179987e+00 	6.709528e-02 	3.676846e+00 	3.588137e-03 	4.333755e-03 	4.523759e-03 	9.618700e+03 
72 	771946.605445 	3.179309e+00 	6.642694e-02 	3.676779e+00 	3.590546e-03 	4.336904e-03 	4.527171e-03 	9.597231e+03 
73 	781522.685223 	3.178632e+00 	6.576526e-02 	3.676718e+00 	3.592930e-03 	4.340019e-03 	4.530545e-03 	9.576080e+03 
74 	791077.926792 	3.177955e+00 	6.511018e-02 	3.676665e+00 	3.595291e-03 	4.343100e-03 	4.533881e-03 	9.555242e+03 
75 	800612.638278 	3.177278e+00 	6.446164e-02 	3.676618e+00 	3.597628e-03 	4.346148e-03 	4.537180e-03 	9.534711e+03 
76 	810127.123142 	3.176602e+00 	6.381956e-02 	3.676578e+00 	3.599941e-03 	4.349161e-03 	4.540442e-03 	9.514485e+03 
77 	819621.680261 	3.175926e+00 	6.318389e-02 	3.676544e+00 	3.602231e-03 	4.352142e-03 	4.543667e-03 	9.494557e+03 
78 	829096.604014 	3.175250e+00 	6.255456e-02 	3.676517e+00 	3.604498e-03 	4.355090e-03 	4.546856e-03 	9.474924e+03 
79 	838552.184355 	3.174574e+00 	6.193150e-02 	3.676497e+00 	3.606742e-03 	4.358005e-03 	4.550008e-03 	9.455580e+03 
80 	847988.706893 	3.173899e+00 	6.131466e-02 	3.676482e+00 	3.608964e-03 	4.360888e-03 	4.553125e-03 	9.436523e+03 
81 	857406.452964 	3.173224e+00 	6.070397e-02 	3.676475e+00 	3.611163e-03 	4.363739e-03 	4.556206e-03 	9.417746e+03 
82 	866805.699712 	3.172549e+00 	6.009937e-02 	3.676473e+00 	3.613340e-03 	4.366558e-03 	4.559252e-03 	9.399247e+03 
83 	876186.720151 	3.171875e+00 	5.950080e-02 	3.676478e+00 	3.615495e-03 	4.369346e-03 	4.562263e-03 	9.381020e+03 
84 	885549.783247 	3.171201e+00 	5.890820e-02 	3.676488e+00 	3.617628e-03 	4.372103e-03 	4.565240e-03 	9.363063e+03 
85 	894895.153979 	3.170527e+00 	5.832151e-02 	3.676505e+00 	3.619740e-03 	4.374829e-03 	4.568182e-03 	9.345371e+03 
86 	904223.093410 	3.169854e+00 	5.774066e-02 	3.676527e+00 	3.621831e-03 	4.377525e-03 	4.571091e-03 	9.327939e+03 
87 	913533.858755 	3.169181e+00 	5.716561e-02 	3.676556e+00 	3.623900e-03 	4.380190e-03 	4.573966e-03 	9.310765e+03 
88 	922827.703444 	3.168508e+00 	5.659630e-02 	3.676590e+00 	3.625948e-03 	4.382826e-03 	4.576808e-03 	9.293845e+03 
89 	932104.877188 	3.167836e+00 	5.603265e-02 	3.676629e+00 	3.627976e-03 	4.385432e-03 	4.579617e-03 	9.277174e+03 
90 	941365.626040 	3.167163e+00 	5.547463e-02 	3.676675e+00 	3.629983e-03 	4.388009e-03 	4.582394e-03 	9.260749e+03 
91 	950610.192456 	3.166491e+00 	5.492218e-02 	3.676726e+00 	3.631970e-03 	4.390557e-03 	4.585138e-03 	9.244566e+03 
92 	959838.815359 	3.165820e+00 	5.437523e-02 	3.676782e+00 	3.633937e-03 	4.393076e-03 	4.587851e-03 	9.228623e+03 
93 	969051.730194 	3.165148e+00 	5.383373e-02 	3.676844e+00 	3.635883e-03 	4.395566e-03 	4.590531e-03 	9.212915e+03 
94 	978249.168987 	3.164477e+00 	5.329763e-02 	3.676911e+00 	3.637810e-03 	4.398029e-03 	4.593181e-03 	9.197439e+03 
95 	987431.360403 	3.163807e+00 	5.276688e-02 	3.676983e+00 	3.639718e-03 	4.400463e-03 	4.595799e-03 	9.182191e+03 
96 	996598.529799 	3.163136e+00 	5.224142e-02 	3.677061e+00 	3.641606e-03 	4.402870e-03 	4.598387e-03 	9.167169e+03 
97 	1005750.899281 	3.162466e+00 	5.172119e-02 	3.677143e+00 	3.643475e-03 	4.405250e-03 	4.600945e-03 	9.152369e+03 
98 	1014888.687758 	3.161796e+00 	5.120615e-02 	3.677231e+00 	3.645326e-03 	4.407602e-03 	4.603472e-03 	9.137788e+03 
99 	1024012.110991 	3.161127e+00 	5.069625e-02 	3.677323e+00 	3.647157e-03 	4.409928e-03 	4.605970e-03 	9.123423e+03 
