i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.594310 	2.378302 	4.098456 	0.002927 	0.003133 	0.003154 	0.010830 
1 	7450.371031 	5.882898e-01 	2.366554e+00 	4.086720e+00 	2.964218e-03 	3.174315e-03 	3.196521e-03 	7.449371e+03 
2 	14606.947968 	5.823187e-01 	2.354878e+00 	4.075056e+00 	3.001951e-03 	3.216345e-03 	3.239101e-03 	7.156577e+03 
3 	21482.823521 	5.764085e-01 	2.343298e+00 	4.063488e+00 	3.039991e-03 	3.258750e-03 	3.282067e-03 	6.875876e+03 
4 	28090.118677 	5.705589e-01 	2.331813e+00 	4.052015e+00 	3.078336e-03 	3.301530e-03 	3.325420e-03 	6.607295e+03 
5 	34440.396307 	5.647690e-01 	2.320422e+00 	4.040636e+00 	3.116987e-03 	3.344686e-03 	3.369159e-03 	6.350278e+03 
6 	40544.681957 	5.590384e-01 	2.309124e+00 	4.029350e+00 	3.155944e-03 	3.388219e-03 	3.413288e-03 	6.104286e+03 
7 	46413.490359 	5.533664e-01 	2.297919e+00 	4.018156e+00 	3.195207e-03 	3.432128e-03 	3.457805e-03 	5.868808e+03 
8 	52056.850645 	5.477524e-01 	2.286804e+00 	4.007053e+00 	3.234777e-03 	3.476416e-03 	3.502712e-03 	5.643360e+03 
9 	57484.330241 	5.421959e-01 	2.275780e+00 	3.996040e+00 	3.274652e-03 	3.521083e-03 	3.548011e-03 	5.427480e+03 
10 	62705.057528 	5.366961e-01 	2.264845e+00 	3.985117e+00 	3.314833e-03 	3.566129e-03 	3.593701e-03 	5.220727e+03 
11 	67727.743324 	5.312526e-01 	2.253998e+00 	3.974281e+00 	3.355320e-03 	3.611555e-03 	3.639784e-03 	5.022686e+03 
12 	72560.701260 	5.258648e-01 	2.243238e+00 	3.963534e+00 	3.396113e-03 	3.657361e-03 	3.686260e-03 	4.832958e+03 
13 	77211.867100 	5.205320e-01 	2.232565e+00 	3.952872e+00 	3.437212e-03 	3.703550e-03 	3.733131e-03 	4.651166e+03 
14 	81688.817075 	5.152538e-01 	2.221978e+00 	3.942296e+00 	3.478617e-03 	3.750120e-03 	3.780396e-03 	4.476950e+03 
15 	85998.785277 	5.100294e-01 	2.211475e+00 	3.931805e+00 	3.520327e-03 	3.797072e-03 	3.828057e-03 	4.309968e+03 
16 	90148.680152 	5.048585e-01 	2.201056e+00 	3.921397e+00 	3.562342e-03 	3.844408e-03 	3.876115e-03 	4.149895e+03 
17 	94145.100173 	4.997404e-01 	2.190720e+00 	3.911072e+00 	3.604663e-03 	3.892127e-03 	3.924570e-03 	3.996420e+03 
18 	97994.348694 	4.946747e-01 	2.180466e+00 	3.900830e+00 	3.647289e-03 	3.940230e-03 	3.973423e-03 	3.849249e+03 
19 	101702.448065 	4.896606e-01 	2.170293e+00 	3.890668e+00 	3.690220e-03 	3.988718e-03 	4.022675e-03 	3.708099e+03 
20 	105275.153030 	4.846978e-01 	2.160200e+00 	3.880587e+00 	3.733455e-03 	4.037591e-03 	4.072326e-03 	3.572705e+03 
21 	108717.963446 	4.797857e-01 	2.150187e+00 	3.870585e+00 	3.776995e-03 	4.086850e-03 	4.122377e-03 	3.442810e+03 
22 	112036.136362 	4.749237e-01 	2.140253e+00 	3.860662e+00 	3.820839e-03 	4.136494e-03 	4.172828e-03 	3.318173e+03 
23 	115234.697496 	4.701114e-01 	2.130396e+00 	3.850817e+00 	3.864986e-03 	4.186525e-03 	4.223681e-03 	3.198561e+03 
24 	118318.452135 	4.653483e-01 	2.120617e+00 	3.841049e+00 	3.909437e-03 	4.236943e-03 	4.274935e-03 	3.083755e+03 
25 	121291.995490 	4.606337e-01 	2.110914e+00 	3.831357e+00 	3.954192e-03 	4.287748e-03 	4.326591e-03 	2.973543e+03 
26 	124159.722538 	4.559673e-01 	2.101286e+00 	3.821740e+00 	3.999249e-03 	4.338940e-03 	4.378651e-03 	2.867727e+03 
27 	126925.837371 	4.513486e-01 	2.091733e+00 	3.812198e+00 	4.044608e-03 	4.390520e-03 	4.431113e-03 	2.766115e+03 
28 	129594.362088 	4.467770e-01 	2.082254e+00 	3.802730e+00 	4.090270e-03 	4.442489e-03 	4.483980e-03 	2.668525e+03 
29 	132169.145244 	4.422520e-01 	2.072848e+00 	3.793335e+00 	4.136233e-03 	4.494845e-03 	4.537251e-03 	2.574783e+03 
30 	134653.869883 	4.377732e-01 	2.063515e+00 	3.784013e+00 	4.182497e-03 	4.547591e-03 	4.590927e-03 	2.484725e+03 
31 	137052.061177 	4.333401e-01 	2.054253e+00 	3.774762e+00 	4.229062e-03 	4.600725e-03 	4.645008e-03 	2.398191e+03 
