i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.493152 	0.815662 	4.762253 	0.003010 	0.003280 	0.003316 	0.010830 
1 	23526.510757 	1.489948e+00 	8.074632e-01 	4.754046e+00 	3.036264e-03 	3.309736e-03 	3.346376e-03 	2.352551e+04 
2 	46522.385284 	1.486789e+00 	7.993379e-01 	4.745911e+00 	3.062494e-03 	3.339924e-03 	3.377243e-03 	2.299587e+04 
3 	69004.473846 	1.483676e+00 	7.912951e-01 	4.737859e+00 	3.088740e-03 	3.370156e-03 	3.408160e-03 	2.248209e+04 
4 	90988.523906 	1.480609e+00 	7.833340e-01 	4.729887e+00 	3.115001e-03 	3.400428e-03 	3.439126e-03 	2.198405e+04 
5 	112489.722153 	1.477587e+00 	7.754538e-01 	4.721996e+00 	3.141273e-03 	3.430737e-03 	3.470136e-03 	2.150120e+04 
6 	133522.713860 	1.474609e+00 	7.676535e-01 	4.714185e+00 	3.167555e-03 	3.461082e-03 	3.501189e-03 	2.103299e+04 
7 	154101.624449 	1.471675e+00 	7.599325e-01 	4.706452e+00 	3.193845e-03 	3.491458e-03 	3.532281e-03 	2.057891e+04 
8 	174240.080152 	1.468784e+00 	7.522898e-01 	4.698798e+00 	3.220139e-03 	3.521864e-03 	3.563410e-03 	2.013846e+04 
9 	193951.227761 	1.465936e+00 	7.447247e-01 	4.691220e+00 	3.246436e-03 	3.552297e-03 	3.594573e-03 	1.971115e+04 
10 	213247.753539 	1.463130e+00 	7.372364e-01 	4.683718e+00 	3.272733e-03 	3.582753e-03 	3.625768e-03 	1.929653e+04 
11 	232141.901299 	1.460365e+00 	7.298240e-01 	4.676293e+00 	3.299028e-03 	3.613231e-03 	3.656991e-03 	1.889415e+04 
12 	250645.489721 	1.457642e+00 	7.224869e-01 	4.668941e+00 	3.325319e-03 	3.643728e-03 	3.688240e-03 	1.850359e+04 
13 	268769.928918 	1.454959e+00 	7.152241e-01 	4.661664e+00 	3.351603e-03 	3.674241e-03 	3.719512e-03 	1.812444e+04 
14 	286526.236300 	1.452317e+00 	7.080351e-01 	4.654460e+00 	3.377879e-03 	3.704767e-03 	3.750805e-03 	1.775631e+04 
15 	303925.051759 	1.449714e+00 	7.009189e-01 	4.647328e+00 	3.404143e-03 	3.735304e-03 	3.782116e-03 	1.739882e+04 
16 	320976.652217 	1.447150e+00 	6.938749e-01 	4.640268e+00 	3.430395e-03 	3.765849e-03 	3.813442e-03 	1.705160e+04 
17 	337690.965553 	1.444624e+00 	6.869023e-01 	4.633279e+00 	3.456631e-03 	3.796400e-03 	3.844780e-03 	1.671431e+04 
18 	354077.583944 	1.442137e+00 	6.800003e-01 	4.626360e+00 	3.482849e-03 	3.826953e-03 	3.876128e-03 	1.638662e+04 
19 	370145.776655 	1.439687e+00 	6.731683e-01 	4.619511e+00 	3.509048e-03 	3.857507e-03 	3.907484e-03 	1.606819e+04 
20 	385904.502282 	1.437274e+00 	6.664056e-01 	4.612730e+00 	3.535225e-03 	3.888059e-03 	3.938844e-03 	1.575873e+04 
21 	401362.420494 	1.434898e+00 	6.597113e-01 	4.606017e+00 	3.561378e-03 	3.918606e-03 	3.970207e-03 	1.545792e+04 
22 	416527.903281 	1.432558e+00 	6.530849e-01 	4.599372e+00 	3.587505e-03 	3.949146e-03 	4.001569e-03 	1.516548e+04 
23 	431409.045747 	1.430253e+00 	6.465256e-01 	4.592793e+00 	3.613605e-03 	3.979676e-03 	4.032928e-03 	1.488114e+04 
24 	446013.676442 	1.427984e+00 	6.400327e-01 	4.586280e+00 	3.639674e-03 	4.010194e-03 	4.064281e-03 	1.460463e+04 
25 	460349.367285 	1.425749e+00 	6.336056e-01 	4.579832e+00 	3.665711e-03 	4.040697e-03 	4.095626e-03 	1.433569e+04 
26 	474423.443072 	1.423548e+00 	6.272435e-01 	4.573449e+00 	3.691714e-03 	4.071183e-03 	4.126961e-03 	1.407408e+04 
27 	488242.990595 	1.421381e+00 	6.209458e-01 	4.567129e+00 	3.717680e-03 	4.101650e-03 	4.158282e-03 	1.381955e+04 
28 	501814.867400 	1.419248e+00 	6.147119e-01 	4.560873e+00 	3.743609e-03 	4.132095e-03 	4.189588e-03 	1.357188e+04 
29 	515145.710176 	1.417147e+00 	6.085411e-01 	4.554680e+00 	3.769498e-03 	4.162516e-03 	4.220876e-03 	1.333084e+04 
30 	528241.942818 	1.415078e+00 	6.024327e-01 	4.548548e+00 	3.795346e-03 	4.192910e-03 	4.252144e-03 	1.309623e+04 
31 	541109.784158 	1.413042e+00 	5.963861e-01 	4.542478e+00 	3.821149e-03 	4.223275e-03 	4.283389e-03 	1.286784e+04 
32 	553755.255387 	1.411037e+00 	5.904006e-01 	4.536468e+00 	3.846908e-03 	4.253608e-03 	4.314609e-03 	1.264547e+04 
33 	566184.187183 	1.409063e+00 	5.844757e-01 	4.530518e+00 	3.872619e-03 	4.283909e-03 	4.345801e-03 	1.242893e+04 
34 	578402.226555 	1.407119e+00 	5.786108e-01 	4.524628e+00 	3.898280e-03 	4.314173e-03 	4.376963e-03 	1.221804e+04 
35 	590414.843409 	1.405206e+00 	5.728051e-01 	4.518797e+00 	3.923892e-03 	4.344400e-03 	4.408094e-03 	1.201262e+04 
36 	602227.336866 	1.403322e+00 	5.670581e-01 	4.513023e+00 	3.949450e-03 	4.374587e-03 	4.439190e-03 	1.181249e+04 
37 	613844.841319 	1.401468e+00 	5.613692e-01 	4.507307e+00 	3.974954e-03 	4.404731e-03 	4.470249e-03 	1.161750e+04 
38 	625272.332260 	1.399642e+00 	5.557379e-01 	4.501649e+00 	4.000403e-03 	4.434831e-03 	4.501270e-03 	1.142749e+04 
39 	636514.631869 	1.397845e+00 	5.501634e-01 	4.496046e+00 	4.025794e-03 	4.464884e-03 	4.532250e-03 	1.124230e+04 
40 	647576.414414 	1.396076e+00 	5.446453e-01 	4.490499e+00 	4.051126e-03 	4.494889e-03 	4.563186e-03 	1.106178e+04 
41 	658462.211401 	1.394335e+00 	5.391829e-01 	4.485008e+00 	4.076397e-03 	4.524843e-03 	4.594077e-03 	1.088580e+04 
42 	669176.416545 	1.392621e+00 	5.337757e-01 	4.479571e+00 	4.101605e-03 	4.554745e-03 	4.624921e-03 	1.071421e+04 
43 	679723.290553 	1.390934e+00 	5.284231e-01 	4.474188e+00 	4.126750e-03 	4.584592e-03 	4.655715e-03 	1.054687e+04 
44 	690106.965714 	1.389273e+00 	5.231245e-01 	4.468859e+00 	4.151830e-03 	4.614382e-03 	4.686458e-03 	1.038368e+04 
45 	700331.450320 	1.387638e+00 	5.178795e-01 	4.463583e+00 	4.176842e-03 	4.644114e-03 	4.717148e-03 	1.022448e+04 
46 	710400.632915 	1.386029e+00 	5.126874e-01 	4.458359e+00 	4.201787e-03 	4.673786e-03 	4.747782e-03 	1.006918e+04 
47 	720318.286378 	1.384445e+00 	5.075478e-01 	4.453187e+00 	4.226662e-03 	4.703395e-03 	4.778358e-03 	9.917653e+03 
48 	730088.071862 	1.382886e+00 	5.024600e-01 	4.448066e+00 	4.251465e-03 	4.732940e-03 	4.808875e-03 	9.769785e+03 
49 	739713.542574 	1.381351e+00 	4.974236e-01 	4.442996e+00 	4.276197e-03 	4.762419e-03 	4.839331e-03 	9.625471e+03 
50 	749198.147419 	1.379841e+00 	4.924380e-01 	4.437976e+00 	4.300855e-03 	4.791830e-03 	4.869723e-03 	9.484605e+03 
51 	758545.234503 	1.378354e+00 	4.875027e-01 	4.433007e+00 	4.325437e-03 	4.821172e-03 	4.900051e-03 	9.347087e+03 
52 	767758.054509 	1.376891e+00 	4.826172e-01 	4.428086e+00 	4.349944e-03 	4.850443e-03 	4.930312e-03 	9.212820e+03 
53 	776839.763946 	1.375450e+00 	4.777810e-01 	4.423214e+00 	4.374373e-03 	4.879641e-03 	4.960504e-03 	9.081709e+03 
54 	785793.428273 	1.374033e+00 	4.729935e-01 	4.418390e+00 	4.398723e-03 	4.908765e-03 	4.990626e-03 	8.953664e+03 
55 	794622.024917 	1.372637e+00 	4.682543e-01 	4.413614e+00 	4.422993e-03 	4.937813e-03 	5.020677e-03 	8.828597e+03 
56 	803328.446170 	1.371264e+00 	4.635630e-01 	4.408886e+00 	4.447182e-03 	4.966783e-03 	5.050653e-03 	8.706421e+03 
57 	811915.501987 	1.369912e+00 	4.589189e-01 	4.404204e+00 	4.471290e-03 	4.995673e-03 	5.080554e-03 	8.587056e+03 
58 	820385.922676 	1.368581e+00 	4.543216e-01 	4.399568e+00 	4.495313e-03 	5.024484e-03 	5.110379e-03 	8.470421e+03 
59 	828742.361494 	1.367271e+00 	4.497707e-01 	4.394978e+00 	4.519253e-03 	5.053212e-03 	5.140124e-03 	8.356439e+03 
60 	836987.397146 	1.365982e+00 	4.452657e-01 	4.390434e+00 	4.543107e-03 	5.081856e-03 	5.169790e-03 	8.245036e+03 
61 	845123.536198 	1.364713e+00 	4.408060e-01 	4.385934e+00 	4.566875e-03 	5.110415e-03 	5.199374e-03 	8.136139e+03 
62 	853153.215396 	1.363463e+00 	4.363913e-01 	4.381479e+00 	4.590556e-03 	5.138888e-03 	5.228876e-03 	8.029679e+03 
63 	861078.803906 	1.362234e+00 	4.320211e-01 	4.377067e+00 	4.614148e-03 	5.167273e-03 	5.258292e-03 	7.925589e+03 
64 	868902.605477 	1.361023e+00 	4.276949e-01 	4.372699e+00 	4.637652e-03 	5.195569e-03 	5.287623e-03 	7.823802e+03 
65 	876626.860518 	1.359832e+00 	4.234123e-01 	4.368374e+00 	4.661065e-03 	5.223775e-03 	5.316867e-03 	7.724255e+03 
66 	884253.748111 	1.358659e+00 	4.191728e-01 	4.364092e+00 	4.684387e-03 	5.251889e-03 	5.346022e-03 	7.626888e+03 
67 	891785.387955 	1.357504e+00 	4.149760e-01 	4.359852e+00 	4.707618e-03 	5.279910e-03 	5.375087e-03 	7.531640e+03 
68 	899223.842203 	1.356367e+00 	4.108214e-01 	4.355653e+00 	4.730756e-03 	5.307837e-03 	5.404060e-03 	7.438454e+03 
69 	906571.117301 	1.355248e+00 	4.067087e-01 	4.351496e+00 	4.753801e-03 	5.335669e-03 	5.432942e-03 	7.347275e+03 
70 	913829.165713 	1.354146e+00 	4.026374e-01 	4.347380e+00 	4.776752e-03 	5.363405e-03 	5.461729e-03 	7.258048e+03 
71 	920999.887600 	1.353061e+00 	3.986071e-01 	4.343304e+00 	4.799608e-03 	5.391043e-03 	5.490422e-03 	7.170722e+03 
72 	928085.132443 	1.351992e+00 	3.946173e-01 	4.339268e+00 	4.822368e-03 	5.418583e-03 	5.519018e-03 	7.085245e+03 
73 	935086.700608 	1.350941e+00 	3.906677e-01 	4.335272e+00 	4.845033e-03 	5.446023e-03 	5.547518e-03 	7.001568e+03 
74 	942006.344851 	1.349905e+00 	3.867579e-01 	4.331314e+00 	4.867600e-03 	5.473362e-03 	5.575919e-03 	6.919644e+03 
75 	948845.771782 	1.348885e+00 	3.828873e-01 	4.327396e+00 	4.890071e-03 	5.500601e-03 	5.604221e-03 	6.839427e+03 
76 	955606.643272 	1.347881e+00 	3.790558e-01 	4.323516e+00 	4.912443e-03 	5.527736e-03 	5.632422e-03 	6.760871e+03 
77 	962290.577810 	1.346892e+00 	3.752627e-01 	4.319674e+00 	4.934717e-03 	5.554769e-03 	5.660522e-03 	6.683935e+03 
78 	968899.151823 	1.345918e+00 	3.715078e-01 	4.315870e+00 	4.956892e-03 	5.581697e-03 	5.688519e-03 	6.608574e+03 
79 	975433.900938 	1.344958e+00 	3.677907e-01 	4.312103e+00 	4.978967e-03 	5.608520e-03 	5.716413e-03 	6.534749e+03 
80 	981896.321214 	1.344013e+00 	3.641109e-01 	4.308373e+00 	5.000943e-03 	5.635237e-03 	5.744203e-03 	6.462420e+03 
81 	988287.870325 	1.343082e+00 	3.604682e-01 	4.304679e+00 	5.022817e-03 	5.661848e-03 	5.771888e-03 	6.391549e+03 
82 	994609.968704 	1.342165e+00 	3.568621e-01 	4.301021e+00 	5.044591e-03 	5.688351e-03 	5.799467e-03 	6.322098e+03 
83 	1000864.000653 	1.341262e+00 	3.532922e-01 	4.297399e+00 	5.066264e-03 	5.714746e-03 	5.826939e-03 	6.254032e+03 
84 	1007051.315409 	1.340372e+00 	3.497582e-01 	4.293812e+00 	5.087834e-03 	5.741032e-03 	5.854303e-03 	6.187315e+03 
85 	1013173.228181 	1.339495e+00 	3.462598e-01 	4.290261e+00 	5.109303e-03 	5.767208e-03 	5.881559e-03 	6.121913e+03 
86 	1019231.021151 	1.338631e+00 	3.427965e-01 	4.286744e+00 	5.130669e-03 	5.793274e-03 	5.908705e-03 	6.057793e+03 
