i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.880339 	5.291778 	0.898950 	0.002961 	0.003235 	0.003263 	0.010830 
1 	8917.441066 	8.754146e-01 	5.282714e+00 	8.898611e-01 	2.990611e-03 	3.269733e-03 	3.298029e-03 	8.916441e+03 
2 	17533.090868 	8.705375e-01 	5.273733e+00 	8.808552e-01 	3.020605e-03 	3.304641e-03 	3.333519e-03 	8.615650e+03 
3 	25859.187899 	8.657128e-01 	5.264844e+00 	8.719410e-01 	3.050686e-03 	3.339692e-03 	3.369159e-03 	8.326097e+03 
4 	33906.807612 	8.609398e-01 	5.256046e+00 	8.631178e-01 	3.080852e-03 	3.374882e-03 	3.404947e-03 	8.047620e+03 
5 	41686.560182 	8.562181e-01 	5.247338e+00 	8.543846e-01 	3.111100e-03 	3.410208e-03 	3.440878e-03 	7.779753e+03 
6 	49208.609800 	8.515470e-01 	5.238719e+00 	8.457405e-01 	3.141427e-03 	3.445669e-03 	3.476952e-03 	7.522050e+03 
7 	56482.694933 	8.469260e-01 	5.230188e+00 	8.371845e-01 	3.171832e-03 	3.481260e-03 	3.513165e-03 	7.274085e+03 
8 	63518.147615 	8.423545e-01 	5.221744e+00 	8.287158e-01 	3.202310e-03 	3.516980e-03 	3.549514e-03 	7.035453e+03 
9 	70323.911807 	8.378321e-01 	5.213387e+00 	8.203334e-01 	3.232861e-03 	3.552825e-03 	3.585997e-03 	6.805764e+03 
10 	76908.560865 	8.333583e-01 	5.205115e+00 	8.120364e-01 	3.263480e-03 	3.588794e-03 	3.622612e-03 	6.584649e+03 
11 	83280.314177 	8.289324e-01 	5.196928e+00 	8.038241e-01 	3.294167e-03 	3.624883e-03 	3.659355e-03 	6.371753e+03 
12 	89447.052994 	8.245539e-01 	5.188825e+00 	7.956954e-01 	3.324917e-03 	3.661090e-03 	3.696224e-03 	6.166739e+03 
13 	95416.335514 	8.202224e-01 	5.180804e+00 	7.876496e-01 	3.355728e-03 	3.697412e-03 	3.733216e-03 	5.969283e+03 
14 	101195.411236 	8.159374e-01 	5.172865e+00 	7.796858e-01 	3.386598e-03 	3.733845e-03 	3.770327e-03 	5.779076e+03 
15 	106791.234638 	8.116983e-01 	5.165008e+00 	7.718031e-01 	3.417525e-03 	3.770388e-03 	3.807557e-03 	5.595823e+03 
16 	112210.478211 	8.075047e-01 	5.157231e+00 	7.640008e-01 	3.448504e-03 	3.807037e-03 	3.844900e-03 	5.419244e+03 
17 	117459.544865 	8.033560e-01 	5.149533e+00 	7.562779e-01 	3.479535e-03 	3.843790e-03 	3.882356e-03 	5.249067e+03 
18 	122544.579765 	7.992518e-01 	5.141914e+00 	7.486336e-01 	3.510614e-03 	3.880643e-03 	3.919920e-03 	5.085035e+03 
19 	127471.481598 	7.951916e-01 	5.134373e+00 	7.410673e-01 	3.541738e-03 	3.917595e-03 	3.957590e-03 	4.926902e+03 
20 	132245.913321 	7.911749e-01 	5.126909e+00 	7.335780e-01 	3.572906e-03 	3.954641e-03 	3.995363e-03 	4.774432e+03 
21 	136873.312404 	7.872012e-01 	5.119522e+00 	7.261649e-01 	3.604114e-03 	3.991779e-03 	4.033237e-03 	4.627399e+03 
22 	141358.900597 	7.832701e-01 	5.112209e+00 	7.188273e-01 	3.635359e-03 	4.029007e-03 	4.071207e-03 	4.485588e+03 
23 	145707.693242 	7.793812e-01 	5.104972e+00 	7.115644e-01 	3.666640e-03 	4.066320e-03 	4.109272e-03 	4.348793e+03 
24 	149924.508153 	7.755339e-01 	5.097808e+00 	7.043754e-01 	3.697953e-03 	4.103717e-03 	4.147428e-03 	4.216815e+03 
25 	154013.974093 	7.717278e-01 	5.090718e+00 	6.972596e-01 	3.729297e-03 	4.141195e-03 	4.185673e-03 	4.089466e+03 
26 	157980.538851 	7.679625e-01 	5.083700e+00 	6.902162e-01 	3.760667e-03 	4.178750e-03 	4.224003e-03 	3.966565e+03 
27 	161828.476956 	7.642376e-01 	5.076753e+00 	6.832445e-01 	3.792062e-03 	4.216379e-03 	4.262416e-03 	3.847938e+03 
28 	165561.897035 	7.605525e-01 	5.069878e+00 	6.763437e-01 	3.823480e-03 	4.254081e-03 	4.300908e-03 	3.733420e+03 
29 	169184.748836 	7.569069e-01 	5.063073e+00 	6.695131e-01 	3.854917e-03 	4.291851e-03 	4.339477e-03 	3.622852e+03 
30 	172700.829932 	7.533003e-01 	5.056337e+00 	6.627520e-01 	3.886371e-03 	4.329686e-03 	4.378119e-03 	3.516081e+03 
31 	176113.792120 	7.497323e-01 	5.049670e+00 	6.560597e-01 	3.917839e-03 	4.367585e-03 	4.416832e-03 	3.412962e+03 
32 	179427.147532 	7.462025e-01 	5.043071e+00 	6.494354e-01 	3.949320e-03 	4.405543e-03 	4.455613e-03 	3.313355e+03 
33 	182644.274469 	7.427105e-01 	5.036539e+00 	6.428785e-01 	3.980809e-03 	4.443558e-03 	4.494458e-03 	3.217127e+03 
34 	185768.422977 	7.392559e-01 	5.030074e+00 	6.363883e-01 	4.012306e-03 	4.481627e-03 	4.533365e-03 	3.124149e+03 
35 	188802.720164 	7.358382e-01 	5.023675e+00 	6.299640e-01 	4.043807e-03 	4.519747e-03 	4.572330e-03 	3.034297e+03 
36 	191750.175293 	7.324571e-01 	5.017341e+00 	6.236051e-01 	4.075309e-03 	4.557916e-03 	4.611352e-03 	2.947455e+03 
37 	194613.684636 	7.291122e-01 	5.011072e+00 	6.173107e-01 	4.106811e-03 	4.596129e-03 	4.650425e-03 	2.863509e+03 
38 	197396.036118 	7.258030e-01 	5.004867e+00 	6.110804e-01 	4.138310e-03 	4.634384e-03 	4.689549e-03 	2.782351e+03 
39 	200099.913755 	7.225292e-01 	4.998725e+00 	6.049133e-01 	4.169803e-03 	4.672679e-03 	4.728719e-03 	2.703878e+03 
40 	202727.901899 	7.192905e-01 	4.992645e+00 	5.988090e-01 	4.201288e-03 	4.711010e-03 	4.767933e-03 	2.627988e+03 
41 	205282.489287 	7.160863e-01 	4.986628e+00 	5.927666e-01 	4.232762e-03 	4.749374e-03 	4.807188e-03 	2.554587e+03 
42 	207766.072924 	7.129165e-01 	4.980672e+00 	5.867856e-01 	4.264223e-03 	4.787769e-03 	4.846480e-03 	2.483584e+03 
43 	210180.961788 	7.097804e-01 	4.974777e+00 	5.808654e-01 	4.295669e-03 	4.826191e-03 	4.885807e-03 	2.414889e+03 
44 	212529.380376 	7.066779e-01 	4.968941e+00 	5.750053e-01 	4.327097e-03 	4.864637e-03 	4.925166e-03 	2.348419e+03 
45 	214813.472097 	7.036086e-01 	4.963166e+00 	5.692048e-01 	4.358506e-03 	4.903106e-03 	4.964554e-03 	2.284092e+03 
46 	217035.302519 	7.005720e-01 	4.957449e+00 	5.634631e-01 	4.389891e-03 	4.941593e-03 	5.003968e-03 	2.221830e+03 
47 	219196.862466 	6.975679e-01 	4.951790e+00 	5.577797e-01 	4.421252e-03 	4.980096e-03 	5.043404e-03 	2.161560e+03 
48 	221300.071001 	6.945959e-01 	4.946189e+00 	5.521541e-01 	4.452586e-03 	5.018613e-03 	5.082861e-03 	2.103209e+03 
49 	223346.778256 	6.916555e-01 	4.940645e+00 	5.465855e-01 	4.483890e-03 	5.057139e-03 	5.122335e-03 	2.046707e+03 
50 	225338.768167 	6.887466e-01 	4.935158e+00 	5.410735e-01 	4.515163e-03 	5.095673e-03 	5.161822e-03 	1.991990e+03 
51 	227277.761067 	6.858688e-01 	4.929726e+00 	5.356174e-01 	4.546401e-03 	5.134212e-03 	5.201322e-03 	1.938993e+03 
52 	229165.416190 	6.830216e-01 	4.924350e+00 	5.302166e-01 	4.577604e-03 	5.172752e-03 	5.240829e-03 	1.887655e+03 
53 	231003.334056 	6.802048e-01 	4.919029e+00 	5.248707e-01 	4.608768e-03 	5.211291e-03 	5.280342e-03 	1.837918e+03 
54 	232793.058758 	6.774181e-01 	4.913761e+00 	5.195790e-01 	4.639891e-03 	5.249826e-03 	5.319858e-03 	1.789725e+03 
55 	234536.080155 	6.746611e-01 	4.908548e+00 	5.143410e-01 	4.670972e-03 	5.288354e-03 	5.359373e-03 	1.743021e+03 
56 	236233.835969 	6.719335e-01 	4.903387e+00 	5.091562e-01 	4.702008e-03 	5.326873e-03 	5.398885e-03 	1.697756e+03 
57 	237887.713798 	6.692350e-01 	4.898279e+00 	5.040239e-01 	4.732997e-03 	5.365380e-03 	5.438392e-03 	1.653878e+03 
58 	239499.053043 	6.665652e-01 	4.893223e+00 	4.989437e-01 	4.763937e-03 	5.403872e-03 	5.477889e-03 	1.611339e+03 
59 	241069.146753 	6.639239e-01 	4.888219e+00 	4.939150e-01 	4.794825e-03 	5.442346e-03 	5.517376e-03 	1.570094e+03 
60 	242599.243398 	6.613108e-01 	4.883265e+00 	4.889373e-01 	4.825661e-03 	5.480800e-03 	5.556847e-03 	1.530097e+03 
61 	244090.548563 	6.587255e-01 	4.878362e+00 	4.840101e-01 	4.856441e-03 	5.519231e-03 	5.596302e-03 	1.491305e+03 
62 	245544.226576 	6.561677e-01 	4.873508e+00 	4.791328e-01 	4.887164e-03 	5.557637e-03 	5.635737e-03 	1.453678e+03 
63 	246961.402070 	6.536372e-01 	4.868705e+00 	4.743050e-01 	4.917827e-03 	5.596014e-03 	5.675150e-03 	1.417175e+03 
64 	248343.161473 	6.511336e-01 	4.863949e+00 	4.695261e-01 	4.948430e-03 	5.634360e-03 	5.714537e-03 	1.381759e+03 
65 	249690.554448 	6.486567e-01 	4.859243e+00 	4.647956e-01 	4.978969e-03 	5.672673e-03 	5.753897e-03 	1.347393e+03 
66 	251004.595268 	6.462061e-01 	4.854584e+00 	4.601131e-01 	5.009443e-03 	5.710949e-03 	5.793226e-03 	1.314041e+03 
67 	252286.264135 	6.437816e-01 	4.849972e+00 	4.554780e-01 	5.039851e-03 	5.749187e-03 	5.832521e-03 	1.281669e+03 
68 	253536.508447 	6.413829e-01 	4.845408e+00 	4.508899e-01 	5.070189e-03 	5.787384e-03 	5.871781e-03 	1.250244e+03 
69 	254756.244013 	6.390098e-01 	4.840890e+00 	4.463483e-01 	5.100457e-03 	5.825537e-03 	5.911003e-03 	1.219736e+03 
70 	255946.356223 	6.366619e-01 	4.836417e+00 	4.418527e-01 	5.130653e-03 	5.863645e-03 	5.950183e-03 	1.190112e+03 
71 	257107.701162 	6.343389e-01 	4.831991e+00 	4.374026e-01 	5.160774e-03 	5.901703e-03 	5.989320e-03 	1.161345e+03 
72 	258241.106690 	6.320406e-01 	4.827609e+00 	4.329976e-01 	5.190820e-03 	5.939710e-03 	6.028410e-03 	1.133406e+03 
73 	259347.373471 	6.297668e-01 	4.823271e+00 	4.286372e-01 	5.220788e-03 	5.977664e-03 	6.067452e-03 	1.106267e+03 
74 	260427.275966 	6.275171e-01 	4.818978e+00 	4.243210e-01 	5.250677e-03 	6.015562e-03 	6.106443e-03 	1.079902e+03 
75 	261481.563381 	6.252913e-01 	4.814729e+00 	4.200484e-01 	5.280485e-03 	6.053402e-03 	6.145381e-03 	1.054287e+03 
76 	262510.960587 	6.230892e-01 	4.810522e+00 	4.158192e-01 	5.310210e-03 	6.091182e-03 	6.184262e-03 	1.029397e+03 
77 	263516.168990 	6.209105e-01 	4.806359e+00 	4.116327e-01 	5.339851e-03 	6.128898e-03 	6.223085e-03 	1.005208e+03 
78 	264497.867383 	6.187549e-01 	4.802237e+00 	4.074886e-01 	5.369406e-03 	6.166549e-03 	6.261847e-03 	9.816984e+02 
79 	265456.712751 	6.166221e-01 	4.798158e+00 	4.033865e-01 	5.398874e-03 	6.204133e-03 	6.300546e-03 	9.588454e+02 
80 	266393.341050 	6.145120e-01 	4.794120e+00 	3.993259e-01 	5.428253e-03 	6.241647e-03 	6.339179e-03 	9.366283e+02 
81 	267308.367957 	6.124243e-01 	4.790123e+00 	3.953064e-01 	5.457542e-03 	6.279090e-03 	6.377745e-03 	9.150269e+02 
82 	268202.389589 	6.103588e-01 	4.786166e+00 	3.913275e-01 	5.486739e-03 	6.316458e-03 	6.416240e-03 	8.940216e+02 
83 	269075.983195 	6.083151e-01 	4.782250e+00 	3.873890e-01 	5.515842e-03 	6.353750e-03 	6.454663e-03 	8.735936e+02 
84 	269929.707819 	6.062932e-01 	4.778374e+00 	3.834902e-01 	5.544851e-03 	6.390963e-03 	6.493011e-03 	8.537246e+02 
85 	270764.104942 	6.042926e-01 	4.774536e+00 	3.796309e-01 	5.573764e-03 	6.428096e-03 	6.531282e-03 	8.343971e+02 
86 	271579.699093 	6.023133e-01 	4.770738e+00 	3.758107e-01 	5.602580e-03 	6.465147e-03 	6.569474e-03 	8.155942e+02 
87 	272376.998445 	6.003549e-01 	4.766979e+00 	3.720291e-01 	5.631296e-03 	6.502113e-03 	6.607586e-03 	7.972994e+02 
88 	273156.495380 	5.984173e-01 	4.763257e+00 	3.682857e-01 	5.659913e-03 	6.538992e-03 	6.645613e-03 	7.794969e+02 
89 	273918.667037 	5.965002e-01 	4.759573e+00 	3.645802e-01 	5.688428e-03 	6.575783e-03 	6.683556e-03 	7.621717e+02 
90 	274663.975840 	5.946034e-01 	4.755927e+00 	3.609122e-01 	5.716840e-03 	6.612483e-03 	6.721410e-03 	7.453088e+02 
91 	275392.870002 	5.927267e-01 	4.752318e+00 	3.572812e-01 	5.745149e-03 	6.649091e-03 	6.759176e-03 	7.288942e+02 
92 	276105.784015 	5.908699e-01 	4.748745e+00 	3.536870e-01 	5.773353e-03 	6.685604e-03 	6.796850e-03 	7.129140e+02 
93 	276803.139117 	5.890327e-01 	4.745208e+00 	3.501291e-01 	5.801450e-03 	6.722021e-03 	6.834430e-03 	6.973551e+02 
94 	277485.343744 	5.872149e-01 	4.741708e+00 	3.466072e-01 	5.829441e-03 	6.758340e-03 	6.871914e-03 	6.822046e+02 
95 	278152.793968 	5.854164e-01 	4.738243e+00 	3.431208e-01 	5.857322e-03 	6.794559e-03 	6.909302e-03 	6.674502e+02 
96 	278805.873909 	5.836368e-01 	4.734813e+00 	3.396697e-01 	5.885095e-03 	6.830676e-03 	6.946590e-03 	6.530799e+02 
97 	279444.956146 	5.818761e-01 	4.731418e+00 	3.362535e-01 	5.912756e-03 	6.866690e-03 	6.983777e-03 	6.390822e+02 
98 	280070.402097 	5.801340e-01 	4.728057e+00 	3.328718e-01 	5.940306e-03 	6.902598e-03 	7.020860e-03 	6.254460e+02 
99 	280682.562400 	5.784104e-01 	4.724730e+00 	3.295243e-01 	5.967744e-03 	6.938400e-03 	7.057839e-03 	6.121603e+02 
