i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.566592 	1.155232 	5.349243 	0.002919 	0.003110 	0.003130 	0.010830 
1 	10611.816878 	5.608702e-01 	1.143960e+00 	5.337974e+00 	2.954782e-03 	3.148978e-03 	3.170148e-03 	1.061082e+04 
2 	20866.712046 	5.551944e-01 	1.132755e+00 	5.326773e+00 	2.990676e-03 	3.188552e-03 	3.210217e-03 	1.025490e+04 
3 	30778.932538 	5.495764e-01 	1.121639e+00 	5.315660e+00 	3.026838e-03 	3.228447e-03 	3.250616e-03 	9.912220e+03 
4 	40361.881156 	5.440158e-01 	1.110613e+00 	5.304637e+00 	3.063269e-03 	3.268664e-03 	3.291345e-03 	9.582949e+03 
5 	49628.390670 	5.385121e-01 	1.099674e+00 	5.293701e+00 	3.099967e-03 	3.309201e-03 	3.332404e-03 	9.266510e+03 
6 	58590.741823 	5.330645e-01 	1.088823e+00 	5.282853e+00 	3.136934e-03 	3.350060e-03 	3.373795e-03 	8.962351e+03 
7 	67260.688927 	5.276727e-01 	1.078057e+00 	5.272090e+00 	3.174169e-03 	3.391240e-03 	3.415517e-03 	8.669947e+03 
8 	75649.484297 	5.223359e-01 	1.067377e+00 	5.261412e+00 	3.211671e-03 	3.432742e-03 	3.457571e-03 	8.388795e+03 
9 	83767.901468 	5.170536e-01 	1.056782e+00 	5.250819e+00 	3.249441e-03 	3.474566e-03 	3.499956e-03 	8.118417e+03 
10 	91626.257275 	5.118253e-01 	1.046270e+00 	5.240309e+00 	3.287478e-03 	3.516713e-03 	3.542674e-03 	7.858356e+03 
11 	99234.432844 	5.066503e-01 	1.035840e+00 	5.229881e+00 	3.325782e-03 	3.559181e-03 	3.585725e-03 	7.608176e+03 
12 	106601.893556 	5.015282e-01 	1.025493e+00 	5.219535e+00 	3.364353e-03 	3.601973e-03 	3.629109e-03 	7.367461e+03 
13 	113737.708030 	4.964584e-01 	1.015226e+00 	5.209270e+00 	3.403191e-03 	3.645087e-03 	3.672825e-03 	7.135814e+03 
14 	120650.566186 	4.914404e-01 	1.005039e+00 	5.199084e+00 	3.442295e-03 	3.688523e-03 	3.716876e-03 	6.912858e+03 
15 	127348.796428 	4.864736e-01 	9.949317e-01 	5.188978e+00 	3.481665e-03 	3.732283e-03 	3.761260e-03 	6.698230e+03 
16 	133840.381994 	4.815574e-01 	9.849027e-01 	5.178950e+00 	3.521300e-03 	3.776365e-03 	3.805977e-03 	6.491586e+03 
17 	140132.976517 	4.766915e-01 	9.749514e-01 	5.168999e+00 	3.561201e-03 	3.820771e-03 	3.851029e-03 	6.292595e+03 
18 	146226.715944 	4.718809e-01 	9.650886e-01 	5.159137e+00 	3.601319e-03 	3.865446e-03 	3.896361e-03 	6.093739e+03 
19 	152121.283950 	4.671315e-01 	9.553268e-01 	5.149375e+00 	3.641596e-03 	3.910327e-03 	3.941908e-03 	5.894568e+03 
20 	157824.568380 	4.624427e-01 	9.456648e-01 	5.139713e+00 	3.682030e-03 	3.955410e-03 	3.987667e-03 	5.703284e+03 
21 	163344.106363 	4.578136e-01 	9.361017e-01 	5.130150e+00 	3.722616e-03 	4.000692e-03 	4.033633e-03 	5.519538e+03 
22 	168687.100816 	4.532436e-01 	9.266364e-01 	5.120684e+00 	3.763350e-03 	4.046167e-03 	4.079803e-03 	5.342994e+03 
23 	173860.436617 	4.487320e-01 	9.172680e-01 	5.111315e+00 	3.804229e-03 	4.091832e-03 	4.126173e-03 	5.173336e+03 
24 	178870.695940 	4.442780e-01 	9.079954e-01 	5.102042e+00 	3.845249e-03 	4.137683e-03 	4.172738e-03 	5.010259e+03 
25 	183724.172806 	4.398810e-01 	8.988175e-01 	5.092863e+00 	3.886406e-03 	4.183716e-03 	4.219494e-03 	4.853477e+03 
26 	188426.886874 	4.355403e-01 	8.897336e-01 	5.083778e+00 	3.927696e-03 	4.229927e-03 	4.266438e-03 	4.702714e+03 
27 	192984.596531 	4.312552e-01 	8.807424e-01 	5.074785e+00 	3.969116e-03 	4.276310e-03 	4.313564e-03 	4.557710e+03 
28 	197402.811307 	4.270251e-01 	8.718432e-01 	5.065885e+00 	4.010660e-03 	4.322863e-03 	4.360870e-03 	4.418215e+03 
29 	201686.803662 	4.228492e-01 	8.630349e-01 	5.057074e+00 	4.052327e-03 	4.369581e-03 	4.408349e-03 	4.283992e+03 
