i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.038678 	5.136146 	0.896244 	0.002979 	0.003273 	0.003304 	0.010830 
1 	10538.422544 	1.033993e+00 	5.127119e+00 	8.871866e-01 	3.008654e-03 	3.308273e-03 	3.339598e-03 	1.053742e+04 
2 	20732.206065 	1.029357e+00 	5.118175e+00 	8.782129e-01 	3.038624e-03 	3.343591e-03 	3.375570e-03 	1.019378e+04 
3 	30594.939526 	1.024773e+00 	5.109323e+00 	8.693307e-01 	3.068677e-03 	3.379054e-03 	3.411697e-03 	9.862733e+03 
4 	40138.993160 	1.020241e+00 	5.100562e+00 	8.605390e-01 	3.098812e-03 	3.414659e-03 	3.447975e-03 	9.544054e+03 
5 	49376.226515 	1.015760e+00 	5.091891e+00 	8.518370e-01 	3.129024e-03 	3.450403e-03 	3.484401e-03 	9.237233e+03 
6 	58318.009703 	1.011328e+00 	5.083308e+00 	8.432237e-01 	3.159312e-03 	3.486284e-03 	3.520974e-03 	8.941783e+03 
7 	66975.245300 	1.006947e+00 	5.074813e+00 	8.346982e-01 	3.189672e-03 	3.522298e-03 	3.557690e-03 	8.657236e+03 
8 	75358.389208 	1.002615e+00 	5.066405e+00 	8.262596e-01 	3.220103e-03 	3.558445e-03 	3.594547e-03 	8.383144e+03 
9 	83477.470520 	9.983320e-01 	5.058083e+00 	8.179070e-01 	3.250601e-03 	3.594719e-03 	3.631542e-03 	8.119081e+03 
10 	91342.110440 	9.940971e-01 	5.049847e+00 	8.096395e-01 	3.281165e-03 	3.631120e-03 	3.668672e-03 	7.864640e+03 
11 	98961.540305 	9.899099e-01 	5.041694e+00 	8.014563e-01 	3.311790e-03 	3.667644e-03 	3.705935e-03 	7.619430e+03 
12 	106344.618758 	9.857699e-01 	5.033625e+00 	7.933564e-01 	3.342476e-03 	3.704288e-03 	3.743328e-03 	7.383078e+03 
13 	113499.848105 	9.816767e-01 	5.025639e+00 	7.853390e-01 	3.373218e-03 	3.741050e-03 	3.780848e-03 	7.155229e+03 
14 	120435.389912 	9.776297e-01 	5.017735e+00 	7.774033e-01 	3.404015e-03 	3.777926e-03 	3.818493e-03 	6.935542e+03 
15 	127159.079858 	9.736284e-01 	5.009911e+00 	7.695484e-01 	3.434863e-03 	3.814915e-03 	3.856259e-03 	6.723690e+03 
16 	133678.441908 	9.696724e-01 	5.002167e+00 	7.617735e-01 	3.465760e-03 	3.852012e-03 	3.894143e-03 	6.519362e+03 
17 	140000.701814 	9.657612e-01 	4.994503e+00 	7.540777e-01 	3.496704e-03 	3.889216e-03 	3.932144e-03 	6.322260e+03 
18 	146132.799996 	9.618942e-01 	4.986917e+00 	7.464603e-01 	3.527691e-03 	3.926523e-03 	3.970257e-03 	6.132098e+03 
19 	152081.403819 	9.580711e-01 	4.979408e+00 	7.389205e-01 	3.558720e-03 	3.963931e-03 	4.008481e-03 	5.948604e+03 
20 	157852.919312 	9.542913e-01 	4.971977e+00 	7.314573e-01 	3.589787e-03 	4.001437e-03 	4.046812e-03 	5.771515e+03 
21 	163453.502342 	9.505543e-01 	4.964621e+00 	7.240702e-01 	3.620889e-03 	4.039037e-03 	4.085247e-03 	5.600583e+03 
22 	168889.069272 	9.468598e-01 	4.957341e+00 	7.167582e-01 	3.652025e-03 	4.076729e-03 	4.123783e-03 	5.435567e+03 
23 	174165.307135 	9.432072e-01 	4.950135e+00 	7.095206e-01 	3.683190e-03 	4.114509e-03 	4.162418e-03 	5.276238e+03 
