i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.083842 	0.428989 	6.558237 	0.002879 	0.003035 	0.003051 	0.010830 
1 	9263.453262 	8.319268e-02 	4.247002e-01 	6.553931e+00 	2.890744e-03 	3.047768e-03 	3.063708e-03 	9.262453e+03 
2 	18423.668876 	8.255228e-02 	4.204511e-01 	6.549665e+00 	2.902042e-03 	3.060034e-03 	3.076097e-03 	9.160216e+03 
3 	27483.595153 	8.192157e-02 	4.162447e-01 	6.545442e+00 	2.913280e-03 	3.072237e-03 	3.088423e-03 	9.059926e+03 
4 	36445.216598 	8.130039e-02 	4.120806e-01 	6.541260e+00 	2.924459e-03 	3.084377e-03 	3.100686e-03 	8.961621e+03 
5 	45310.469986 	8.068857e-02 	4.079584e-01 	6.537121e+00 	2.935578e-03 	3.096455e-03 	3.112886e-03 	8.865253e+03 
6 	54081.245327 	8.008595e-02 	4.038776e-01 	6.533022e+00 	2.946638e-03 	3.108470e-03 	3.125023e-03 	8.770775e+03 
7 	62759.387188 	7.949237e-02 	3.998378e-01 	6.528965e+00 	2.957637e-03 	3.120421e-03 	3.137096e-03 	8.678142e+03 
8 	71346.695986 	7.890766e-02 	3.958386e-01 	6.524948e+00 	2.968576e-03 	3.132310e-03 	3.149106e-03 	8.587309e+03 
9 	79844.929232 	7.833168e-02 	3.918796e-01 	6.520971e+00 	2.979455e-03 	3.144135e-03 	3.161053e-03 	8.498233e+03 
10 	88255.802736 	7.776428e-02 	3.879604e-01 	6.517034e+00 	2.990273e-03 	3.155896e-03 	3.172935e-03 	8.410874e+03 
11 	96580.991776 	7.720530e-02 	3.840805e-01 	6.513136e+00 	3.001031e-03 	3.167593e-03 	3.184754e-03 	8.325189e+03 
12 	104822.132226 	7.665461e-02 	3.802397e-01 	6.509277e+00 	3.011729e-03 	3.179227e-03 	3.196508e-03 	8.241140e+03 
13 	112980.821653 	7.611206e-02 	3.764374e-01 	6.505456e+00 	3.022366e-03 	3.190797e-03 	3.208199e-03 	8.158689e+03 
14 	121058.620374 	7.557751e-02 	3.726733e-01 	6.501674e+00 	3.032942e-03 	3.202303e-03 	3.219825e-03 	8.077799e+03 
15 	129057.052481 	7.505082e-02 	3.689470e-01 	6.497929e+00 	3.043458e-03 	3.213744e-03 	3.231386e-03 	7.998432e+03 
16 	136977.606839 	7.453186e-02 	3.652581e-01 	6.494222e+00 	3.053913e-03 	3.225121e-03 	3.242883e-03 	7.920554e+03 
17 	144821.738044 	7.402049e-02 	3.616063e-01 	6.490551e+00 	3.064307e-03 	3.236434e-03 	3.254316e-03 	7.844131e+03 
18 	152590.867358 	7.351660e-02 	3.579911e-01 	6.486917e+00 	3.074640e-03 	3.247683e-03 	3.265683e-03 	7.769129e+03 
19 	160286.383613 	7.302004e-02 	3.544122e-01 	6.483319e+00 	3.084913e-03 	3.258867e-03 	3.276987e-03 	7.695516e+03 
20 	167909.644084 	7.253070e-02 	3.508693e-01 	6.479757e+00 	3.095124e-03 	3.269987e-03 	3.288225e-03 	7.623260e+03 
21 	175461.975340 	7.204846e-02 	3.473619e-01 	6.476231e+00 	3.105275e-03 	3.281042e-03 	3.299398e-03 	7.552331e+03 
22 	182944.674067 	7.157319e-02 	3.438898e-01 	6.472740e+00 	3.115365e-03 	3.292032e-03 	3.310507e-03 	7.482699e+03 
23 	190359.007862 	7.110477e-02 	3.404525e-01 	6.469283e+00 	3.125394e-03 	3.302958e-03 	3.321550e-03 	7.414334e+03 
