i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.062722 	6.946600 	0.061746 	0.002881 	0.003087 	0.003104 	0.010830 
1 	558.089570 	6.264761e-02 	6.945983e+00 	6.112823e-02 	2.883062e-03 	3.088386e-03 	3.106006e-03 	5.570896e+02 
2 	1108.965077 	6.257420e-02 	6.945373e+00 	6.051659e-02 	2.884660e-03 	3.090186e-03 	3.107826e-03 	5.508755e+02 
3 	1653.701624 	6.250158e-02 	6.944768e+00 	5.991108e-02 	2.886243e-03 	3.091970e-03 	3.109630e-03 	5.447365e+02 
4 	2192.373779 	6.242975e-02 	6.944170e+00 	5.931163e-02 	2.887811e-03 	3.093737e-03 	3.111417e-03 	5.386722e+02 
5 	2725.055079 	6.235870e-02 	6.943577e+00 	5.871819e-02 	2.889364e-03 	3.095488e-03 	3.113187e-03 	5.326813e+02 
6 	3251.818054 	6.228842e-02 	6.942991e+00 	5.813068e-02 	2.890903e-03 	3.097222e-03 	3.114941e-03 	5.267630e+02 
7 	3772.734235 	6.221889e-02 	6.942410e+00 	5.754905e-02 	2.892428e-03 	3.098940e-03 	3.116679e-03 	5.209162e+02 
8 	4287.874177 	6.215011e-02 	6.941836e+00 	5.697325e-02 	2.893938e-03 	3.100643e-03 	3.118400e-03 	5.151399e+02 
9 	4797.307469 	6.208208e-02 	6.941267e+00 	5.640321e-02 	2.895434e-03 	3.102329e-03 	3.120106e-03 	5.094333e+02 
10 	5301.102754 	6.201478e-02 	6.940703e+00 	5.583888e-02 	2.896916e-03 	3.104000e-03 	3.121795e-03 	5.037953e+02 
11 	5799.327739 	6.194820e-02 	6.940145e+00 	5.528020e-02 	2.898384e-03 	3.105655e-03 	3.123469e-03 	4.982250e+02 
12 	6292.049215 	6.188234e-02 	6.939593e+00 	5.472711e-02 	2.899838e-03 	3.107295e-03 	3.125127e-03 	4.927215e+02 
13 	6779.333066 	6.181719e-02 	6.939047e+00 	5.417955e-02 	2.901279e-03 	3.108919e-03 	3.126770e-03 	4.872839e+02 
14 	7261.244290 	6.175274e-02 	6.938506e+00 	5.363748e-02 	2.902706e-03 	3.110528e-03 	3.128397e-03 	4.819112e+02 
15 	7737.847005 	6.168899e-02 	6.937970e+00 	5.310083e-02 	2.904120e-03 	3.112122e-03 	3.130009e-03 	4.766027e+02 
16 	8209.204470 	6.162591e-02 	6.937440e+00 	5.256956e-02 	2.905520e-03 	3.113701e-03 	3.131607e-03 	4.713575e+02 
17 	8675.379092 	6.156352e-02 	6.936915e+00 	5.204360e-02 	2.906908e-03 	3.115266e-03 	3.133189e-03 	4.661746e+02 
18 	9136.432446 	6.150179e-02 	6.936395e+00 	5.152291e-02 	2.908282e-03 	3.116816e-03 	3.134756e-03 	4.610534e+02 
19 	9592.425282 	6.144073e-02 	6.935880e+00 	5.100743e-02 	2.909643e-03 	3.118351e-03 	3.136308e-03 	4.559928e+02 
20 	10043.417539 	6.138031e-02 	6.935371e+00 	5.049711e-02 	2.910991e-03 	3.119871e-03 	3.137847e-03 	4.509923e+02 
21 	10489.468361 	6.132055e-02 	6.934867e+00 	4.999190e-02 	2.912327e-03 	3.121378e-03 	3.139370e-03 	4.460508e+02 
22 	10930.636106 	6.126143e-02 	6.934367e+00 	4.949174e-02 	2.913650e-03 	3.122870e-03 	3.140879e-03 	4.411677e+02 
23 	11366.978359 	6.120293e-02 	6.933873e+00 	4.899660e-02 	2.914961e-03 	3.124349e-03 	3.142374e-03 	4.363423e+02 
24 	11798.551942 	6.114507e-02 	6.933384e+00 	4.850640e-02 	2.916259e-03 	3.125813e-03 	3.143855e-03 	4.315736e+02 
25 	12225.412929 	6.108782e-02 	6.932899e+00 	4.802112e-02 	2.917545e-03 	3.127264e-03 	3.145323e-03 	4.268610e+02 
26 	12647.616656 	6.103118e-02 	6.932420e+00 	4.754069e-02 	2.918818e-03 	3.128701e-03 	3.146776e-03 	4.222037e+02 
27 	13065.217730 	6.097515e-02 	6.931945e+00 	4.706507e-02 	2.920080e-03 	3.130124e-03 	3.148215e-03 	4.176011e+02 
28 	13478.270045 	6.091971e-02 	6.931475e+00 	4.659421e-02 	2.921330e-03 	3.131534e-03 	3.149641e-03 	4.130523e+02 
29 	13886.826786 	6.086486e-02 	6.931009e+00 	4.612806e-02 	2.922567e-03 	3.132931e-03 	3.151054e-03 	4.085567e+02 
30 	14290.940445 	6.081060e-02 	6.930549e+00 	4.566658e-02 	2.923793e-03 	3.134314e-03 	3.152453e-03 	4.041137e+02 
31 	14690.662832 	6.075692e-02 	6.930093e+00 	4.520971e-02 	2.925008e-03 	3.135684e-03 	3.153839e-03 	3.997224e+02 
32 	15086.045080 	6.070381e-02 	6.929641e+00 	4.475742e-02 	2.926211e-03 	3.137042e-03 	3.155212e-03 	3.953822e+02 
33 	15477.137658 	6.065126e-02 	6.929194e+00 	4.430966e-02 	2.927402e-03 	3.138386e-03 	3.156572e-03 	3.910926e+02 
34 	15863.990385 	6.059927e-02 	6.928752e+00 	4.386638e-02 	2.928582e-03 	3.139718e-03 	3.157919e-03 	3.868527e+02 
35 	16246.652431 	6.054784e-02 	6.928314e+00 	4.342753e-02 	2.929751e-03 	3.141037e-03 	3.159253e-03 	3.826620e+02 
