i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.624976 	2.007690 	1.438402 	0.003773 	0.006426 	0.007157 	0.010830 
1 	4505.118138 	3.624597e+00 	2.008605e+00 	1.451867e+00 	3.734642e-03 	6.228529e-03 	6.905442e-03 	4.504118e+03 
2 	9960.572626 	3.624818e+00 	2.009909e+00 	1.465272e+00 	3.695141e-03 	6.048352e-03 	6.678025e-03 	5.455454e+03 
3 	16366.561749 	3.625404e+00 	2.011772e+00 	1.478950e+00 	3.654051e-03 	5.877265e-03 	6.463834e-03 	6.405989e+03 
4 	23788.724946 	3.626168e+00 	2.014260e+00 	1.492786e+00 	3.611911e-03 	5.714999e-03 	6.262219e-03 	7.422163e+03 
5 	32356.207201 	3.626895e+00 	2.017315e+00 	1.506731e+00 	3.569385e-03 	5.561690e-03 	6.073047e-03 	8.567482e+03 
6 	42284.983956 	3.627372e+00 	2.020804e+00 	1.520746e+00 	3.527227e-03 	5.417842e-03 	5.896656e-03 	9.928777e+03 
7 	53899.069955 	3.627389e+00 	2.024547e+00 	1.534804e+00 	3.486198e-03 	5.283996e-03 	5.733438e-03 	1.161409e+04 
8 	67662.052122 	3.626732e+00 	2.028330e+00 	1.548884e+00 	3.447060e-03 	5.160706e-03 	5.583804e-03 	1.376298e+04 
9 	84228.499138 	3.625158e+00 	2.031898e+00 	1.562971e+00 	3.410626e-03 	5.048639e-03 	5.448301e-03 	1.656645e+04 
10 	104528.727522 	3.622366e+00 	2.034946e+00 	1.577049e+00 	3.377846e-03 	4.948747e-03 	5.327810e-03 	2.030023e+04 
11 	129907.836733 	3.617945e+00 	2.037070e+00 	1.591103e+00 	3.349951e-03 	4.862526e-03 	5.223834e-03 	2.537911e+04 
12 	162351.266207 	3.611304e+00 	2.037717e+00 	1.605122e+00 	3.328660e-03 	4.792387e-03 	5.138923e-03 	3.244343e+04 
13 	204833.830351 	3.601548e+00 	2.036086e+00 	1.619113e+00 	3.316517e-03 	4.742220e-03 	5.077297e-03 	4.248256e+04 
14 	261765.501282 	3.587306e+00 	2.030997e+00 	1.633142e+00 	3.317340e-03 	4.718147e-03 	5.045688e-03 	5.693167e+04 
15 	339116.264550 	3.566585e+00 	2.020808e+00 	1.647426e+00 	3.336546e-03 	4.728958e-03 	5.053821e-03 	7.735076e+04 
16 	442494.138969 	3.537147e+00 	2.003755e+00 	1.662431e+00 	3.380121e-03 	4.784150e-03 	5.112188e-03 	1.033779e+05 
17 	553664.053204 	3.503570e+00 	1.982568e+00 	1.676270e+00 	3.441143e-03 	4.873608e-03 	5.209803e-03 	1.111699e+05 
18 	653264.103354 	3.471895e+00 	1.961965e+00 	1.688424e+00 	3.503225e-03 	4.967708e-03 	5.313190e-03 	9.960005e+04 
19 	745405.755029 	3.441191e+00 	1.941735e+00 	1.700036e+00 	3.565700e-03 	5.063251e-03 	5.418398e-03 	9.214165e+04 
20 	831335.428930 	3.411220e+00 	1.921751e+00 	1.711233e+00 	3.628891e-03 	5.160662e-03 	5.525884e-03 	8.592967e+04 
21 	911966.799314 	3.381831e+00 	1.902011e+00 	1.722272e+00 	3.692432e-03 	5.258792e-03 	5.634267e-03 	8.063137e+04 
22 	987693.495259 	3.352996e+00 	1.882479e+00 	1.733108e+00 	3.756528e-03 	5.358132e-03 	5.744126e-03 	7.572670e+04 
23 	1058960.997010 	3.324673e+00 	1.863163e+00 	1.743831e+00 	3.820985e-03 	5.458149e-03 	5.854827e-03 	7.126750e+04 
24 	1126044.746919 	3.296855e+00 	1.844047e+00 	1.754404e+00 	3.885913e-03 	5.559131e-03 	5.966714e-03 	6.708375e+04 
25 	1189256.129515 	3.269523e+00 	1.825136e+00 	1.764865e+00 	3.951208e-03 	5.660816e-03 	6.079478e-03 	6.321138e+04 
26 	1248834.920836 	3.242672e+00 	1.806422e+00 	1.775196e+00 	4.016921e-03 	5.763343e-03 	6.193287e-03 	5.957879e+04 
27 	1305029.100243 	3.216289e+00 	1.787907e+00 	1.785412e+00 	4.082996e-03 	5.866581e-03 	6.307989e-03 	5.619418e+04 
28 	1358050.932219 	3.190369e+00 	1.769585e+00 	1.795506e+00 	4.149450e-03 	5.970584e-03 	6.423652e-03 	5.302183e+04 
29 	1408107.642669 	3.164900e+00 	1.751457e+00 	1.805486e+00 	4.216253e-03 	6.075284e-03 	6.540198e-03 	5.005671e+04 
30 	1455385.424265 	3.139876e+00 	1.733518e+00 	1.815349e+00 	4.283405e-03 	6.180694e-03 	6.657646e-03 	4.727778e+04 
31 	1500061.036598 	3.115289e+00 	1.715768e+00 	1.825099e+00 	4.350885e-03 	6.286775e-03 	6.775952e-03 	4.467561e+04 
32 	1542296.752479 	3.091129e+00 	1.698204e+00 	1.834736e+00 	4.418688e-03 	6.393521e-03 	6.895111e-03 	4.223572e+04 
33 	1582244.827173 	3.067389e+00 	1.680824e+00 	1.844261e+00 	4.486799e-03 	6.500904e-03 	7.015095e-03 	3.994807e+04 
34 	1620046.349568 	3.044063e+00 	1.663627e+00 	1.853676e+00 	4.555207e-03 	6.608911e-03 	7.135889e-03 	3.780152e+04 
35 	1655833.147754 	3.021140e+00 	1.646609e+00 	1.862982e+00 	4.623899e-03 	6.717519e-03 	7.257471e-03 	3.578680e+04 
36 	1689727.889510 	2.998615e+00 	1.629770e+00 	1.872181e+00 	4.692866e-03 	6.826711e-03 	7.379822e-03 	3.389474e+04 
37 	1721845.077886 	2.976480e+00 	1.613106e+00 	1.881273e+00 	4.762094e-03 	6.936466e-03 	7.502921e-03 	3.211719e+04 
38 	1752291.480254 	2.954727e+00 	1.596617e+00 	1.890259e+00 	4.831574e-03 	7.046766e-03 	7.626748e-03 	3.044640e+04 
39 	1781166.781856 	2.933350e+00 	1.580301e+00 	1.899142e+00 	4.901292e-03 	7.157592e-03 	7.751283e-03 	2.887530e+04 
40 	1808564.053105 	2.912340e+00 	1.564155e+00 	1.907922e+00 	4.971239e-03 	7.268925e-03 	7.876506e-03 	2.739727e+04 
41 	1834570.249771 	2.891691e+00 	1.548177e+00 	1.916599e+00 	5.041403e-03 	7.380745e-03 	8.002397e-03 	2.600620e+04 
42 	1859266.639324 	2.871396e+00 	1.532367e+00 	1.925177e+00 	5.111774e-03 	7.493035e-03 	8.128936e-03 	2.469639e+04 
43 	1882729.211868 	2.851448e+00 	1.516721e+00 	1.933655e+00 	5.182339e-03 	7.605774e-03 	8.256102e-03 	2.346257e+04 
44 	1905029.051034 	2.831841e+00 	1.501239e+00 	1.942034e+00 	5.253090e-03 	7.718945e-03 	8.383877e-03 	2.229984e+04 
45 	1926232.680728 	2.812567e+00 	1.485918e+00 	1.950317e+00 	5.324015e-03 	7.832530e-03 	8.512239e-03 	2.120363e+04 
46 	1946402.383630 	2.793620e+00 	1.470756e+00 	1.958503e+00 	5.395105e-03 	7.946509e-03 	8.641170e-03 	2.016970e+04 
47 	1965596.496631 	2.774994e+00 	1.455753e+00 	1.966594e+00 	5.466348e-03 	8.060866e-03 	8.770650e-03 	1.919411e+04 
