i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.178369 	2.256385 	3.636313 	0.002985 	0.003246 	0.003277 	0.010830 
1 	24988.557002 	1.166708e+00 	2.233217e+00 	3.613180e+00 	3.061861e-03 	3.334305e-03 	3.366770e-03 	2.498756e+04 
2 	48284.518943 	1.155175e+00 	2.210210e+00 	3.590209e+00 	3.140813e-03 	3.425154e-03 	3.459363e-03 	2.329596e+04 
3 	70002.701749 	1.143798e+00 	2.187440e+00 	3.567476e+00 	3.221600e-03 	3.518337e-03 	3.554381e-03 	2.171818e+04 
4 	90253.784291 	1.132578e+00 	2.164907e+00 	3.544979e+00 	3.304249e-03 	3.613901e-03 	3.651876e-03 	2.025108e+04 
5 	109140.585275 	1.121513e+00 	2.142609e+00 	3.522718e+00 	3.388795e-03 	3.711900e-03 	3.751906e-03 	1.888680e+04 
6 	126758.544752 	1.110604e+00 	2.120543e+00 	3.500688e+00 	3.475272e-03 	3.812391e-03 	3.854533e-03 	1.761796e+04 
7 	143196.261852 	1.099848e+00 	2.098706e+00 	3.478888e+00 	3.563714e-03 	3.915428e-03 	3.959819e-03 	1.643772e+04 
8 	158535.994377 	1.089245e+00 	2.077096e+00 	3.457315e+00 	3.654155e-03 	4.021070e-03 	4.067825e-03 	1.533973e+04 
9 	172854.121399 	1.078794e+00 	2.055711e+00 	3.435967e+00 	3.746630e-03 	4.129374e-03 	4.178615e-03 	1.431813e+04 
10 	186221.571605 	1.068495e+00 	2.034548e+00 	3.414842e+00 	3.841174e-03 	4.240399e-03 	4.292256e-03 	1.336745e+04 
11 	198704.219968 	1.058346e+00 	2.013606e+00 	3.393938e+00 	3.937821e-03 	4.354207e-03 	4.408813e-03 	1.248265e+04 
12 	210363.255096 	1.048347e+00 	1.992881e+00 	3.373252e+00 	4.036605e-03 	4.470856e-03 	4.528353e-03 	1.165904e+04 
13 	221255.519474 	1.038498e+00 	1.972372e+00 	3.352781e+00 	4.137563e-03 	4.590411e-03 	4.650947e-03 	1.089226e+04 
