i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.906492 	0.010732 	4.153844 	0.003241 	0.003755 	0.003865 	0.010830 
1 	18048.832138 	2.905601e+00 	1.062560e-02 	4.153835e+00 	3.242328e-03 	3.756748e-03 	3.866456e-03 	1.804783e+04 
2 	36080.496271 	2.904709e+00 	1.051982e-02 	4.153828e+00 	3.243710e-03 	3.758368e-03 	3.868130e-03 	1.803166e+04 
3 	54096.077813 	2.903818e+00 	1.041510e-02 	4.153821e+00 	3.245089e-03 	3.759984e-03 	3.869802e-03 	1.801558e+04 
4 	72095.661209 	2.902926e+00 	1.031143e-02 	4.153816e+00 	3.246467e-03 	3.761599e-03 	3.871471e-03 	1.799958e+04 
5 	90079.329934 	2.902033e+00 	1.020878e-02 	4.153811e+00 	3.247843e-03 	3.763210e-03 	3.873137e-03 	1.798367e+04 
6 	108047.166503 	2.901140e+00 	1.010716e-02 	4.153807e+00 	3.249217e-03 	3.764820e-03 	3.874800e-03 	1.796784e+04 
7 	125999.252486 	2.900247e+00 	1.000654e-02 	4.153804e+00 	3.250590e-03 	3.766427e-03 	3.876461e-03 	1.795209e+04 
8 	143935.668513 	2.899354e+00 	9.906935e-03 	4.153802e+00 	3.251960e-03 	3.768031e-03 	3.878119e-03 	1.793642e+04 
9 	161856.494290 	2.898460e+00 	9.808317e-03 	4.153800e+00 	3.253329e-03 	3.769633e-03 	3.879775e-03 	1.792083e+04 
10 	179761.808607 	2.897566e+00 	9.710680e-03 	4.153800e+00 	3.254697e-03 	3.771233e-03 	3.881428e-03 	1.790531e+04 
11 	197651.689351 	2.896671e+00 	9.614016e-03 	4.153800e+00 	3.256063e-03 	3.772831e-03 	3.883079e-03 	1.788988e+04 
12 	215526.213513 	2.895777e+00 	9.518314e-03 	4.153801e+00 	3.257427e-03 	3.774426e-03 	3.884727e-03 	1.787452e+04 
13 	233385.457202 	2.894881e+00 	9.423565e-03 	4.153803e+00 	3.258790e-03 	3.776019e-03 	3.886373e-03 	1.785924e+04 
14 	251229.495655 	2.893986e+00 	9.329760e-03 	4.153805e+00 	3.260151e-03 	3.777610e-03 	3.888016e-03 	1.784404e+04 
15 	269058.403243 	2.893090e+00 	9.236888e-03 	4.153809e+00 	3.261510e-03 	3.779199e-03 	3.889657e-03 	1.782891e+04 
16 	286872.253487 	2.892194e+00 	9.144941e-03 	4.153813e+00 	3.262868e-03 	3.780785e-03 	3.891296e-03 	1.781385e+04 
17 	304671.119064 	2.891297e+00 	9.053909e-03 	4.153818e+00 	3.264225e-03 	3.782370e-03 	3.892932e-03 	1.779887e+04 
18 	322455.071817 	2.890400e+00 	8.963784e-03 	4.153823e+00 	3.265580e-03 	3.783952e-03 	3.894566e-03 	1.778395e+04 
19 	340224.182766 	2.889503e+00 	8.874556e-03 	4.153830e+00 	3.266934e-03 	3.785533e-03 	3.896198e-03 	1.776911e+04 
20 	357978.522117 	2.888606e+00 	8.786216e-03 	4.153837e+00 	3.268286e-03 	3.787111e-03 	3.897827e-03 	1.775434e+04 
21 	375718.159271 	2.887708e+00 	8.698756e-03 	4.153845e+00 	3.269637e-03 	3.788688e-03 	3.899455e-03 	1.773964e+04 
22 	393443.162835 	2.886810e+00 	8.612166e-03 	4.153853e+00 	3.270987e-03 	3.790262e-03 	3.901080e-03 	1.772500e+04 
23 	411153.600627 	2.885911e+00 	8.526439e-03 	4.153862e+00 	3.272336e-03 	3.791835e-03 	3.902704e-03 	1.771044e+04 
24 	428849.539692 	2.885012e+00 	8.441565e-03 	4.153872e+00 	3.273683e-03 	3.793406e-03 	3.904325e-03 	1.769594e+04 
25 	446531.046302 	2.884113e+00 	8.357536e-03 	4.153883e+00 	3.275028e-03 	3.794975e-03 	3.905944e-03 	1.768151e+04 
26 	464198.185973 	2.883214e+00 	8.274344e-03 	4.153894e+00 	3.276373e-03 	3.796542e-03 	3.907562e-03 	1.766714e+04 
27 	481851.023471 	2.882314e+00 	8.191979e-03 	4.153906e+00 	3.277716e-03 	3.798108e-03 	3.909177e-03 	1.765284e+04 
28 	499489.622817 	2.881414e+00 	8.110435e-03 	4.153918e+00 	3.279058e-03 	3.799671e-03 	3.910790e-03 	1.763860e+04 
29 	517114.047302 	2.880513e+00 	8.029703e-03 	4.153931e+00 	3.280399e-03 	3.801233e-03 	3.912402e-03 	1.762442e+04 
30 	534724.359489 	2.879612e+00 	7.949774e-03 	4.153945e+00 	3.281739e-03 	3.802794e-03 	3.914011e-03 	1.761031e+04 
31 	552320.621226 	2.878711e+00 	7.870641e-03 	4.153959e+00 	3.283077e-03 	3.804352e-03 	3.915619e-03 	1.759626e+04 
32 	569902.893653 	2.877810e+00 	7.792296e-03 	4.153974e+00 	3.284415e-03 	3.805909e-03 	3.917225e-03 	1.758227e+04 
33 	587471.237209 	2.876908e+00 	7.714731e-03 	4.153990e+00 	3.285751e-03 	3.807465e-03 	3.918829e-03 	1.756834e+04 
34 	605025.711641 	2.876006e+00 	7.637938e-03 	4.154006e+00 	3.287086e-03 	3.809019e-03 	3.920432e-03 	1.755447e+04 
35 	622566.376010 	2.875104e+00 	7.561910e-03 	4.154023e+00 	3.288421e-03 	3.810571e-03 	3.922033e-03 	1.754066e+04 
36 	640093.288703 	2.874201e+00 	7.486638e-03 	4.154040e+00 	3.289754e-03 	3.812122e-03 	3.923632e-03 	1.752691e+04 
