i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.059285 	1.570029 	4.441754 	0.002968 	0.003204 	0.003232 	0.010830 
1 	17829.384802 	1.050585e+00 	1.554044e+00 	4.425792e+00 	3.020481e-03 	3.263918e-03 	3.292836e-03 	1.782838e+04 
2 	34765.847853 	1.041961e+00 	1.538182e+00 	4.409953e+00 	3.074240e-03 	3.324721e-03 	3.354675e-03 	1.693646e+04 
3 	50856.455864 	1.033432e+00 	1.522484e+00 	4.394278e+00 	3.128698e-03 	3.386393e-03 	3.417415e-03 	1.609061e+04 
4 	66146.771706 	1.024997e+00 	1.506947e+00 	4.378764e+00 	3.183856e-03 	3.448938e-03 	3.481060e-03 	1.529032e+04 
5 	80679.789171 	1.016655e+00 	1.491571e+00 	4.363410e+00 	3.239716e-03 	3.512360e-03 	3.545617e-03 	1.453302e+04 
6 	94496.055911 	1.008406e+00 	1.476354e+00 	4.348215e+00 	3.296281e-03 	3.576666e-03 	3.611092e-03 	1.381627e+04 
7 	107633.818724 	1.000247e+00 	1.461293e+00 	4.333176e+00 	3.353553e-03 	3.641860e-03 	3.677491e-03 	1.313776e+04 
8 	120129.160280 	9.921793e-01 	1.446387e+00 	4.318293e+00 	3.411535e-03 	3.707947e-03 	3.744821e-03 	1.249534e+04 
9 	132016.127425 	9.842005e-01 	1.431635e+00 	4.303563e+00 	3.470228e-03 	3.774933e-03 	3.813085e-03 	1.188697e+04 
10 	143326.851568 	9.763100e-01 	1.417036e+00 	4.288985e+00 	3.529634e-03 	3.842822e-03 	3.882292e-03 	1.131072e+04 
11 	154091.661681 	9.685068e-01 	1.402586e+00 	4.274558e+00 	3.589756e-03 	3.911620e-03 	3.952445e-03 	1.076481e+04 
12 	164339.190360 	9.607901e-01 	1.388286e+00 	4.260279e+00 	3.650594e-03 	3.981330e-03 	4.023552e-03 	1.024753e+04 
13 	174096.473396 	9.531589e-01 	1.374133e+00 	4.246148e+00 	3.712151e-03 	4.051956e-03 	4.095616e-03 	9.757283e+03 
14 	183389.043267 	9.456123e-01 	1.360126e+00 	4.232162e+00 	3.774427e-03 	4.123504e-03 	4.168643e-03 	9.292570e+03 
15 	192241.016934 	9.381494e-01 	1.346263e+00 	4.218321e+00 	3.837423e-03 	4.195978e-03 	4.242638e-03 	8.851974e+03 
16 	200675.178295 	9.307693e-01 	1.332543e+00 	4.204622e+00 	3.901141e-03 	4.269380e-03 	4.317605e-03 	8.434161e+03 
17 	208713.055642 	9.234710e-01 	1.318964e+00 	4.191064e+00 	3.965581e-03 	4.343715e-03 	4.393551e-03 	8.037877e+03 
18 	216374.994426 	9.162537e-01 	1.305525e+00 	4.177646e+00 	4.030744e-03 	4.418986e-03 	4.470478e-03 	7.661939e+03 
19 	223680.225628 	9.091166e-01 	1.292225e+00 	4.164366e+00 	4.096630e-03 	4.495198e-03 	4.548392e-03 	7.305231e+03 
20 	230646.930014 	9.020588e-01 	1.279061e+00 	4.151224e+00 	4.163240e-03 	4.572351e-03 	4.627296e-03 	6.966704e+03 
21 	237292.298521 	8.950793e-01 	1.266034e+00 	4.138216e+00 	4.230573e-03 	4.650451e-03 	4.707194e-03 	6.645369e+03 
22 	243632.589024 	8.881774e-01 	1.253140e+00 	4.125343e+00 	4.298631e-03 	4.729500e-03 	4.788091e-03 	6.340291e+03 
23 	249683.179708 	8.813522e-01 	1.240379e+00 	4.112602e+00 	4.367411e-03 	4.809500e-03 	4.869990e-03 	6.050591e+03 
24 	255458.619251 	8.746029e-01 	1.227749e+00 	4.099992e+00 	4.436915e-03 	4.890453e-03 	4.952895e-03 	5.775440e+03 
25 	260972.674014 	8.679287e-01 	1.215250e+00 	4.087512e+00 	4.507141e-03 	4.972362e-03 	5.036808e-03 	5.514055e+03 
26 	266238.372436 	8.613287e-01 	1.202879e+00 	4.075161e+00 	4.578088e-03 	5.055230e-03 	5.121732e-03 	5.265698e+03 
