i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.374406 	3.327707 	0.368954 	0.003716 	0.007419 	0.008260 	0.010830 
1 	2141.564581 	3.373414e+00 	3.329246e+00 	3.722771e-01 	3.705604e-03 	7.245962e-03 	8.043042e-03 	2.140565e+03 
2 	4991.238440 	3.372092e+00 	3.330379e+00 	3.755117e-01 	3.696811e-03 	7.108773e-03 	7.871913e-03 	2.849674e+03 
3 	8762.902254 	3.370467e+00 	3.331119e+00 	3.787981e-01 	3.689187e-03 	6.994284e-03 	7.729310e-03 	3.771664e+03 
4 	13746.544872 	3.368560e+00 	3.331356e+00 	3.821389e-01 	3.683021e-03 	6.900213e-03 	7.612224e-03 	4.983643e+03 
5 	20210.335343 	3.366414e+00 	3.331010e+00 	3.855517e-01 	3.678426e-03 	6.824036e-03 	7.517399e-03 	6.463790e+03 
6 	28388.745666 	3.364082e+00 	3.330016e+00 	3.890501e-01 	3.675458e-03 	6.763826e-03 	7.442357e-03 	8.178410e+03 
7 	38408.540356 	3.361628e+00 	3.328356e+00 	3.926437e-01 	3.674048e-03 	6.717510e-03 	7.384485e-03 	1.001979e+04 
8 	50257.791374 	3.359118e+00 	3.326056e+00 	3.963320e-01 	3.674038e-03 	6.683008e-03 	7.341187e-03 	1.184925e+04 
9 	63811.905947 	3.356602e+00 	3.323173e+00 	4.001099e-01 	3.675226e-03 	6.658266e-03 	7.309914e-03 	1.355411e+04 
10 	78872.833265 	3.354111e+00 	3.319785e+00 	4.039702e-01 	3.677398e-03 	6.641365e-03 	7.288296e-03 	1.506093e+04 
11 	95211.904464 	3.351662e+00 	3.315971e+00 	4.079051e-01 	3.680357e-03 	6.630633e-03 	7.274272e-03 	1.633907e+04 
12 	112606.162982 	3.349258e+00 	3.311804e+00 	4.119074e-01 	3.683939e-03 	6.624706e-03 	7.266162e-03 	1.739426e+04 
13 	130858.502001 	3.346896e+00 	3.307346e+00 	4.159711e-01 	3.688017e-03 	6.622517e-03 	7.262651e-03 	1.825234e+04 
14 	149803.724714 	3.344566e+00 	3.302646e+00 	4.200920e-01 	3.692495e-03 	6.623254e-03 	7.262737e-03 	1.894522e+04 
15 	169307.070106 	3.342261e+00 	3.297743e+00 	4.242668e-01 	3.697303e-03 	6.626298e-03 	7.265660e-03 	1.950335e+04 
16 	189259.981611 	3.339969e+00 	3.292667e+00 	4.284933e-01 	3.702387e-03 	6.631185e-03 	7.270843e-03 	1.995291e+04 
17 	209575.446989 	3.337681e+00 	3.287442e+00 	4.327697e-01 	3.707711e-03 	6.637557e-03 	7.277849e-03 	2.031547e+04 
18 	230183.789943 	3.335391e+00 	3.282086e+00 	4.370951e-01 	3.713245e-03 	6.645146e-03 	7.286343e-03 	2.060834e+04 
19 	251029.144570 	3.333091e+00 	3.276613e+00 	4.414687e-01 	3.718968e-03 	6.653741e-03 	7.296067e-03 	2.084535e+04 
20 	272066.596206 	3.330776e+00 	3.271034e+00 	4.458900e-01 	3.724865e-03 	6.663185e-03 	7.306823e-03 	2.103745e+04 
21 	293259.895286 	3.328439e+00 	3.265358e+00 	4.503588e-01 	3.730924e-03 	6.673352e-03 	7.318458e-03 	2.119330e+04 
22 	314579.639559 	3.326078e+00 	3.259590e+00 	4.548749e-01 	3.737136e-03 	6.684147e-03 	7.330855e-03 	2.131974e+04 
23 	336001.831071 	3.323689e+00 	3.253736e+00 	4.594385e-01 	3.743496e-03 	6.695497e-03 	7.343921e-03 	2.142219e+04 
24 	357506.730744 	3.321268e+00 	3.247799e+00 	4.640497e-01 	3.749999e-03 	6.707346e-03 	7.357588e-03 	2.150490e+04 
25 	379077.949044 	3.318814e+00 	3.241782e+00 	4.687086e-01 	3.756644e-03 	6.719651e-03 	7.371801e-03 	2.157122e+04 
26 	400701.724276 	3.316325e+00 	3.235688e+00 	4.734156e-01 	3.763427e-03 	6.732380e-03 	7.386521e-03 	2.162378e+04 
27 	422366.350372 	3.313797e+00 	3.229517e+00 	4.781710e-01 	3.770349e-03 	6.745508e-03 	7.401718e-03 	2.166463e+04 
28 	444061.724084 	3.311230e+00 	3.223271e+00 	4.829752e-01 	3.777410e-03 	6.759019e-03 	7.417369e-03 	2.169537e+04 
29 	465778.987638 	3.308623e+00 	3.216949e+00 	4.878285e-01 	3.784611e-03 	6.772900e-03 	7.433459e-03 	2.171726e+04 
30 	487510.247707 	3.305973e+00 	3.210553e+00 	4.927313e-01 	3.791953e-03 	6.787142e-03 	7.449979e-03 	2.173126e+04 
31 	509248.355324 	3.303280e+00 	3.204083e+00 	4.976842e-01 	3.799438e-03 	6.801741e-03 	7.466920e-03 	2.173811e+04 
32 	530986.734336 	3.300541e+00 	3.197537e+00 	5.026876e-01 	3.807068e-03 	6.816693e-03 	7.484279e-03 	2.173838e+04 
33 	552719.248386 	3.297757e+00 	3.190916e+00 	5.077419e-01 	3.814846e-03 	6.832000e-03 	7.502056e-03 	2.173251e+04 
34 	574440.098356 	3.294926e+00 	3.184220e+00 	5.128478e-01 	3.822773e-03 	6.847660e-03 	7.520251e-03 	2.172085e+04 
