i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.724451 	5.965624 	0.380993 	0.002943 	0.003207 	0.003232 	0.010830 
1 	3738.007463 	7.223938e-01 	5.961808e+00 	3.771656e-01 	2.955709e-03 	3.221233e-03 	3.246928e-03 	3.737007e+03 
2 	7400.731674 	7.203569e-01 	5.958029e+00 	3.733752e-01 	2.968022e-03 	3.235477e-03 	3.261388e-03 	3.662724e+03 
3 	10990.933582 	7.183412e-01 	5.954288e+00 	3.696231e-01 	2.980277e-03 	3.249660e-03 	3.275787e-03 	3.590202e+03 
4 	14510.357427 	7.163465e-01 	5.950585e+00 	3.659088e-01 	2.992474e-03 	3.263782e-03 	3.290125e-03 	3.519424e+03 
5 	17960.698560 	7.143725e-01 	5.946920e+00 	3.622321e-01 	3.004613e-03 	3.277844e-03 	3.304402e-03 	3.450341e+03 
6 	21343.604905 	7.124190e-01 	5.943291e+00 	3.585924e-01 	3.016694e-03 	3.291843e-03 	3.318617e-03 	3.382906e+03 
7 	24660.678458 	7.104859e-01 	5.939699e+00 	3.549894e-01 	3.028715e-03 	3.305781e-03 	3.332770e-03 	3.317074e+03 
8 	27913.476732 	7.085728e-01 	5.936144e+00 	3.514228e-01 	3.040677e-03 	3.319656e-03 	3.346860e-03 	3.252798e+03 
9 	31103.514150 	7.066796e-01 	5.932624e+00 	3.478922e-01 	3.052580e-03 	3.333468e-03 	3.360888e-03 	3.190037e+03 
10 	34232.263395 	7.048060e-01 	5.929140e+00 	3.443972e-01 	3.064423e-03 	3.347217e-03 	3.374852e-03 	3.128749e+03 
11 	37301.156707 	7.029520e-01 	5.925691e+00 	3.409375e-01 	3.076207e-03 	3.360902e-03 	3.388752e-03 	3.068893e+03 
12 	40311.587139 	7.011171e-01 	5.922277e+00 	3.375126e-01 	3.087930e-03 	3.374524e-03 	3.402588e-03 	3.010430e+03 
13 	43264.909773 	6.993014e-01 	5.918898e+00 	3.341223e-01 	3.099592e-03 	3.388081e-03 	3.416359e-03 	2.953323e+03 
14 	46162.442886 	6.975044e-01 	5.915552e+00 	3.307662e-01 	3.111195e-03 	3.401574e-03 	3.430066e-03 	2.897533e+03 
15 	49005.469085 	6.957261e-01 	5.912240e+00 	3.274439e-01 	3.122736e-03 	3.415001e-03 	3.443707e-03 	2.843026e+03 
16 	51795.236396 	6.939663e-01 	5.908962e+00 	3.241551e-01 	3.134217e-03 	3.428364e-03 	3.457284e-03 	2.789767e+03 
17 	54532.959325 	6.922247e-01 	5.905717e+00 	3.208995e-01 	3.145636e-03 	3.441661e-03 	3.470794e-03 	2.737723e+03 
18 	57219.819873 	6.905011e-01 	5.902504e+00 	3.176767e-01 	3.156995e-03 	3.454893e-03 	3.484238e-03 	2.686861e+03 
19 	59856.968526 	6.887955e-01 	5.899324e+00 	3.144864e-01 	3.168292e-03 	3.468058e-03 	3.497616e-03 	2.637149e+03 
20 	62445.525204 	6.871075e-01 	5.896177e+00 	3.113282e-01 	3.179527e-03 	3.481157e-03 	3.510927e-03 	2.588557e+03 
21 	64986.580184 	6.854370e-01 	5.893060e+00 	3.082019e-01 	3.190701e-03 	3.494190e-03 	3.524172e-03 	2.541055e+03 
22 	67481.194989 	6.837838e-01 	5.889976e+00 	3.051071e-01 	3.201813e-03 	3.507156e-03 	3.537349e-03 	2.494615e+03 
23 	69930.403252 	6.821477e-01 	5.886922e+00 	3.020435e-01 	3.212863e-03 	3.520055e-03 	3.550460e-03 	2.449208e+03 
24 	72335.211542 	6.805286e-01 	5.883899e+00 	2.990108e-01 	3.223851e-03 	3.532888e-03 	3.563502e-03 	2.404808e+03 
25 	74696.600174 	6.789262e-01 	5.880907e+00 	2.960086e-01 	3.234777e-03 	3.545652e-03 	3.576477e-03 	2.361389e+03 
26 	77015.523984 	6.773404e-01 	5.877945e+00 	2.930367e-01 	3.245641e-03 	3.558349e-03 	3.589384e-03 	2.318924e+03 
27 	79292.913083 	6.757710e-01 	5.875013e+00 	2.900947e-01 	3.256443e-03 	3.570979e-03 	3.602223e-03 	2.277389e+03 
28 	81529.673584 	6.742179e-01 	5.872110e+00 	2.871823e-01 	3.267182e-03 	3.583541e-03 	3.614993e-03 	2.236761e+03 
29 	83726.688307 	6.726808e-01 	5.869237e+00 	2.842993e-01 	3.277859e-03 	3.596035e-03 	3.627695e-03 	2.197015e+03 
30 	85884.817459 	6.711596e-01 	5.866392e+00 	2.814454e-01 	3.288474e-03 	3.608460e-03 	3.640329e-03 	2.158129e+03 
31 	88004.899294 	6.696541e-01 	5.863577e+00 	2.786201e-01 	3.299026e-03 	3.620818e-03 	3.652894e-03 	2.120082e+03 
32 	90087.750752 	6.681642e-01 	5.860789e+00 	2.758234e-01 	3.309516e-03 	3.633107e-03 	3.665389e-03 	2.082851e+03 
33 	92134.168072 	6.666897e-01 	5.858030e+00 	2.730548e-01 	3.319944e-03 	3.645327e-03 	3.677816e-03 	2.046417e+03 
34 	94144.927395 	6.652304e-01 	5.855299e+00 	2.703141e-01 	3.330309e-03 	3.657479e-03 	3.690174e-03 	2.010759e+03 
35 	96120.785337 	6.637862e-01 	5.852595e+00 	2.676010e-01 	3.340611e-03 	3.669562e-03 	3.702462e-03 	1.975858e+03 
36 	98062.479555 	6.623570e-01 	5.849918e+00 	2.649152e-01 	3.350851e-03 	3.681577e-03 	3.714681e-03 	1.941694e+03 
37 	99970.729280 	6.609424e-01 	5.847269e+00 	2.622565e-01 	3.361028e-03 	3.693522e-03 	3.726831e-03 	1.908250e+03 
38 	101846.235852 	6.595425e-01 	5.844646e+00 	2.596245e-01 	3.371143e-03 	3.705399e-03 	3.738911e-03 	1.875507e+03 
39 	103689.683220 	6.581570e-01 	5.842049e+00 	2.570190e-01 	3.381195e-03 	3.717207e-03 	3.750922e-03 	1.843447e+03 
40 	105501.738437 	6.567858e-01 	5.839479e+00 	2.544398e-01 	3.391185e-03 	3.728946e-03 	3.762863e-03 	1.812055e+03 
41 	107283.052139 	6.554288e-01 	5.836935e+00 	2.518865e-01 	3.401113e-03 	3.740616e-03 	3.774734e-03 	1.781314e+03 
42 	109034.259002 	6.540857e-01 	5.834416e+00 	2.493590e-01 	3.410978e-03 	3.752217e-03 	3.786536e-03 	1.751207e+03 
43 	110755.978193 	6.527565e-01 	5.831923e+00 	2.468568e-01 	3.420781e-03 	3.763748e-03 	3.798268e-03 	1.721719e+03 
44 	112448.813802 	6.514410e-01 	5.829454e+00 	2.443799e-01 	3.430522e-03 	3.775211e-03 	3.809931e-03 	1.692836e+03 
45 	114113.355261 	6.501391e-01 	5.827011e+00 	2.419279e-01 	3.440201e-03 	3.786605e-03 	3.821523e-03 	1.664541e+03 
46 	115750.177750 	6.488506e-01 	5.824592e+00 	2.395005e-01 	3.449817e-03 	3.797929e-03 	3.833046e-03 	1.636822e+03 
47 	117359.842596 	6.475753e-01 	5.822198e+00 	2.370976e-01 	3.459372e-03 	3.809185e-03 	3.844499e-03 	1.609665e+03 
48 	118942.897648 	6.463132e-01 	5.819827e+00 	2.347189e-01 	3.468865e-03 	3.820371e-03 	3.855883e-03 	1.583055e+03 
49 	120499.877653 	6.450641e-01 	5.817481e+00 	2.323641e-01 	3.478295e-03 	3.831489e-03 	3.867196e-03 	1.556980e+03 
50 	122031.304614 	6.438278e-01 	5.815158e+00 	2.300330e-01 	3.487664e-03 	3.842537e-03 	3.878440e-03 	1.531427e+03 
51 	123537.688133 	6.426043e-01 	5.812859e+00 	2.277254e-01 	3.496972e-03 	3.853517e-03 	3.889615e-03 	1.506384e+03 
52 	125019.525756 	6.413934e-01 	5.810583e+00 	2.254409e-01 	3.506218e-03 	3.864428e-03 	3.900720e-03 	1.481838e+03 
53 	126477.303296 	6.401949e-01 	5.808329e+00 	2.231795e-01 	3.515402e-03 	3.875270e-03 	3.911755e-03 	1.457778e+03 
54 	127911.495148 	6.390087e-01 	5.806099e+00 	2.209408e-01 	3.524525e-03 	3.886043e-03 	3.922721e-03 	1.434192e+03 
55 	129322.564604 	6.378348e-01 	5.803890e+00 	2.187246e-01 	3.533587e-03 	3.896748e-03 	3.933617e-03 	1.411069e+03 
56 	130710.964142 	6.366729e-01 	5.801704e+00 	2.165307e-01 	3.542588e-03 	3.907384e-03 	3.944444e-03 	1.388400e+03 
57 	132077.135724 	6.355230e-01 	5.799541e+00 	2.143589e-01 	3.551528e-03 	3.917951e-03 	3.955202e-03 	1.366172e+03 
58 	133421.511072 	6.343849e-01 	5.797398e+00 	2.122089e-01 	3.560408e-03 	3.928451e-03 	3.965891e-03 	1.344375e+03 
59 	134744.511941 	6.332584e-01 	5.795278e+00 	2.100806e-01 	3.569226e-03 	3.938882e-03 	3.976511e-03 	1.323001e+03 
60 	136046.550385 	6.321436e-01 	5.793179e+00 	2.079736e-01 	3.577985e-03 	3.949245e-03 	3.987062e-03 	1.302038e+03 
61 	137328.029012 	6.310402e-01 	5.791100e+00 	2.058879e-01 	3.586683e-03 	3.959539e-03 	3.997544e-03 	1.281479e+03 
62 	138589.341234 	6.299481e-01 	5.789043e+00 	2.038231e-01 	3.595321e-03 	3.969766e-03 	4.007957e-03 	1.261312e+03 
63 	139830.871508 	6.288673e-01 	5.787007e+00 	2.017791e-01 	3.603898e-03 	3.979926e-03 	4.018302e-03 	1.241530e+03 
