i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.372662 	6.179730 	0.518676 	0.002910 	0.003136 	0.003157 	0.010830 
1 	4026.154567 	3.704388e-01 	6.174524e+00 	5.134602e-01 	2.925347e-03 	3.154083e-03 	3.174993e-03 	4.025155e+03 
2 	7961.101063 	3.682408e-01 	6.169368e+00 	5.082936e-01 	2.941115e-03 	3.171971e-03 	3.193105e-03 	3.934946e+03 
3 	11808.235507 	3.660692e-01 	6.164264e+00 	5.031791e-01 	2.956831e-03 	3.189806e-03 	3.211166e-03 	3.847134e+03 
4 	15569.941748 	3.639236e-01 	6.159211e+00 	4.981165e-01 	2.972492e-03 	3.207590e-03 	3.229174e-03 	3.761706e+03 
5 	19248.528629 	3.618038e-01 	6.154209e+00 	4.931050e-01 	2.988098e-03 	3.225320e-03 	3.247130e-03 	3.678587e+03 
6 	22846.232389 	3.597093e-01 	6.149258e+00 	4.881442e-01 	3.003649e-03 	3.242996e-03 	3.265032e-03 	3.597704e+03 
7 	26365.219229 	3.576399e-01 	6.144358e+00 	4.832336e-01 	3.019144e-03 	3.260616e-03 	3.282879e-03 	3.518987e+03 
8 	29807.587777 	3.555954e-01 	6.139507e+00 	4.783727e-01 	3.034582e-03 	3.278181e-03 	3.300670e-03 	3.442369e+03 
9 	33175.371466 	3.535752e-01 	6.134705e+00 	4.735609e-01 	3.049962e-03 	3.295688e-03 	3.318405e-03 	3.367784e+03 
10 	36470.540806 	3.515793e-01 	6.129951e+00 	4.687978e-01 	3.065284e-03 	3.313138e-03 	3.336083e-03 	3.295169e+03 
11 	39695.005586 	3.496071e-01 	6.125246e+00 	4.640828e-01 	3.080548e-03 	3.330530e-03 	3.353702e-03 	3.224465e+03 
12 	42850.616974 	3.476585e-01 	6.120588e+00 	4.594155e-01 	3.095752e-03 	3.347862e-03 	3.371263e-03 	3.155611e+03 
13 	45939.169552 	3.457332e-01 	6.115978e+00 	4.547954e-01 	3.110895e-03 	3.365134e-03 	3.388763e-03 	3.088553e+03 
14 	48962.403261 	3.438309e-01 	6.111414e+00 	4.502219e-01 	3.125979e-03 	3.382345e-03 	3.406203e-03 	3.023234e+03 
15 	51922.005281 	3.419512e-01 	6.106896e+00 	4.456947e-01 	3.141000e-03 	3.399494e-03 	3.423581e-03 	2.959602e+03 
16 	54819.611835 	3.400939e-01 	6.102424e+00 	4.412133e-01 	3.155961e-03 	3.416581e-03 	3.440897e-03 	2.897607e+03 
17 	57656.809929 	3.382587e-01 	6.097997e+00 	4.367771e-01 	3.170858e-03 	3.433605e-03 	3.458150e-03 	2.837198e+03 
18 	60435.139021 	3.364454e-01 	6.093615e+00 	4.323857e-01 	3.185693e-03 	3.450565e-03 	3.475340e-03 	2.778329e+03 
19 	63156.092632 	3.346536e-01 	6.089277e+00 	4.280387e-01 	3.200465e-03 	3.467460e-03 	3.492465e-03 	2.720954e+03 
20 	65821.119893 	3.328831e-01 	6.084983e+00 	4.237357e-01 	3.215172e-03 	3.484291e-03 	3.509525e-03 	2.665027e+03 
21 	68431.627043 	3.311336e-01 	6.080733e+00 	4.194760e-01 	3.229815e-03 	3.501055e-03 	3.526519e-03 	2.610507e+03 
22 	70988.978858 	3.294049e-01 	6.076525e+00 	4.152595e-01 	3.244394e-03 	3.517753e-03 	3.543447e-03 	2.557352e+03 
23 	73494.500037 	3.276966e-01 	6.072361e+00 	4.110855e-01 	3.258907e-03 	3.534384e-03 	3.560308e-03 	2.505521e+03 
24 	75949.476537 	3.260087e-01 	6.068238e+00 	4.069536e-01 	3.273354e-03 	3.550947e-03 	3.577101e-03 	2.454976e+03 
25 	78355.156852 	3.243407e-01 	6.064156e+00 	4.028635e-01 	3.287735e-03 	3.567442e-03 	3.593826e-03 	2.405680e+03 
26 	80712.753252 	3.226924e-01 	6.060117e+00 	3.988146e-01 	3.302050e-03 	3.583868e-03 	3.610482e-03 	2.357596e+03 
27 	83023.442974 	3.210637e-01 	6.056117e+00 	3.948067e-01 	3.316297e-03 	3.600224e-03 	3.627069e-03 	2.310690e+03 
28 	85288.369367 	3.194542e-01 	6.052159e+00 	3.908392e-01 	3.330478e-03 	3.616511e-03 	3.643586e-03 	2.264926e+03 
29 	87508.643004 	3.178637e-01 	6.048240e+00 	3.869117e-01 	3.344590e-03 	3.632727e-03 	3.660032e-03 	2.220274e+03 
30 	89685.342742 	3.162919e-01 	6.044361e+00 	3.830239e-01 	3.358634e-03 	3.648872e-03 	3.676407e-03 	2.176700e+03 
31 	91819.516753 	3.147387e-01 	6.040521e+00 	3.791754e-01 	3.372610e-03 	3.664946e-03 	3.692710e-03 	2.134174e+03 
32 	93912.183518 	3.132038e-01 	6.036720e+00 	3.753656e-01 	3.386518e-03 	3.680947e-03 	3.708941e-03 	2.092667e+03 
33 	95964.332775 	3.116870e-01 	6.032957e+00 	3.715943e-01 	3.400356e-03 	3.696876e-03 	3.725100e-03 	2.052149e+03 
34 	97976.926448 	3.101880e-01 	6.029232e+00 	3.678611e-01 	3.414124e-03 	3.712732e-03 	3.741186e-03 	2.012594e+03 
35 	99950.899531 	3.087067e-01 	6.025545e+00 	3.641655e-01 	3.427823e-03 	3.728515e-03 	3.757198e-03 	1.973973e+03 
36 	101887.160947 	3.072427e-01 	6.021895e+00 	3.605072e-01 	3.441453e-03 	3.744224e-03 	3.773136e-03 	1.936261e+03 
