i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.066859 	1.600671 	4.403538 	0.002969 	0.003206 	0.003234 	0.010830 
1 	18126.465508 	1.058014e+00 	1.584367e+00 	4.387259e+00 	3.022544e-03 	3.267404e-03 	3.296509e-03 	1.812547e+04 
2 	35329.770375 	1.049247e+00 	1.568189e+00 	4.371104e+00 	3.077416e-03 	3.329517e-03 	3.359687e-03 	1.720330e+04 
3 	51659.210645 	1.040577e+00 	1.552177e+00 	4.355117e+00 	3.133026e-03 	3.392548e-03 	3.423817e-03 	1.632944e+04 
4 	67162.519320 	1.032003e+00 	1.536331e+00 	4.339294e+00 	3.189377e-03 	3.456503e-03 	3.488907e-03 	1.550331e+04 
5 	81884.705612 	1.023524e+00 	1.520648e+00 	4.323634e+00 	3.246471e-03 	3.521388e-03 	3.554962e-03 	1.472219e+04 
6 	95868.186910 	1.015140e+00 	1.505126e+00 	4.308136e+00 	3.304312e-03 	3.587210e-03 	3.621990e-03 	1.398348e+04 
7 	109152.944338 	1.006848e+00 	1.489765e+00 	4.292799e+00 	3.362903e-03 	3.653974e-03 	3.689999e-03 	1.328476e+04 
8 	121776.669083 	9.986493e-01 	1.474562e+00 	4.277619e+00 	3.422247e-03 	3.721687e-03 	3.758996e-03 	1.262372e+04 
9 	133774.899593 	9.905416e-01 	1.459516e+00 	4.262596e+00 	3.482346e-03 	3.790355e-03 	3.828987e-03 	1.199823e+04 
10 	145181.150261 	9.825241e-01 	1.444625e+00 	4.247729e+00 	3.543204e-03 	3.859984e-03 	3.899981e-03 	1.140625e+04 
11 	156027.032113 	9.745960e-01 	1.429888e+00 	4.233015e+00 	3.604822e-03 	3.930581e-03 	3.971983e-03 	1.084588e+04 
12 	166342.366027 	9.667563e-01 	1.415303e+00 	4.218452e+00 	3.667203e-03 	4.002149e-03 	4.045000e-03 	1.031533e+04 
13 	176155.288955 	9.590039e-01 	1.400868e+00 	4.204040e+00 	3.730349e-03 	4.074696e-03 	4.119039e-03 	9.812923e+03 
14 	185492.353598 	9.513381e-01 	1.386582e+00 	4.189776e+00 	3.794262e-03 	4.148226e-03 	4.194106e-03 	9.337065e+03 
15 	194378.621944 	9.437577e-01 	1.372443e+00 	4.175660e+00 	3.858943e-03 	4.222744e-03 	4.270208e-03 	8.886268e+03 
16 	202837.753069 	9.362621e-01 	1.358450e+00 	4.161689e+00 	3.924395e-03 	4.298256e-03 	4.347350e-03 	8.459131e+03 
17 	210892.085552 	9.288501e-01 	1.344601e+00 	4.147863e+00 	3.990619e-03 	4.374766e-03 	4.425539e-03 	8.054332e+03 
18 	218562.714863 	9.215210e-01 	1.330895e+00 	4.134179e+00 	4.057616e-03 	4.452280e-03 	4.504779e-03 	7.670629e+03 
19 	225869.566020 	9.142738e-01 	1.317330e+00 	4.120636e+00 	4.125388e-03 	4.530800e-03 	4.585078e-03 	7.306851e+03 
20 	232831.461831 	9.071076e-01 	1.303904e+00 	4.107232e+00 	4.193934e-03 	4.610333e-03 	4.666439e-03 	6.961896e+03 
21 	239466.186991 	9.000217e-01 	1.290617e+00 	4.093967e+00 	4.263257e-03 	4.690881e-03 	4.748869e-03 	6.634725e+03 
22 	245790.548298 	8.930150e-01 	1.277467e+00 	4.080839e+00 	4.333356e-03 	4.772450e-03 	4.832373e-03 	6.324361e+03 
23 	251820.431223 	8.860867e-01 	1.264453e+00 	4.067846e+00 	4.404232e-03 	4.855042e-03 	4.916955e-03 	6.029883e+03 
24 	257570.853071 	8.792361e-01 	1.251572e+00 	4.054986e+00 	4.475885e-03 	4.938661e-03 	5.002620e-03 	5.750422e+03 
25 	263056.012950 	8.724622e-01 	1.238824e+00 	4.042260e+00 	4.548315e-03 	5.023310e-03 	5.089373e-03 	5.485160e+03 
26 	268289.338728 	8.657642e-01 	1.226208e+00 	4.029664e+00 	4.621523e-03 	5.108993e-03 	5.177218e-03 	5.233326e+03 
27 	273283.531186 	8.591413e-01 	1.213721e+00 	4.017198e+00 	4.695506e-03 	5.195713e-03 	5.266159e-03 	4.994192e+03 
28 	278050.605532 	8.525927e-01 	1.201363e+00 	4.004861e+00 	4.770266e-03 	5.283472e-03 	5.356200e-03 	4.767074e+03 
29 	282601.930434 	8.461175e-01 	1.189132e+00 	3.992650e+00 	4.845801e-03 	5.372272e-03 	5.447345e-03 	4.551325e+03 
30 	286948.264739 	8.397150e-01 	1.177027e+00 	3.980566e+00 	4.922111e-03 	5.462116e-03 	5.539597e-03 	4.346334e+03 
31 	291099.792005 	8.333843e-01 	1.165046e+00 	3.968606e+00 	4.999193e-03 	5.553007e-03 	5.632960e-03 	4.151527e+03 
32 	295066.152996 	8.271248e-01 	1.153189e+00 	3.956769e+00 	5.077047e-03 	5.644945e-03 	5.727436e-03 	3.966361e+03 
33 	298856.476255 	8.209355e-01 	1.141454e+00 	3.945053e+00 	5.155672e-03 	5.737932e-03 	5.823029e-03 	3.790323e+03 
34 	302479.406875 	8.148157e-01 	1.129840e+00 	3.933459e+00 	5.235065e-03 	5.831970e-03 	5.919740e-03 	3.622931e+03 
35 	305943.133579 	8.087647e-01 	1.118345e+00 	3.921983e+00 	5.315224e-03 	5.927061e-03 	6.017574e-03 	3.463727e+03 
36 	309255.414213 	8.027818e-01 	1.106968e+00 	3.910626e+00 	5.396148e-03 	6.023203e-03 	6.116531e-03 	3.312281e+03 
37 	312423.599750 	7.968660e-01 	1.095708e+00 	3.899386e+00 	5.477833e-03 	6.120400e-03 	6.216614e-03 	3.168186e+03 
38 	315454.656884 	7.910168e-01 	1.084565e+00 	3.888261e+00 	5.560278e-03 	6.218650e-03 	6.317824e-03 	3.031057e+03 
39 	318355.189325 	7.852334e-01 	1.073535e+00 	3.877250e+00 	5.643480e-03 	6.317954e-03 	6.420163e-03 	2.900532e+03 
40 	321131.457841 	7.795150e-01 	1.062619e+00 	3.866353e+00 	5.727436e-03 	6.418311e-03 	6.523633e-03 	2.776269e+03 
41 	323789.399149 	7.738610e-01 	1.051816e+00 	3.855568e+00 	5.812142e-03 	6.519723e-03 	6.628233e-03 	2.657941e+03 
42 	326334.643713 	7.682705e-01 	1.041123e+00 	3.844894e+00 	5.897595e-03 	6.622187e-03 	6.733965e-03 	2.545245e+03 
43 	328772.532512 	7.627430e-01 	1.030541e+00 	3.834329e+00 	5.983791e-03 	6.725703e-03 	6.840829e-03 	2.437889e+03 
44 	331108.132853 	7.572778e-01 	1.020067e+00 	3.823873e+00 	6.070727e-03 	6.830271e-03 	6.948826e-03 	2.335600e+03 
45 	333346.253265 	7.518740e-01 	1.009701e+00 	3.813525e+00 	6.158400e-03 	6.935888e-03 	7.057955e-03 	2.238120e+03 
46 	335491.457551 	7.465311e-01 	9.994409e-01 	3.803283e+00 	6.246803e-03 	7.042553e-03 	7.168217e-03 	2.145204e+03 
47 	337548.078037 	7.412483e-01 	9.892866e-01 	3.793146e+00 	6.335934e-03 	7.150264e-03 	7.279610e-03 	2.056620e+03 
48 	339520.228060 	7.360251e-01 	9.792366e-01 	3.783113e+00 	6.425787e-03 	7.259019e-03 	7.392134e-03 	1.972150e+03 
49 	341411.813756 	7.308607e-01 	9.692899e-01 	3.773183e+00 	6.516359e-03 	7.368816e-03 	7.505787e-03 	1.891586e+03 
50 	343226.545175 	7.257544e-01 	9.594453e-01 	3.763355e+00 	6.607643e-03 	7.479652e-03 	7.620570e-03 	1.814731e+03 
51 	344967.946773 	7.207057e-01 	9.497018e-01 	3.753628e+00 	6.699634e-03 	7.591524e-03 	7.736479e-03 	1.741402e+03 
