i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.031550 	3.869393 	2.170125 	0.002976 	0.003247 	0.003276 	0.010830 
1 	18296.908508 	1.020985e+00 	3.849385e+00 	2.150102e+00 	3.042367e-03 	3.324139e-03 	3.354958e-03 	1.829591e+04 
2 	35478.940891 	1.010504e+00 	3.829497e+00 	2.130199e+00 	3.110588e-03 	3.403345e-03 	3.435598e-03 	1.718203e+04 
3 	51614.269838 	1.000132e+00 	3.809781e+00 	2.110467e+00 	3.180231e-03 	3.484399e-03 	3.518152e-03 	1.613533e+04 
4 	66768.388921 	9.898661e-01 	3.790235e+00 	2.090905e+00 	3.251323e-03 	3.567345e-03 	3.602667e-03 	1.515412e+04 
5 	81002.629465 	9.797065e-01 	3.770858e+00 	2.071510e+00 	3.323894e-03 	3.652228e-03 	3.689191e-03 	1.423424e+04 
6 	94374.394732 	9.696517e-01 	3.751646e+00 	2.052281e+00 	3.397973e-03 	3.739098e-03 	3.777778e-03 	1.337177e+04 
7 	106937.416891 	9.597007e-01 	3.732598e+00 	2.033215e+00 	3.473591e-03 	3.828005e-03 	3.868482e-03 	1.256302e+04 
8 	118741.997355 	9.498524e-01 	3.713711e+00 	2.014310e+00 	3.550780e-03 	3.919000e-03 	3.961357e-03 	1.180458e+04 
9 	129835.231070 	9.401057e-01 	3.694983e+00 	1.995563e+00 	3.629573e-03 	4.012139e-03 	4.056461e-03 	1.109323e+04 
10 	140261.215819 	9.304596e-01 	3.676412e+00 	1.976972e+00 	3.710002e-03 	4.107475e-03 	4.153855e-03 	1.042598e+04 
11 	150061.247578 	9.209130e-01 	3.657996e+00 	1.958535e+00 	3.792104e-03 	4.205067e-03 	4.253601e-03 	9.800032e+03 
12 	159274.002866 	9.114650e-01 	3.639732e+00 	1.940249e+00 	3.875911e-03 	4.304974e-03 	4.355761e-03 	9.212755e+03 
13 	167935.708971 	9.021144e-01 	3.621617e+00 	1.922113e+00 	3.961462e-03 	4.407258e-03 	4.460404e-03 	8.661706e+03 
14 	176080.302874 	8.928603e-01 	3.603651e+00 	1.904123e+00 	4.048794e-03 	4.511984e-03 	4.567597e-03 	8.144594e+03 
15 	183739.579661 	8.837017e-01 	3.585829e+00 	1.886279e+00 	4.137944e-03 	4.619216e-03 	4.677414e-03 	7.659277e+03 
16 	190943.331078 	8.746376e-01 	3.568151e+00 	1.868576e+00 	4.228954e-03 	4.729026e-03 	4.789929e-03 	7.203751e+03 
17 	197719.474956 	8.656670e-01 	3.550613e+00 	1.851014e+00 	4.321863e-03 	4.841484e-03 	4.905219e-03 	6.776144e+03 
18 	204094.176089 	8.567890e-01 	3.533214e+00 	1.833589e+00 	4.416714e-03 	4.956666e-03 	5.023367e-03 	6.374701e+03 
19 	210091.959152 	8.480026e-01 	3.515951e+00 	1.816299e+00 	4.513551e-03 	5.074649e-03 	5.144455e-03 	5.997783e+03 
20 	215735.814188 	8.393068e-01 	3.498822e+00 	1.799143e+00 	4.612419e-03 	5.195514e-03 	5.268574e-03 	5.643855e+03 
21 	221047.295170 	8.307007e-01 	3.481823e+00 	1.782117e+00 	4.713365e-03 	5.319346e-03 	5.395814e-03 	5.311481e+03 
22 	226046.612103 	8.221834e-01 	3.464954e+00 	1.765218e+00 	4.816438e-03 	5.446234e-03 	5.526273e-03 	4.999317e+03 
23 	230752.717109 	8.137540e-01 	3.448211e+00 	1.748445e+00 	4.921687e-03 	5.576270e-03 	5.660051e-03 	4.706105e+03 
24 	235183.384866 	8.054116e-01 	3.431592e+00 	1.731796e+00 	5.029166e-03 	5.709551e-03 	5.797254e-03 	4.430668e+03 
25 	239355.287815 	7.971552e-01 	3.415094e+00 	1.715266e+00 	5.138929e-03 	5.846178e-03 	5.937993e-03 	4.171903e+03 
26 	243284.066477 	7.889841e-01 	3.398715e+00 	1.698854e+00 	5.251031e-03 	5.986258e-03 	6.082384e-03 	3.928779e+03 
27 	246984.395192 	7.808972e-01 	3.382452e+00 	1.682558e+00 	5.365534e-03 	6.129903e-03 	6.230551e-03 	3.700329e+03 
28 	250470.043606 	7.728938e-01 	3.366302e+00 	1.666373e+00 	5.482497e-03 	6.277231e-03 	6.382622e-03 	3.485648e+03 
29 	253753.934175 	7.649730e-01 	3.350263e+00 	1.650299e+00 	5.601986e-03 	6.428365e-03 	6.538733e-03 	3.283891e+03 
30 	256848.195964 	7.571340e-01 	3.334331e+00 	1.634331e+00 	5.724069e-03 	6.583436e-03 	6.699029e-03 	3.094262e+03 
31 	259764.214988 	7.493759e-01 	3.318505e+00 	1.618466e+00 	5.848815e-03 	6.742583e-03 	6.863662e-03 	2.916019e+03 
32 	262512.681313 	7.416979e-01 	3.302780e+00 	1.602703e+00 	5.976300e-03 	6.905952e-03 	7.032792e-03 	2.748466e+03 
33 	265103.633159 	7.340991e-01 	3.287154e+00 	1.587037e+00 	6.106601e-03 	7.073698e-03 	7.206591e-03 	2.590952e+03 
34 	267546.498188 	7.265789e-01 	3.271623e+00 	1.571465e+00 	6.239802e-03 	7.245986e-03 	7.385241e-03 	2.442865e+03 
35 	269850.132173 	7.191363e-01 	3.256185e+00 	1.555984e+00 	6.375990e-03 	7.422992e-03 	7.568936e-03 	2.303634e+03 
36 	272022.855236 	7.117707e-01 	3.240835e+00 	1.540590e+00 	6.515258e-03 	7.604902e-03 	7.757883e-03 	2.172723e+03 
37 	274072.485806 	7.044812e-01 	3.225570e+00 	1.525279e+00 	6.657703e-03 	7.791917e-03 	7.952304e-03 	2.049631e+03 
38 	276006.372470 	6.972671e-01 	3.210385e+00 	1.510049e+00 	6.803431e-03 	7.984250e-03 	8.152436e-03 	1.933887e+03 
39 	277831.423864 	6.901276e-01 	3.195278e+00 	1.494893e+00 	6.952553e-03 	8.182134e-03 	8.358534e-03 	1.825051e+03 
40 	279554.136734 	6.830620e-01 	3.180243e+00 	1.479809e+00 	7.105188e-03 	8.385815e-03 	8.570875e-03 	1.722713e+03 
41 	281180.622326 	6.760697e-01 	3.165277e+00 	1.464791e+00 	7.261465e-03 	8.595561e-03 	8.789755e-03 	1.626486e+03 
42 	282716.631205 	6.691497e-01 	3.150373e+00 	1.449834e+00 	7.421522e-03 	8.811663e-03 	9.015499e-03 	1.536009e+03 
43 	284166.413575 	6.623072e-01 	3.135539e+00 	1.434945e+00 	7.585372e-03 	9.034250e-03 	9.248261e-03 	1.449782e+03 
44 	285526.940204 	6.555833e-01 	3.120862e+00 	1.420212e+00 	7.752107e-03 	9.262195e-03 	9.486885e-03 	1.360527e+03 
45 	286804.064102 	6.489783e-01 	3.106339e+00 	1.405631e+00 	7.921743e-03 	9.495621e-03 	9.731518e-03 	1.277124e+03 
46 	288003.246407 	6.424928e-01 	3.091970e+00 	1.391203e+00 	8.094297e-03 	9.734658e-03 	9.982317e-03 	1.199182e+03 
47 	289129.582358 	6.361273e-01 	3.077753e+00 	1.376924e+00 	8.269786e-03 	9.979438e-03 	1.023944e-02 	1.126336e+03 
48 	290187.826616 	6.298826e-01 	3.063686e+00 	1.362795e+00 	8.448221e-03 	1.023010e-02 	1.050306e-02 	1.058244e+03 
49 	291182.416828 	6.237593e-01 	3.049768e+00 	1.348813e+00 	8.629613e-03 	1.048678e-02 	1.077334e-02 	9.945902e+02 
50 	292117.495543 	6.177584e-01 	3.035997e+00 	1.334976e+00 	8.813971e-03 	1.074962e-02 	1.105046e-02 	9.350787e+02 
51 	292996.930592 	6.118811e-01 	3.022373e+00 	1.321284e+00 	9.001300e-03 	1.101878e-02 	1.133460e-02 	8.794350e+02 
52 	293824.334060 	6.061286e-01 	3.008894e+00 	1.307735e+00 	9.191600e-03 	1.129440e-02 	1.162595e-02 	8.274035e+02 
53 	294603.079928 	6.005023e-01 	2.995558e+00 	1.294328e+00 	9.384870e-03 	1.157664e-02 	1.192471e-02 	7.787459e+02 
54 	295336.320505 	5.950038e-01 	2.982364e+00 	1.281060e+00 	9.581106e-03 	1.186565e-02 	1.223108e-02 	7.332406e+02 
55 	296027.001718 	5.896349e-01 	2.969311e+00 	1.267932e+00 	9.780295e-03 	1.216161e-02 	1.254526e-02 	6.906812e+02 
56 	296677.877358 	5.843977e-01 	2.956398e+00 	1.254941e+00 	9.982425e-03 	1.246469e-02 	1.286747e-02 	6.508756e+02 
57 	297291.522356 	5.792944e-01 	2.943623e+00 	1.242086e+00 	1.018747e-02 	1.277505e-02 	1.319793e-02 	6.136450e+02 
58 	297870.345142 	5.743277e-01 	2.930985e+00 	1.229366e+00 	1.039542e-02 	1.309287e-02 	1.353687e-02 	5.788228e+02 
59 	298416.599191 	5.695005e-01 	2.918483e+00 	1.216780e+00 	1.060623e-02 	1.341835e-02 	1.388454e-02 	5.462540e+02 
60 	298932.393772 	5.648159e-01 	2.906116e+00 	1.204325e+00 	1.081986e-02 	1.375166e-02 	1.424117e-02 	5.157946e+02 
61 	299419.704001 	5.602775e-01 	2.893882e+00 	1.192002e+00 	1.103627e-02 	1.409301e-02 	1.460703e-02 	4.873102e+02 
62 	299880.380221 	5.558893e-01 	2.881781e+00 	1.179809e+00 	1.125540e-02 	1.444259e-02 	1.498238e-02 	4.606762e+02 
63 	300316.156772 	5.516559e-01 	2.869811e+00 	1.167745e+00 	1.147719e-02 	1.480061e-02 	1.536749e-02 	4.357766e+02 
64 	300728.660204 	5.475821e-01 	2.857972e+00 	1.155808e+00 	1.170156e-02 	1.516728e-02 	1.576266e-02 	4.125034e+02 
65 	301119.416961 	5.436735e-01 	2.846263e+00 	1.143998e+00 	1.192843e-02 	1.554281e-02 	1.616819e-02 	3.907568e+02 
66 	301489.860593 	5.399363e-01 	2.834682e+00 	1.132313e+00 	1.215770e-02 	1.592744e-02 	1.658437e-02 	3.704436e+02 
67 	301841.338525 	5.363775e-01 	2.823228e+00 	1.120753e+00 	1.238925e-02 	1.632140e-02 	1.701154e-02 	3.514779e+02 
68 	302175.118416 	5.330046e-01 	2.811902e+00 	1.109316e+00 	1.262295e-02 	1.672492e-02 	1.745004e-02 	3.337799e+02 
69 	302492.394151 	5.298264e-01 	2.800701e+00 	1.098001e+00 	1.285866e-02 	1.713824e-02 	1.790020e-02 	3.172757e+02 
70 	302794.291481 	5.268524e-01 	2.789626e+00 	1.086808e+00 	1.309620e-02 	1.756163e-02 	1.836241e-02 	3.018973e+02 
71 	303081.873343 	5.240935e-01 	2.778675e+00 	1.075735e+00 	1.333539e-02 	1.799534e-02 	1.883705e-02 	2.875819e+02 
72 	303356.144867 	5.215617e-01 	2.767849e+00 	1.064782e+00 	1.357602e-02 	1.843964e-02 	1.932452e-02 	2.742715e+02 
73 	303618.058089 	5.192705e-01 	2.757145e+00 	1.053948e+00 	1.381782e-02 	1.889482e-02 	1.982525e-02 	2.619132e+02 
74 	303868.516353 	5.172350e-01 	2.746565e+00 	1.043232e+00 	1.406054e-02 	1.936116e-02 	2.033970e-02 	2.504583e+02 
75 	304108.378379 	5.154721e-01 	2.736107e+00 	1.032633e+00 	1.430386e-02 	1.983899e-02 	2.086834e-02 	2.398620e+02 
76 	304338.461951 	5.140008e-01 	2.725770e+00 	1.022151e+00 	1.454743e-02 	2.032861e-02 	2.141170e-02 	2.300836e+02 
77 	304559.547119 	5.128421e-01 	2.715556e+00 	1.011785e+00 	1.479086e-02 	2.083039e-02 	2.197033e-02 	2.210852e+02 
78 	304772.378752 	5.120195e-01 	2.705462e+00 	1.001534e+00 	1.503371e-02 	2.134471e-02 	2.254487e-02 	2.128316e+02 
79 	304977.668195 	5.115587e-01 	2.695489e+00 	9.913964e-01 	1.527550e-02 	2.187201e-02 	2.313601e-02 	2.052894e+02 
80 	305176.093624 	5.114880e-01 	2.685637e+00 	9.813725e-01 	1.551568e-02 	2.241277e-02 	2.374454e-02 	1.984254e+02 
81 	305368.298481 	5.118379e-01 	2.675904e+00 	9.714608e-01 	1.575367e-02 	2.296759e-02 	2.437140e-02 	1.922049e+02 
82 	305554.887102 	5.126404e-01 	2.666289e+00 	9.616598e-01 	1.598884e-02 	2.353720e-02 	2.501773e-02 	1.865886e+02 
83 	305736.416201 	5.139278e-01 	2.656791e+00 	9.519675e-01 	1.622052e-02 	2.412256e-02 	2.568494e-02 	1.815291e+02 
84 	305913.380384 	5.157308e-01 	2.647408e+00 	9.423814e-01 	1.644803e-02 	2.472491e-02 	2.637485e-02 	1.769642e+02 
85 	306086.189309 	5.180748e-01 	2.638135e+00 	9.328978e-01 	1.667072e-02 	2.534598e-02 	2.708986e-02 	1.728089e+02 
86 	306255.133706 	5.209744e-01 	2.628968e+00 	9.235115e-01 	1.688803e-02 	2.598819e-02 	2.783324e-02 	1.689444e+02 
87 	306420.337843 	5.244249e-01 	2.619900e+00 	9.142156e-01 	1.709959e-02 	2.665498e-02 	2.860948e-02 	1.652041e+02 
88 	306581.698242 	5.283903e-01 	2.610919e+00 	9.050007e-01 	1.730530e-02 	2.735123e-02 	2.942486e-02 	1.613604e+02 
89 	306738.814133 	5.327883e-01 	2.602013e+00 	8.958549e-01 	1.750554e-02 	2.808389e-02 	3.028810e-02 	1.571159e+02 
90 	306890.926093 	5.374732e-01 	2.593163e+00 	8.867640e-01 	1.770124e-02 	2.886261e-02 	3.121120e-02 	1.521120e+02 
91 	307036.894345 	5.422219e-01 	2.584350e+00 	8.777128e-01 	1.789397e-02 	2.970055e-02 	3.221038e-02 	1.459683e+02 
92 	307175.259291 	5.467294e-01 	2.575555e+00 	8.686874e-01 	1.808578e-02 	3.061499e-02 	3.330698e-02 	1.383649e+02 
