i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.245787 	6.450570 	0.374711 	0.002898 	0.003115 	0.003134 	0.010830 
1 	2961.925381 	2.445145e-01 	6.446816e+00 	3.709497e-01 	2.908832e-03 	3.127327e-03 	3.146802e-03 	2.960925e+03 
2 	5868.799407 	2.432570e-01 	6.443098e+00 	3.672249e-01 	2.919691e-03 	3.139595e-03 	3.159216e-03 	2.906874e+03 
3 	8722.808130 	2.420150e-01 	6.439418e+00 	3.635376e-01 	2.930489e-03 	3.151801e-03 	3.171567e-03 	2.854009e+03 
4 	11525.133539 	2.407883e-01 	6.435775e+00 	3.598874e-01 	2.941228e-03 	3.163943e-03 	3.183854e-03 	2.802325e+03 
5 	14276.926292 	2.395767e-01 	6.432168e+00 	3.562740e-01 	2.951906e-03 	3.176021e-03 	3.196077e-03 	2.751793e+03 
6 	16979.306593 	2.383799e-01 	6.428598e+00 	3.526971e-01 	2.962525e-03 	3.188035e-03 	3.208236e-03 	2.702380e+03 
7 	19633.365111 	2.371979e-01 	6.425063e+00 	3.491562e-01 	2.973083e-03 	3.199985e-03 	3.220331e-03 	2.654059e+03 
8 	22240.163877 	2.360304e-01 	6.421565e+00 	3.456510e-01 	2.983581e-03 	3.211872e-03 	3.232361e-03 	2.606799e+03 
9 	24800.737141 	2.348771e-01 	6.418101e+00 	3.421811e-01 	2.994019e-03 	3.223693e-03 	3.244326e-03 	2.560573e+03 
10 	27316.092213 	2.337380e-01 	6.414673e+00 	3.387461e-01 	3.004396e-03 	3.235450e-03 	3.256227e-03 	2.515355e+03 
11 	29787.210261 	2.326128e-01 	6.411279e+00 	3.353458e-01 	3.014713e-03 	3.247143e-03 	3.268063e-03 	2.471118e+03 
12 	32215.047096 	2.315013e-01 	6.407919e+00 	3.319797e-01 	3.024969e-03 	3.258771e-03 	3.279833e-03 	2.427837e+03 
13 	34600.533921 	2.304034e-01 	6.404594e+00 	3.286475e-01 	3.035165e-03 	3.270334e-03 	3.291539e-03 	2.385487e+03 
14 	36944.578060 	2.293189e-01 	6.401301e+00 	3.253489e-01 	3.045300e-03 	3.281831e-03 	3.303179e-03 	2.344044e+03 
15 	39248.063662 	2.282475e-01 	6.398042e+00 	3.220835e-01 	3.055374e-03 	3.293264e-03 	3.314754e-03 	2.303486e+03 
16 	41511.852381 	2.271892e-01 	6.394816e+00 	3.188510e-01 	3.065387e-03 	3.304632e-03 	3.326263e-03 	2.263789e+03 
17 	43736.784035 	2.261438e-01 	6.391622e+00 	3.156511e-01 	3.075340e-03 	3.315934e-03 	3.337706e-03 	2.224932e+03 
18 	45923.677242 	2.251110e-01 	6.388461e+00 	3.124833e-01 	3.085233e-03 	3.327171e-03 	3.349084e-03 	2.186893e+03 
19 	48073.330037 	2.240908e-01 	6.385331e+00 	3.093475e-01 	3.095064e-03 	3.338343e-03 	3.360396e-03 	2.149653e+03 
20 	50186.520464 	2.230829e-01 	6.382233e+00 	3.062432e-01 	3.104835e-03 	3.349449e-03 	3.371642e-03 	2.113190e+03 
21 	52264.007159 	2.220872e-01 	6.379166e+00 	3.031702e-01 	3.114545e-03 	3.360489e-03 	3.382823e-03 	2.077487e+03 
22 	54306.529902 	2.211035e-01 	6.376130e+00 	3.001281e-01 	3.124195e-03 	3.371465e-03 	3.393937e-03 	2.042523e+03 
23 	56314.810160 	2.201318e-01 	6.373124e+00 	2.971167e-01 	3.133784e-03 	3.382374e-03 	3.404985e-03 	2.008280e+03 
24 	58289.551609 	2.191717e-01 	6.370149e+00 	2.941356e-01 	3.143313e-03 	3.393218e-03 	3.415968e-03 	1.974741e+03 
25 	60231.440640 	2.182232e-01 	6.367204e+00 	2.911844e-01 	3.152781e-03 	3.403997e-03 	3.426885e-03 	1.941889e+03 
26 	62141.146848 	2.172861e-01 	6.364288e+00 	2.882630e-01 	3.162188e-03 	3.414710e-03 	3.437735e-03 	1.909706e+03 
27 	64019.323507 	2.163603e-01 	6.361402e+00 	2.853710e-01 	3.171535e-03 	3.425358e-03 	3.448520e-03 	1.878177e+03 
28 	65866.608029 	2.154456e-01 	6.358545e+00 	2.825081e-01 	3.180822e-03 	3.435940e-03 	3.459238e-03 	1.847285e+03 
29 	67683.622409 	2.145418e-01 	6.355717e+00 	2.796739e-01 	3.190049e-03 	3.446456e-03 	3.469891e-03 	1.817014e+03 
30 	69470.973655 	2.136489e-01 	6.352917e+00 	2.768684e-01 	3.199216e-03 	3.456907e-03 	3.480478e-03 	1.787351e+03 
31 	71229.254204 	2.127667e-01 	6.350145e+00 	2.740910e-01 	3.208322e-03 	3.467293e-03 	3.490999e-03 	1.758281e+03 
32 	72959.042331 	2.118950e-01 	6.347401e+00 	2.713416e-01 	3.217369e-03 	3.477613e-03 	3.501454e-03 	1.729788e+03 
33 	74660.902533 	2.110338e-01 	6.344685e+00 	2.686198e-01 	3.226355e-03 	3.487868e-03 	3.511843e-03 	1.701860e+03 
34 	76335.385917 	2.101828e-01 	6.341996e+00 	2.659254e-01 	3.235282e-03 	3.498058e-03 	3.522167e-03 	1.674483e+03 
35 	77983.030559 	2.093419e-01 	6.339334e+00 	2.632581e-01 	3.244150e-03 	3.508182e-03 	3.532425e-03 	1.647645e+03 
36 	79604.361868 	2.085111e-01 	6.336699e+00 	2.606177e-01 	3.252957e-03 	3.518242e-03 	3.542617e-03 	1.621331e+03 
37 	81199.892925 	2.076901e-01 	6.334091e+00 	2.580038e-01 	3.261706e-03 	3.528236e-03 	3.552744e-03 	1.595531e+03 
38 	82770.124823 	2.068790e-01 	6.331508e+00 	2.554162e-01 	3.270395e-03 	3.538166e-03 	3.562805e-03 	1.570232e+03 
39 	84315.546988 	2.060774e-01 	6.328952e+00 	2.528546e-01 	3.279025e-03 	3.548031e-03 	3.572802e-03 	1.545422e+03 
40 	85836.637494 	2.052853e-01 	6.326422e+00 	2.503188e-01 	3.287596e-03 	3.557831e-03 	3.582732e-03 	1.521091e+03 
41 	87333.863370 	2.045026e-01 	6.323916e+00 	2.478085e-01 	3.296108e-03 	3.567566e-03 	3.592598e-03 	1.497226e+03 
42 	88807.680896 	2.037292e-01 	6.321437e+00 	2.453234e-01 	3.304562e-03 	3.577237e-03 	3.602399e-03 	1.473818e+03 
43 	90258.535885 	2.029649e-01 	6.318982e+00 	2.428634e-01 	3.312957e-03 	3.586844e-03 	3.612135e-03 	1.450855e+03 
44 	91686.863968 	2.022097e-01 	6.316551e+00 	2.404280e-01 	3.321293e-03 	3.596386e-03 	3.621806e-03 	1.428328e+03 
45 	93093.090860 	2.014633e-01 	6.314146e+00 	2.380171e-01 	3.329571e-03 	3.605865e-03 	3.631412e-03 	1.406227e+03 
46 	94477.632623 	2.007258e-01 	6.311764e+00 	2.356305e-01 	3.337792e-03 	3.615279e-03 	3.640954e-03 	1.384542e+03 
47 	95840.895920 	1.999969e-01 	6.309406e+00 	2.332679e-01 	3.345954e-03 	3.624629e-03 	3.650431e-03 	1.363263e+03 
48 	97183.278262 	1.992766e-01 	6.307072e+00 	2.309290e-01 	3.354059e-03 	3.633916e-03 	3.659845e-03 	1.342382e+03 
49 	98505.168246 	1.985647e-01 	6.304762e+00 	2.286136e-01 	3.362106e-03 	3.643139e-03 	3.669194e-03 	1.321890e+03 
50 	99806.945788 	1.978612e-01 	6.302475e+00 	2.263215e-01 	3.370096e-03 	3.652299e-03 	3.678479e-03 	1.301778e+03 
