i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	0.077642 	3.375441 	3.617984 	0.002887 	0.003065 	0.003082 	0.010830 
1 	3059.360506 	7.686500e-02 	3.369924e+00 	3.612470e+00 	2.901813e-03 	3.081293e-03 	3.098186e-03 	3.058361e+03 
2 	6072.630316 	7.609451e-02 	3.364419e+00 	3.606967e+00 	2.916499e-03 	3.097498e-03 	3.114564e-03 	3.013270e+03 
3 	9041.525395 	7.533176e-02 	3.358930e+00 	3.601481e+00 	2.931232e-03 	3.113761e-03 	3.131001e-03 	2.968895e+03 
4 	11966.791507 	7.457667e-02 	3.353459e+00 	3.596012e+00 	2.946011e-03 	3.130081e-03 	3.147497e-03 	2.925266e+03 
5 	14849.160237 	7.382915e-02 	3.348004e+00 	3.590560e+00 	2.960839e-03 	3.146459e-03 	3.164052e-03 	2.882369e+03 
6 	17689.349061 	7.308914e-02 	3.342566e+00 	3.585124e+00 	2.975713e-03 	3.162895e-03 	3.180667e-03 	2.840189e+03 
7 	20488.061656 	7.235656e-02 	3.337144e+00 	3.579705e+00 	2.990636e-03 	3.179390e-03 	3.197341e-03 	2.798713e+03 
8 	23245.988197 	7.163133e-02 	3.331739e+00 	3.574302e+00 	3.005606e-03 	3.195943e-03 	3.214076e-03 	2.757927e+03 
9 	25963.805656 	7.091338e-02 	3.326350e+00 	3.568916e+00 	3.020624e-03 	3.212554e-03 	3.230871e-03 	2.717817e+03 
10 	28642.178087 	7.020264e-02 	3.320977e+00 	3.563546e+00 	3.035690e-03 	3.229225e-03 	3.247727e-03 	2.678372e+03 
11 	31281.756910 	6.949903e-02 	3.315620e+00 	3.558191e+00 	3.050805e-03 	3.245956e-03 	3.264644e-03 	2.639579e+03 
12 	33883.181181 	6.880248e-02 	3.310279e+00 	3.552853e+00 	3.065968e-03 	3.262745e-03 	3.281622e-03 	2.601424e+03 
13 	36447.077864 	6.811293e-02 	3.304954e+00 	3.547530e+00 	3.081179e-03 	3.279595e-03 	3.298661e-03 	2.563897e+03 
14 	38974.062087 	6.743029e-02 	3.299645e+00 	3.542224e+00 	3.096440e-03 	3.296505e-03 	3.315762e-03 	2.526984e+03 
15 	41464.737398 	6.675451e-02 	3.294351e+00 	3.536932e+00 	3.111750e-03 	3.313475e-03 	3.332925e-03 	2.490675e+03 
16 	43919.696015 	6.608551e-02 	3.289073e+00 	3.531657e+00 	3.127108e-03 	3.330505e-03 	3.350151e-03 	2.454959e+03 
17 	46339.519068 	6.542322e-02 	3.283811e+00 	3.526397e+00 	3.142517e-03 	3.347597e-03 	3.367438e-03 	2.419823e+03 
18 	48724.776833 	6.476758e-02 	3.278563e+00 	3.521152e+00 	3.157975e-03 	3.364749e-03 	3.384789e-03 	2.385258e+03 
19 	51076.028966 	6.411852e-02 	3.273331e+00 	3.515922e+00 	3.173482e-03 	3.381963e-03 	3.402203e-03 	2.351252e+03 
20 	53393.824728 	6.347597e-02 	3.268114e+00 	3.510708e+00 	3.189040e-03 	3.399239e-03 	3.419680e-03 	2.317796e+03 
21 	55678.703201 	6.283987e-02 	3.262912e+00 	3.505508e+00 	3.204647e-03 	3.416576e-03 	3.437220e-03 	2.284878e+03 
22 	57931.193510 	6.221015e-02 	3.257725e+00 	3.500324e+00 	3.220305e-03 	3.433976e-03 	3.454825e-03 	2.252490e+03 
23 	60151.815027 	6.158676e-02 	3.252553e+00 	3.495154e+00 	3.236014e-03 	3.451438e-03 	3.472493e-03 	2.220622e+03 
24 	62341.077576 	6.096961e-02 	3.247396e+00 	3.489999e+00 	3.251773e-03 	3.468962e-03 	3.490226e-03 	2.189263e+03 
25 	64499.481639 	6.035866e-02 	3.242253e+00 	3.484859e+00 	3.267583e-03 	3.486550e-03 	3.508024e-03 	2.158404e+03 
26 	66627.518542 	5.975384e-02 	3.237125e+00 	3.479733e+00 	3.283445e-03 	3.504200e-03 	3.525887e-03 	2.128037e+03 
27 	68725.670654 	5.915509e-02 	3.232011e+00 	3.474622e+00 	3.299357e-03 	3.521915e-03 	3.543815e-03 	2.098152e+03 
