i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.081762 	1.554292 	13.684454 	0.000194 	0.000196 	0.000196 	0 
1 	15838047.178497 	2.072515e+00 	1.538679e+00 	1.366883e+01 	1.953550e-04 	1.976977e-04 	1.977969e-04 	1.583805e+07 
2 	31342883.778207 	2.063353e+00 	1.523207e+00 	1.365335e+01 	1.967267e-04 	1.990950e-04 	1.991955e-04 	1.550484e+07 
3 	46523666.646197 	2.054285e+00 	1.507892e+00 	1.363803e+01 	1.980972e-04 	2.004912e-04 	2.005930e-04 	1.518078e+07 
4 	61389611.194752 	2.045311e+00 	1.492732e+00 	1.362286e+01 	1.994663e-04 	2.018860e-04 	2.019891e-04 	1.486594e+07 
5 	75949628.353421 	2.036429e+00 	1.477726e+00 	1.360784e+01 	2.008340e-04 	2.032794e-04 	2.033839e-04 	1.456002e+07 
6 	90212333.623793 	2.027638e+00 	1.462872e+00 	1.359298e+01 	2.022000e-04 	2.046713e-04 	2.047771e-04 	1.426271e+07 
7 	104186058.078996 	2.018939e+00 	1.448168e+00 	1.357827e+01 	2.035644e-04 	2.060616e-04 	2.061688e-04 	1.397372e+07 
8 	117878858.928449 	2.010329e+00 	1.433613e+00 	1.356370e+01 	2.049271e-04 	2.074502e-04 	2.075587e-04 	1.369280e+07 
9 	131298529.652450 	2.001807e+00 	1.419206e+00 	1.354928e+01 	2.062879e-04 	2.088371e-04 	2.089469e-04 	1.341967e+07 
10 	144452609.725395 	1.993374e+00 	1.404944e+00 	1.353501e+01 	2.076467e-04 	2.102220e-04 	2.103332e-04 	1.315408e+07 
11 	157348393.945473 	1.985027e+00 	1.390827e+00 	1.352089e+01 	2.090036e-04 	2.116050e-04 	2.117175e-04 	1.289578e+07 
12 	169992941.388238 	1.976766e+00 	1.376853e+00 	1.350690e+01 	2.103583e-04 	2.129858e-04 	2.130998e-04 	1.264455e+07 
13 	182393084.000222 	1.968590e+00 	1.363020e+00 	1.349306e+01 	2.117108e-04 	2.143646e-04 	2.144799e-04 	1.240014e+07 
14 	194555434.848383 	1.960498e+00 	1.349327e+00 	1.347936e+01 	2.130610e-04 	2.157410e-04 	2.158577e-04 	1.216235e+07 
15 	206486396.040132 	1.952489e+00 	1.335773e+00 	1.346579e+01 	2.144088e-04 	2.171152e-04 	2.172332e-04 	1.193096e+07 
16 	218192166.328256 	1.944562e+00 	1.322356e+00 	1.345236e+01 	2.157542e-04 	2.184869e-04 	2.186063e-04 	1.170577e+07 
17 	229678748.414210 	1.936717e+00 	1.309075e+00 	1.343907e+01 	2.170970e-04 	2.198561e-04 	2.199769e-04 	1.148658e+07 
18 	240951955.962752 	1.928952e+00 	1.295929e+00 	1.342591e+01 	2.184372e-04 	2.212227e-04 	2.213449e-04 	1.127321e+07 
19 	252017420.340250 	1.921267e+00 	1.282915e+00 	1.341289e+01 	2.197747e-04 	2.225866e-04 	2.227103e-04 	1.106546e+07 
20 	262880597.088405 	1.913661e+00 	1.270033e+00 	1.340000e+01 	2.211093e-04 	2.239478e-04 	2.240728e-04 	1.086318e+07 
21 	273546772.144694 	1.906133e+00 	1.257281e+00 	1.338723e+01 	2.224412e-04 	2.253061e-04 	2.254325e-04 	1.066618e+07 
22 	284021067.820197 	1.898682e+00 	1.244658e+00 	1.337460e+01 	2.237700e-04 	2.266615e-04 	2.267893e-04 	1.047430e+07 
23 	294308448.545029 	1.891307e+00 	1.232163e+00 	1.336209e+01 	2.250958e-04 	2.280138e-04 	2.281431e-04 	1.028738e+07 
24 	304413726.391279 	1.884007e+00 	1.219794e+00 	1.334971e+01 	2.264186e-04 	2.293631e-04 	2.294939e-04 	1.010528e+07 
25 	314341566.382716 	1.876783e+00 	1.207550e+00 	1.333746e+01 	2.277381e-04 	2.307093e-04 	2.308414e-04 	9.927840e+06 
26 	324096491.600124 	1.869632e+00 	1.195430e+00 	1.332533e+01 	2.290544e-04 	2.320521e-04 	2.321857e-04 	9.754925e+06 
27 	333682888.090890 	1.862554e+00 	1.183432e+00 	1.331332e+01 	2.303674e-04 	2.333917e-04 	2.335268e-04 	9.586396e+06 
28 	343105009.590964 	1.855549e+00 	1.171556e+00 	1.330143e+01 	2.316769e-04 	2.347279e-04 	2.348644e-04 	9.422122e+06 
29 	352366982.066919 	1.848615e+00 	1.159800e+00 	1.328966e+01 	2.329830e-04 	2.360606e-04 	2.361986e-04 	9.261972e+06 
30 	361472808.085599 	1.841752e+00 	1.148162e+00 	1.327801e+01 	2.342856e-04 	2.373898e-04 	2.375292e-04 	9.105826e+06 
31 	370426371.018443 	1.834959e+00 	1.136642e+00 	1.326648e+01 	2.355846e-04 	2.387154e-04 	2.388562e-04 	8.953563e+06 
32 	379231439.087264 	1.828236e+00 	1.125238e+00 	1.325506e+01 	2.368798e-04 	2.400374e-04 	2.401796e-04 	8.805068e+06 
33 	387891669.257981 	1.821580e+00 	1.113950e+00 	1.324376e+01 	2.381714e-04 	2.413556e-04 	2.414993e-04 	8.660230e+06 
34 	396410610.988544 	1.814993e+00 	1.102776e+00 	1.323258e+01 	2.394591e-04 	2.426700e-04 	2.428151e-04 	8.518942e+06 
35 	404791709.836895 	1.808473e+00 	1.091714e+00 	1.322150e+01 	2.407430e-04 	2.439805e-04 	2.441271e-04 	8.381099e+06 
36 	413038310.934797 	1.802019e+00 	1.080764e+00 	1.321054e+01 	2.420230e-04 	2.452870e-04 	2.454351e-04 	8.246601e+06 
37 	421153662.332796 	1.795631e+00 	1.069925e+00 	1.319969e+01 	2.432990e-04 	2.465896e-04 	2.467392e-04 	8.115351e+06 
38 	429140918.221589 	1.789307e+00 	1.059195e+00 	1.318895e+01 	2.445709e-04 	2.478881e-04 	2.480391e-04 	7.987256e+06 
39 	437003142.034811 	1.783048e+00 	1.048573e+00 	1.317831e+01 	2.458387e-04 	2.491825e-04 	2.493350e-04 	7.862224e+06 
40 	444743309.437887 	1.776853e+00 	1.038059e+00 	1.316778e+01 	2.471023e-04 	2.504728e-04 	2.506267e-04 	7.740167e+06 
41 	452364311.207607 	1.770720e+00 	1.027650e+00 	1.315736e+01 	2.483618e-04 	2.517587e-04 	2.519141e-04 	7.621002e+06 
42 	459868956.006683 	1.764650e+00 	1.017347e+00 	1.314705e+01 	2.496169e-04 	2.530404e-04 	2.531973e-04 	7.504645e+06 
43 	467259973.057547 	1.758641e+00 	1.007148e+00 	1.313683e+01 	2.508678e-04 	2.543178e-04 	2.544761e-04 	7.391017e+06 
44 	474540014.719320 	1.752694e+00 	9.970511e-01 	1.312672e+01 	2.521142e-04 	2.555907e-04 	2.557505e-04 	7.280042e+06 
45 	481711658.971757 	1.746806e+00 	9.870565e-01 	1.311672e+01 	2.533562e-04 	2.568592e-04 	2.570204e-04 	7.171644e+06 
46 	488777411.809923 	1.740978e+00 	9.771627e-01 	1.310681e+01 	2.545937e-04 	2.581231e-04 	2.582859e-04 	7.065753e+06 
47 	495739709.553001 	1.735209e+00 	9.673687e-01 	1.309700e+01 	2.558267e-04 	2.593825e-04 	2.595467e-04 	6.962298e+06 
48 	502600921.070610 	1.729498e+00 	9.576734e-01 	1.308729e+01 	2.570551e-04 	2.606373e-04 	2.608030e-04 	6.861212e+06 
49 	509363349.929935 	1.723845e+00 	9.480759e-01 	1.307768e+01 	2.582789e-04 	2.618874e-04 	2.620545e-04 	6.762429e+06 
50 	516029236.466593 	1.718249e+00 	9.385751e-01 	1.306817e+01 	2.594980e-04 	2.631328e-04 	2.633014e-04 	6.665887e+06 
51 	522600759.782351 	1.712710e+00 	9.291701e-01 	1.305875e+01 	2.607124e-04 	2.643734e-04 	2.645435e-04 	6.571523e+06 
52 	529080039.672372 	1.707226e+00 	9.198599e-01 	1.304942e+01 	2.619220e-04 	2.656093e-04 	2.657809e-04 	6.479280e+06 
53 	535469138.484863 	1.701798e+00 	9.106436e-01 	1.304019e+01 	2.631269e-04 	2.668403e-04 	2.670133e-04 	6.389099e+06 
54 	541770062.915535 	1.696425e+00 	9.015201e-01 	1.303105e+01 	2.643268e-04 	2.680664e-04 	2.682409e-04 	6.300924e+06 
55 	547984765.739552 	1.691105e+00 	8.924885e-01 	1.302201e+01 	2.655219e-04 	2.692875e-04 	2.694635e-04 	6.214703e+06 
56 	554115147.483218 	1.685839e+00 	8.835480e-01 	1.301305e+01 	2.667121e-04 	2.705037e-04 	2.706812e-04 	6.130382e+06 
57 	560163058.037749 	1.680626e+00 	8.746975e-01 	1.300419e+01 	2.678973e-04 	2.717149e-04 	2.718939e-04 	6.047911e+06 
58 	566130298.217343 	1.675466e+00 	8.659362e-01 	1.299541e+01 	2.690775e-04 	2.729211e-04 	2.731015e-04 	5.967240e+06 
59 	572018621.263618 	1.670357e+00 	8.572631e-01 	1.298672e+01 	2.702526e-04 	2.741221e-04 	2.743040e-04 	5.888323e+06 
60 	577829734.298448 	1.665300e+00 	8.486774e-01 	1.297812e+01 	2.714227e-04 	2.753180e-04 	2.755014e-04 	5.811113e+06 
61 	583565299.727133 	1.660293e+00 	8.401782e-01 	1.296961e+01 	2.725877e-04 	2.765088e-04 	2.766936e-04 	5.735565e+06 
62 	589226936.593803 	1.655336e+00 	8.317645e-01 	1.296118e+01 	2.737476e-04 	2.776944e-04 	2.778807e-04 	5.661637e+06 
63 	594816221.890758 	1.650429e+00 	8.234356e-01 	1.295284e+01 	2.749023e-04 	2.788747e-04 	2.790625e-04 	5.589285e+06 
64 	600334691.823549 	1.645572e+00 	8.151905e-01 	1.294458e+01 	2.760518e-04 	2.800498e-04 	2.802390e-04 	5.518470e+06 
65 	605783843.033351 	1.640763e+00 	8.070284e-01 	1.293640e+01 	2.771960e-04 	2.812196e-04 	2.814103e-04 	5.449151e+06 
66 	611165133.778313 	1.636002e+00 	7.989485e-01 	1.292830e+01 	2.783350e-04 	2.823841e-04 	2.825762e-04 	5.381291e+06 
