i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.717904 	1.469709 	6.812387 	0.001028 	0.001070 	0.001073 	0 
1 	293004.021520 	1.709366e+00 	1.454860e+00 	6.797540e+00 	1.040425e-03 	1.082494e-03 	1.085973e-03 	2.930030e+05 
2 	576208.278672 	1.700902e+00 	1.440138e+00 	6.782819e+00 	1.052568e-03 	1.095422e-03 	1.098980e-03 	2.832043e+05 
3 	849982.872389 	1.692524e+00 	1.425566e+00 	6.768248e+00 	1.064776e-03 	1.108422e-03 	1.112062e-03 	2.737746e+05 
4 	1114696.142016 	1.684230e+00 	1.411144e+00 	6.753827e+00 	1.077045e-03 	1.121494e-03 	1.125216e-03 	2.647133e+05 
5 	1370700.594102 	1.676020e+00 	1.396868e+00 	6.739552e+00 	1.089376e-03 	1.134636e-03 	1.138443e-03 	2.560045e+05 
6 	1618333.502883 	1.667892e+00 	1.382739e+00 	6.725423e+00 	1.101767e-03 	1.147849e-03 	1.151740e-03 	2.476329e+05 
7 	1857917.622139 	1.659847e+00 	1.368753e+00 	6.711438e+00 	1.114218e-03 	1.161130e-03 	1.165108e-03 	2.395841e+05 
8 	2089761.862842 	1.651884e+00 	1.354911e+00 	6.697595e+00 	1.126727e-03 	1.174479e-03 	1.178544e-03 	2.318442e+05 
9 	2314161.937068 	1.644000e+00 	1.341210e+00 	6.683894e+00 	1.139294e-03 	1.187894e-03 	1.192050e-03 	2.244001e+05 
10 	2531400.969936 	1.636196e+00 	1.327649e+00 	6.670332e+00 	1.151918e-03 	1.201376e-03 	1.205622e-03 	2.172390e+05 
11 	2741750.081258 	1.628471e+00 	1.314227e+00 	6.656909e+00 	1.164598e-03 	1.214923e-03 	1.219261e-03 	2.103491e+05 
12 	2945468.938470 	1.620824e+00 	1.300941e+00 	6.643622e+00 	1.177332e-03 	1.228534e-03 	1.232965e-03 	2.037189e+05 
13 	3142806.282359 	1.613254e+00 	1.287791e+00 	6.630471e+00 	1.190121e-03 	1.242208e-03 	1.246734e-03 	1.973373e+05 
14 	3334000.426981 	1.605760e+00 	1.274775e+00 	6.617453e+00 	1.202962e-03 	1.255945e-03 	1.260566e-03 	1.911941e+05 
15 	3519279.735123 	1.598342e+00 	1.261892e+00 	6.604568e+00 	1.215856e-03 	1.269742e-03 	1.274461e-03 	1.852793e+05 
16 	3698863.070568 	1.590998e+00 	1.249141e+00 	6.591815e+00 	1.228800e-03 	1.283599e-03 	1.288417e-03 	1.795833e+05 
