i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.921222 	5.004127 	10.395158 	0.000194 	0.000196 	0.000196 	0 
1 	15079402.892910 	1.901700e+00 	4.969385e+00 	1.036042e+01 	1.969524e-04 	1.993429e-04 	1.994415e-04 	1.507940e+07 
2 	29464071.023602 	1.882330e+00 	4.934872e+00 	1.032592e+01 	2.000254e-04 	2.024747e-04 	2.025763e-04 	1.438467e+07 
3 	43187049.918931 	1.863159e+00 	4.900668e+00 	1.029172e+01 	2.031335e-04 	2.056428e-04 	2.057473e-04 	1.372298e+07 
4 	56281252.073824 	1.844184e+00 	4.866771e+00 	1.025783e+01 	2.062766e-04 	2.088470e-04 	2.089546e-04 	1.309420e+07 
5 	68777867.800721 	1.825405e+00 	4.833176e+00 	1.022425e+01 	2.094549e-04 	2.120878e-04 	2.121985e-04 	1.249662e+07 
6 	80706439.620656 	1.806818e+00 	4.799882e+00 	1.019096e+01 	2.126687e-04 	2.153652e-04 	2.154791e-04 	1.192857e+07 
7 	92094953.717973 	1.788423e+00 	4.766884e+00 	1.015797e+01 	2.159180e-04 	2.186794e-04 	2.187966e-04 	1.138851e+07 
8 	102969926.361654 	1.770216e+00 	4.734179e+00 	1.012527e+01 	2.192030e-04 	2.220306e-04 	2.221512e-04 	1.087497e+07 
9 	113356485.311825 	1.752197e+00 	4.701764e+00 	1.009287e+01 	2.225240e-04 	2.254190e-04 	2.255431e-04 	1.038656e+07 
10 	123278446.510170 	1.734362e+00 	4.669637e+00 	1.006075e+01 	2.258810e-04 	2.288448e-04 	2.289724e-04 	9.921961e+06 
11 	132758386.338278 	1.716711e+00 	4.637793e+00 	1.002891e+01 	2.292743e-04 	2.323081e-04 	2.324393e-04 	9.479940e+06 
12 	141817709.710346 	1.699241e+00 	4.606230e+00 	9.997356e+00 	2.327039e-04 	2.358091e-04 	2.359441e-04 	9.059323e+06 
13 	150476714.249943 	1.681951e+00 	4.574944e+00 	9.966078e+00 	2.361700e-04 	2.393480e-04 	2.394868e-04 	8.659005e+06 
14 	158754650.785212 	1.664838e+00 	4.543933e+00 	9.935075e+00 	2.396728e-04 	2.429250e-04 	2.430676e-04 	8.277937e+06 
15 	166669780.382212 	1.647901e+00 	4.513194e+00 	9.904343e+00 	2.432124e-04 	2.465402e-04 	2.466868e-04 	7.915130e+06 
16 	174239428.122621 	1.631137e+00 	4.482723e+00 	9.873880e+00 	2.467890e-04 	2.501937e-04 	2.503444e-04 	7.569648e+06 
17 	181480033.819311 	1.614546e+00 	4.452519e+00 	9.843683e+00 	2.504028e-04 	2.538858e-04 	2.540407e-04 	7.240606e+06 
18 	188407199.851323 	1.598125e+00 	4.422577e+00 	9.813748e+00 	2.540537e-04 	2.576167e-04 	2.577758e-04 	6.927166e+06 
19 	195035736.288618 	1.581872e+00 	4.392895e+00 	9.784074e+00 	2.577421e-04 	2.613863e-04 	2.615498e-04 	6.628536e+06 
20 	201379703.466675 	1.565787e+00 	4.363470e+00 	9.754657e+00 	2.614680e-04 	2.651950e-04 	2.653630e-04 	6.343967e+06 
21 	207452452.160994 	1.549866e+00 	4.334299e+00 	9.725494e+00 	2.652316e-04 	2.690429e-04 	2.692154e-04 	6.072749e+06 
22 	213266661.502611 	1.534109e+00 	4.305381e+00 	9.696583e+00 	2.690329e-04 	2.729301e-04 	2.731073e-04 	5.814209e+06 
23 	218834374.766980 	1.518513e+00 	4.276711e+00 	9.667920e+00 	2.728722e-04 	2.768567e-04 	2.770387e-04 	5.567713e+06 
24 	224167033.160651 	1.503077e+00 	4.248287e+00 	9.639504e+00 	2.767495e-04 	2.808229e-04 	2.810098e-04 	5.332658e+06 
25 	229275507.722483 	1.487800e+00 	4.220107e+00 	9.611331e+00 	2.806650e-04 	2.848289e-04 	2.850208e-04 	5.108475e+06 
26 	234170129.449291 	1.472679e+00 	4.192168e+00 	9.583400e+00 	2.846188e-04 	2.888748e-04 	2.890718e-04 	4.894622e+06 
27 	238860717.748871 	1.457713e+00 	4.164467e+00 	9.555706e+00 	2.886110e-04 	2.929607e-04 	2.931629e-04 	4.690588e+06 
28 	243356607.317476 	1.442901e+00 	4.137002e+00 	9.528249e+00 	2.926417e-04 	2.970868e-04 	2.972943e-04 	4.495890e+06 
29 	247666673.532713 	1.428241e+00 	4.109771e+00 	9.501024e+00 	2.967110e-04 	3.012532e-04 	3.014662e-04 	4.310066e+06 
30 	251799356.447537 	1.413730e+00 	4.082770e+00 	9.474031e+00 	3.008191e-04 	3.054600e-04 	3.056785e-04 	4.132683e+06 
31 	255762683.465790 	1.399369e+00 	4.055997e+00 	9.447265e+00 	3.049661e-04 	3.097073e-04 	3.099316e-04 	3.963327e+06 
32 	259564290.774993 	1.385155e+00 	4.029450e+00 	9.420725e+00 	3.091520e-04 	3.139954e-04 	3.142254e-04 	3.801607e+06 
33 	263211443.607532 	1.371086e+00 	4.003127e+00 	9.394409e+00 	3.133770e-04 	3.183242e-04 	3.185602e-04 	3.647153e+06 
34 	266711055.397172 	1.357162e+00 	3.977024e+00 	9.368314e+00 	3.176412e-04 	3.226940e-04 	3.229360e-04 	3.499612e+06 
35 	270069705.893869 	1.343380e+00 	3.951140e+00 	9.342437e+00 	3.219446e-04 	3.271047e-04 	3.273529e-04 	3.358650e+06 
36 	273293658.296095 	1.329739e+00 	3.925473e+00 	9.316777e+00 	3.262874e-04 	3.315567e-04 	3.318112e-04 	3.223952e+06 
37 	276388875.456403 	1.316238e+00 	3.900019e+00 	9.291330e+00 	3.306696e-04 	3.360499e-04 	3.363108e-04 	3.095217e+06 
38 	279361035.212661 	1.302876e+00 	3.874778e+00 	9.266095e+00 	3.350914e-04 	3.405845e-04 	3.408520e-04 	2.972160e+06 
39 	282215544.894333 	1.289650e+00 	3.849745e+00 	9.241070e+00 	3.395528e-04 	3.451605e-04 	3.454348e-04 	2.854510e+06 
40 	284957555.050243 	1.276560e+00 	3.824920e+00 	9.216252e+00 	3.440540e-04 	3.497782e-04 	3.500593e-04 	2.742010e+06 
41 	287591972.441554 	1.263603e+00 	3.800300e+00 	9.191639e+00 	3.485949e-04 	3.544375e-04 	3.547256e-04 	2.634417e+06 
42 	290123472.341140 	1.250780e+00 	3.775883e+00 	9.167228e+00 	3.531757e-04 	3.591387e-04 	3.594339e-04 	2.531500e+06 
43 	292556510.178139 	1.238087e+00 	3.751666e+00 	9.143019e+00 	3.577965e-04 	3.638817e-04 	3.641842e-04 	2.433038e+06 
44 	294895332.564183 	1.225525e+00 	3.727648e+00 	9.119007e+00 	3.624573e-04 	3.686667e-04 	3.689766e-04 	2.338822e+06 
45 	297143987.735714 	1.213091e+00 	3.703826e+00 	9.095192e+00 	3.671583e-04 	3.734938e-04 	3.738113e-04 	2.248655e+06 
46 	299306335.444798 	1.200784e+00 	3.680199e+00 	9.071572e+00 	3.718994e-04 	3.783630e-04 	3.786883e-04 	2.162348e+06 
47 	301386056.328938 	1.188603e+00 	3.656764e+00 	9.048144e+00 	3.766807e-04 	3.832745e-04 	3.836076e-04 	2.079721e+06 
48 	303386660.788696 	1.176547e+00 	3.633519e+00 	9.024906e+00 	3.815024e-04 	3.882283e-04 	3.885695e-04 	2.000604e+06 
49 	305311497.400204 	1.164614e+00 	3.610463e+00 	9.001856e+00 	3.863644e-04 	3.932246e-04 	3.935740e-04 	1.924837e+06 
50 	307163760.888139 	1.152803e+00 	3.587593e+00 	8.978993e+00 	3.912668e-04 	3.982633e-04 	3.986211e-04 	1.852263e+06 
51 	308946499.683256 	1.141113e+00 	3.564907e+00 	8.956313e+00 	3.962098e-04 	4.033447e-04 	4.037109e-04 	1.782739e+06 
52 	310662623.087179 	1.129543e+00 	3.542403e+00 	8.933816e+00 	4.011933e-04 	4.084687e-04 	4.088436e-04 	1.716123e+06 
53 	312314908.065886 	1.118091e+00 	3.520080e+00 	8.911500e+00 	4.062174e-04 	4.136354e-04 	4.140192e-04 	1.652285e+06 
54 	313906005.692087 	1.106756e+00 	3.497936e+00 	8.889362e+00 	4.112822e-04 	4.188449e-04 	4.192377e-04 	1.591098e+06 
55 	315438447.255548 	1.095536e+00 	3.475968e+00 	8.867401e+00 	4.163877e-04 	4.240973e-04 	4.244993e-04 	1.532442e+06 
56 	316914650.059329 	1.084432e+00 	3.454175e+00 	8.845614e+00 	4.215339e-04 	4.293926e-04 	4.298040e-04 	1.476203e+06 
57 	318336922.918912 	1.073441e+00 	3.432555e+00 	8.824001e+00 	4.267209e-04 	4.347310e-04 	4.351519e-04 	1.422273e+06 
58 	319707471.380210 	1.062562e+00 	3.411106e+00 	8.802558e+00 	4.319487e-04 	4.401123e-04 	4.405430e-04 	1.370548e+06 
59 	321028402.671566 	1.051795e+00 	3.389827e+00 	8.781285e+00 	4.372175e-04 	4.455369e-04 	4.459774e-04 	1.320931e+06 
60 	322301730.404000 	1.041137e+00 	3.368715e+00 	8.760180e+00 	4.425271e-04 	4.510045e-04 	4.514551e-04 	1.273328e+06 
61 	323529379.033155 	1.030588e+00 	3.347769e+00 	8.739240e+00 	4.478777e-04 	4.565155e-04 	4.569763e-04 	1.227649e+06 
62 	324713188.095655 	1.020147e+00 	3.326988e+00 	8.718465e+00 	4.532693e-04 	4.620697e-04 	4.625410e-04 	1.183809e+06 
63 	325854916.231877 	1.009813e+00 	3.306368e+00 	8.697851e+00 	4.587018e-04 	4.676672e-04 	4.681492e-04 	1.141728e+06 
64 	326956245.006449 	9.995845e-01 	3.285909e+00 	8.677399e+00 	4.641755e-04 	4.733082e-04 	4.738009e-04 	1.101329e+06 
