i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.658609 	7.559855 	6.102043 	0.000195 	0.000198 	0.000198 	0 
1 	51020742.639142 	3.625503e+00 	7.497042e+00 	6.039243e+00 	2.002124e-04 	2.034269e-04 	2.035755e-04 	5.102074e+07 
2 	98387554.649018 	3.592697e+00 	7.434680e+00 	5.976894e+00 	2.058732e-04 	2.092412e-04 	2.093984e-04 	4.736681e+07 
3 	142357594.186267 	3.560272e+00 	7.372962e+00 	5.915190e+00 	2.116864e-04 	2.152151e-04 	2.153814e-04 	4.397004e+07 
4 	183179207.579606 	3.528225e+00 	7.311884e+00 	5.854125e+00 	2.176556e-04 	2.213525e-04 	2.215284e-04 	4.082161e+07 
5 	221082480.766139 	3.496554e+00 	7.251441e+00 	5.793695e+00 	2.237846e-04 	2.276574e-04 	2.278435e-04 	3.790327e+07 
6 	256280433.660991 	3.465255e+00 	7.191625e+00 	5.733893e+00 	2.300771e-04 	2.341342e-04 	2.343310e-04 	3.519795e+07 
7 	288970298.092023 	3.434326e+00 	7.132431e+00 	5.674711e+00 	2.365374e-04 	2.407871e-04 	2.409953e-04 	3.268986e+07 
8 	319334701.949821 	3.403763e+00 	7.073851e+00 	5.616144e+00 	2.431694e-04 	2.476207e-04 	2.478409e-04 	3.036440e+07 
9 	347542763.716019 	3.373564e+00 	7.015879e+00 	5.558186e+00 	2.499772e-04 	2.546396e-04 	2.548724e-04 	2.820806e+07 
10 	373751104.158728 	3.343724e+00 	6.958509e+00 	5.500829e+00 	2.569652e-04 	2.618483e-04 	2.620945e-04 	2.620834e+07 
11 	398104781.512242 	3.314242e+00 	6.901736e+00 	5.444068e+00 	2.641376e-04 	2.692516e-04 	2.695119e-04 	2.435368e+07 
12 	420738155.975332 	3.285114e+00 	6.845551e+00 	5.387897e+00 	2.714989e-04 	2.768544e-04 	2.771296e-04 	2.263337e+07 
13 	441775688.914012 	3.256338e+00 	6.789951e+00 	5.332309e+00 	2.790535e-04 	2.846616e-04 	2.849526e-04 	2.103753e+07 
14 	461332681.741687 	3.227910e+00 	6.734927e+00 	5.277298e+00 	2.868059e-04 	2.926784e-04 	2.929860e-04 	1.955699e+07 
15 	479515959.067974 	3.199828e+00 	6.680476e+00 	5.222859e+00 	2.947610e-04 	3.009098e-04 	3.012350e-04 	1.818328e+07 
16 	496424500.355977 	3.172090e+00 	6.626590e+00 	5.168986e+00 	3.029233e-04 	3.093611e-04 	3.097049e-04 	1.690854e+07 
17 	512150024.002697 	3.144692e+00 	6.573263e+00 	5.115672e+00 	3.112978e-04 	3.180379e-04 	3.184012e-04 	1.572552e+07 
18 	526777527.457584 	3.117632e+00 	6.520491e+00 	5.062912e+00 	3.198893e-04 	3.269454e-04 	3.273294e-04 	1.462750e+07 
19 	540385786.717749 	3.090908e+00 	6.468267e+00 	5.010701e+00 	3.287028e-04 	3.360894e-04 	3.364953e-04 	1.360826e+07 
20 	553047818.282544 	3.064516e+00 	6.416586e+00 	4.959031e+00 	3.377435e-04 	3.454756e-04 	3.459045e-04 	1.266203e+07 
21 	564831306.414997 	3.038455e+00 	6.365441e+00 	4.907899e+00 	3.470165e-04 	3.551098e-04 	3.555630e-04 	1.178349e+07 
22 	575798998.339733 	3.012722e+00 	6.314828e+00 	4.857298e+00 	3.565271e-04 	3.649980e-04 	3.654769e-04 	1.096769e+07 
23 	586009069.806170 	2.987315e+00 	6.264741e+00 	4.807223e+00 	3.662807e-04 	3.751462e-04 	3.756522e-04 	1.021007e+07 
24 	595515463.260478 	2.962231e+00 	6.215175e+00 	4.757669e+00 	3.762826e-04 	3.855607e-04 	3.860952e-04 	9.506393e+06 
25 	604368200.698528 	2.937468e+00 	6.166124e+00 	4.708630e+00 	3.865384e-04 	3.962476e-04 	3.968123e-04 	8.852737e+06 
26 	612613673.114129 	2.913024e+00 	6.117582e+00 	4.660100e+00 	3.970536e-04 	4.072135e-04 	4.078100e-04 	8.245472e+06 
27 	620294908.310803 	2.888898e+00 	6.069546e+00 	4.612075e+00 	4.078341e-04 	4.184649e-04 	4.190950e-04 	7.681235e+06 
28 	627451818.710828 	2.865085e+00 	6.022008e+00 	4.564549e+00 	4.188856e-04 	4.300084e-04 	4.306739e-04 	7.156910e+06 
29 	634121430.670818 	2.841586e+00 	5.974965e+00 	4.517517e+00 	4.302139e-04 	4.418507e-04 	4.425536e-04 	6.669612e+06 
30 	640338096.698257 	2.818397e+00 	5.928411e+00 	4.470974e+00 	4.418250e-04 	4.539989e-04 	4.547412e-04 	6.216666e+06 
31 	646133691.857412 	2.795518e+00 	5.882341e+00 	4.424915e+00 	4.537249e-04 	4.664599e-04 	4.672437e-04 	5.795595e+06 
32 	651537795.555138 	2.772945e+00 	5.836751e+00 	4.379336e+00 	4.659198e-04 	4.792408e-04 	4.800684e-04 	5.404104e+06 
33 	656577859.806635 	2.750677e+00 	5.791634e+00 	4.334230e+00 	4.784157e-04 	4.923489e-04 	4.932227e-04 	5.040064e+06 
34 	661279364.997657 	2.728713e+00 	5.746987e+00 	4.289593e+00 	4.912189e-04 	5.057915e-04 	5.067140e-04 	4.701505e+06 
35 	665665964.082763 	2.707051e+00 	5.702804e+00 	4.245421e+00 	5.043359e-04 	5.195761e-04 	5.205501e-04 	4.386599e+06 
36 	669759616.087666 	2.685689e+00 	5.659081e+00 	4.201708e+00 	5.177729e-04 	5.337104e-04 	5.347385e-04 	4.093652e+06 
37 	673580709.718241 	2.664625e+00 	5.615813e+00 	4.158450e+00 	5.315364e-04 	5.482020e-04 	5.492871e-04 	3.821094e+06 
