i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.361156 	1.933975 	5.704870 	0.001038 	0.001088 	0.001093 	0 
1 	545915.475907 	2.353579e+00 	1.914413e+00 	5.685329e+00 	1.052962e-03 	1.104408e-03 	1.109045e-03 	5.459145e+05 
2 	1072231.613769 	2.346136e+00 	1.895017e+00 	5.665953e+00 	1.068174e-03 	1.120895e-03 	1.125677e-03 	5.263161e+05 
3 	1579777.584711 	2.338831e+00 	1.875821e+00 	5.646776e+00 	1.083502e-03 	1.137523e-03 	1.142452e-03 	5.075460e+05 
4 	2069368.571307 	2.331662e+00 	1.856821e+00 	5.627796e+00 	1.098946e-03 	1.154289e-03 	1.159370e-03 	4.895910e+05 
5 	2541780.862778 	2.324628e+00 	1.838017e+00 	5.609012e+00 	1.114502e-03 	1.171192e-03 	1.176429e-03 	4.724123e+05 
6 	2997753.595759 	2.317728e+00 	1.819405e+00 	5.590420e+00 	1.130170e-03 	1.188232e-03 	1.193628e-03 	4.559727e+05 
7 	3437990.670049 	2.310961e+00 	1.800985e+00 	5.572020e+00 	1.145948e-03 	1.205406e-03 	1.210965e-03 	4.402371e+05 
8 	3863162.562091 	2.304327e+00 	1.782755e+00 	5.553808e+00 	1.161835e-03 	1.222713e-03 	1.228439e-03 	4.251719e+05 
9 	4273908.039332 	2.297824e+00 	1.764711e+00 	5.535783e+00 	1.177829e-03 	1.240152e-03 	1.246049e-03 	4.107455e+05 
10 	4670835.781088 	2.291452e+00 	1.746853e+00 	5.517944e+00 	1.193928e-03 	1.257720e-03 	1.263793e-03 	3.969277e+05 
11 	5054525.911293 	2.285209e+00 	1.729178e+00 	5.500288e+00 	1.210131e-03 	1.275418e-03 	1.281670e-03 	3.836901e+05 
12 	5425531.448134 	2.279096e+00 	1.711685e+00 	5.482813e+00 	1.226435e-03 	1.293242e-03 	1.299677e-03 	3.710055e+05 
13 	5784379.675330 	2.273110e+00 	1.694371e+00 	5.465517e+00 	1.242839e-03 	1.311191e-03 	1.317814e-03 	3.588482e+05 
14 	6131573.439475 	2.267251e+00 	1.677234e+00 	5.448399e+00 	1.259340e-03 	1.329263e-03 	1.336078e-03 	3.471938e+05 
15 	6467592.377653 	2.261519e+00 	1.660274e+00 	5.431456e+00 	1.275937e-03 	1.347456e-03 	1.354469e-03 	3.360189e+05 
16 	6792894.079260 	2.255912e+00 	1.643488e+00 	5.414687e+00 	1.292629e-03 	1.365769e-03 	1.372982e-03 	3.253017e+05 
17 	7107915.185717 	2.250430e+00 	1.626874e+00 	5.398090e+00 	1.309411e-03 	1.384200e-03 	1.391618e-03 	3.150211e+05 
18 	7413072.431604 	2.245071e+00 	1.610430e+00 	5.381664e+00 	1.326284e-03 	1.402745e-03 	1.410374e-03 	3.051572e+05 
19 	7708763.630460 	2.239835e+00 	1.594155e+00 	5.365405e+00 	1.343243e-03 	1.421404e-03 	1.429247e-03 	2.956912e+05 
20 	7995368.608353 	2.234722e+00 	1.578047e+00 	5.349314e+00 	1.360288e-03 	1.440174e-03 	1.448237e-03 	2.866050e+05 
21 	8273250.088148 	2.229730e+00 	1.562104e+00 	5.333387e+00 	1.377416e-03 	1.459053e-03 	1.467340e-03 	2.778815e+05 
22 	8542754.527184 	2.224858e+00 	1.546324e+00 	5.317623e+00 	1.394624e-03 	1.478039e-03 	1.486554e-03 	2.695044e+05 
23 	8804212.910963 	2.220106e+00 	1.530706e+00 	5.302021e+00 	1.411911e-03 	1.497129e-03 	1.505877e-03 	2.614584e+05 
24 	9057941.505283 	2.215474e+00 	1.515248e+00 	5.286579e+00 	1.429273e-03 	1.516320e-03 	1.525308e-03 	2.537286e+05 
25 	9304242.569089 	2.210959e+00 	1.499949e+00 	5.271295e+00 	1.446709e-03 	1.535612e-03 	1.544843e-03 	2.463011e+05 
26 	9543405.030223 	2.206562e+00 	1.484806e+00 	5.256167e+00 	1.464215e-03 	1.555000e-03 	1.564479e-03 	2.391625e+05 
27 	9775705.126093 	2.202281e+00 	1.469818e+00 	5.241194e+00 	1.481790e-03 	1.574483e-03 	1.584216e-03 	2.323001e+05 
28 	10001407.011183 	2.198117e+00 	1.454984e+00 	5.226374e+00 	1.499430e-03 	1.594058e-03 	1.604049e-03 	2.257019e+05 
29 	10220763.333217 	2.194068e+00 	1.440302e+00 	5.211706e+00 	1.517134e-03 	1.613722e-03 	1.623977e-03 	2.193563e+05 
30 	10434015.779671 	2.190133e+00 	1.425770e+00 	5.197188e+00 	1.534898e-03 	1.633473e-03 	1.643996e-03 	2.132524e+05 
31 	10641395.596254 	2.186312e+00 	1.411386e+00 	5.182818e+00 	1.552720e-03 	1.653307e-03 	1.664105e-03 	2.073798e+05 
32 	10843124.078863 	2.182604e+00 	1.397150e+00 	5.168595e+00 	1.570597e-03 	1.673223e-03 	1.684300e-03 	2.017285e+05 
33 	11039413.040379 	2.179008e+00 	1.383060e+00 	5.154517e+00 	1.588527e-03 	1.693217e-03 	1.704578e-03 	1.962890e+05 
34 	11230465.253989 	2.175524e+00 	1.369113e+00 	5.140583e+00 	1.606506e-03 	1.713287e-03 	1.724938e-03 	1.910522e+05 
35 	11416474.873643 	2.172150e+00 	1.355310e+00 	5.126792e+00 	1.624531e-03 	1.733429e-03 	1.745375e-03 	1.860096e+05 
36 	11597627.833508 	2.168887e+00 	1.341647e+00 	5.113141e+00 	1.642601e-03 	1.753640e-03 	1.765888e-03 	1.811530e+05 
37 	11774102.227215 	2.165733e+00 	1.328124e+00 	5.099630e+00 	1.660711e-03 	1.773919e-03 	1.786472e-03 	1.764744e+05 
38 	11946068.668055 	2.162687e+00 	1.314740e+00 	5.086256e+00 	1.678860e-03 	1.794261e-03 	1.807126e-03 	1.719664e+05 
39 	12113690.631117 	2.159749e+00 	1.301492e+00 	5.073019e+00 	1.697044e-03 	1.814663e-03 	1.827846e-03 	1.676220e+05 
40 	12277124.778332 	2.156919e+00 	1.288379e+00 	5.059917e+00 	1.715260e-03 	1.835123e-03 	1.848628e-03 	1.634341e+05 
41 	12436521.267322 	2.154195e+00 	1.275401e+00 	5.046949e+00 	1.733506e-03 	1.855638e-03 	1.869471e-03 	1.593965e+05 
42 	12592024.044910 	2.151576e+00 	1.262555e+00 	5.034113e+00 	1.751777e-03 	1.876203e-03 	1.890371e-03 	1.555028e+05 
43 	12743771.126088 	2.149062e+00 	1.249840e+00 	5.021407e+00 	1.770073e-03 	1.896817e-03 	1.911324e-03 	1.517471e+05 
44 	12891894.859216 	2.146653e+00 	1.237255e+00 	5.008831e+00 	1.788388e-03 	1.917476e-03 	1.932328e-03 	1.481237e+05 
45 	13036522.178159 	2.144347e+00 	1.224798e+00 	4.996383e+00 	1.806721e-03 	1.938176e-03 	1.953380e-03 	1.446273e+05 
46 	13177774.842052 	2.142143e+00 	1.212468e+00 	4.984062e+00 	1.825068e-03 	1.958915e-03 	1.974475e-03 	1.412527e+05 
47 	13315769.663333 	2.140042e+00 	1.200265e+00 	4.971866e+00 	1.843426e-03 	1.979690e-03 	1.995612e-03 	1.379948e+05 
48 	13450618.724650 	2.138042e+00 	1.188185e+00 	4.959794e+00 	1.861792e-03 	2.000496e-03 	2.016786e-03 	1.348491e+05 
49 	13582429.585220 	2.136142e+00 	1.176229e+00 	4.947845e+00 	1.880164e-03 	2.021330e-03 	2.037994e-03 	1.318109e+05 
50 	13711305.477409 	2.134342e+00 	1.164395e+00 	4.936017e+00 	1.898537e-03 	2.042190e-03 	2.059234e-03 	1.288759e+05 
51 	13837345.492947 	2.132640e+00 	1.152681e+00 	4.924310e+00 	1.916910e-03 	2.063073e-03 	2.080502e-03 	1.260400e+05 
52 	13960644.761453 	2.131037e+00 	1.141087e+00 	4.912721e+00 	1.935279e-03 	2.083974e-03 	2.101794e-03 	1.232993e+05 
