i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.150676 	4.347341 	2.501983 	0.001055 	0.001127 	0.001134 	0 
1 	1147354.266449 	3.160717e+00 	4.322178e+00 	2.476798e+00 	1.068363e-03 	1.143085e-03 	1.150289e-03 	1.147353e+06 
2 	2263228.389922 	3.171432e+00 	4.297212e+00 	2.451809e+00 	1.082120e-03 	1.159119e-03 	1.166605e-03 	1.115874e+06 
3 	3348328.016232 	3.182731e+00 	4.272495e+00 	2.427068e+00 	1.095763e-03 	1.175088e-03 	1.182864e-03 	1.085100e+06 
4 	4403249.371448 	3.194589e+00 	4.248025e+00 	2.402574e+00 	1.109290e-03 	1.190992e-03 	1.199068e-03 	1.054921e+06 
5 	5428478.579719 	3.206977e+00 	4.223797e+00 	2.378321e+00 	1.122701e-03 	1.206832e-03 	1.215216e-03 	1.025229e+06 
6 	6424401.661958 	3.219864e+00 	4.199808e+00 	2.354306e+00 	1.135998e-03 	1.222611e-03 	1.231314e-03 	9.959231e+05 
7 	7391316.072284 	3.233213e+00 	4.176055e+00 	2.330527e+00 	1.149187e-03 	1.238335e-03 	1.247367e-03 	9.669144e+05 
8 	8329443.529508 	3.246983e+00 	4.152533e+00 	2.306979e+00 	1.162272e-03 	1.254012e-03 	1.263384e-03 	9.381275e+05 
9 	9238943.997541 	3.261131e+00 	4.129240e+00 	2.283659e+00 	1.175264e-03 	1.269653e-03 	1.279376e-03 	9.095005e+05 
10 	10119930.576252 	3.275609e+00 	4.106173e+00 	2.260563e+00 	1.188171e-03 	1.285271e-03 	1.295355e-03 	8.809866e+05 
11 	10972484.973419 	3.290368e+00 	4.083327e+00 	2.237690e+00 	1.201008e-03 	1.300880e-03 	1.311338e-03 	8.525544e+05 
12 	11796673.151824 	3.305354e+00 	4.060701e+00 	2.215036e+00 	1.213787e-03 	1.316498e-03 	1.327342e-03 	8.241882e+05 
13 	12592560.692221 	3.320515e+00 	4.038291e+00 	2.192599e+00 	1.226526e-03 	1.332144e-03 	1.343387e-03 	7.958875e+05 
14 	13360227.390235 	3.335795e+00 	4.016095e+00 	2.170375e+00 	1.239241e-03 	1.347837e-03 	1.359493e-03 	7.676667e+05 
15 	14099780.617603 	3.351140e+00 	3.994110e+00 	2.148363e+00 	1.251951e-03 	1.363601e-03 	1.375684e-03 	7.395532e+05 
16 	14811367.025780 	3.366494e+00 	3.972335e+00 	2.126561e+00 	1.264675e-03 	1.379458e-03 	1.391983e-03 	7.115864e+05 
17 	15495182.249273 	3.381805e+00 	3.950767e+00 	2.104966e+00 	1.277432e-03 	1.395432e-03 	1.408414e-03 	6.838152e+05 
18 	16151478.369409 	3.397022e+00 	3.929404e+00 	2.083577e+00 	1.290243e-03 	1.411547e-03 	1.425002e-03 	6.562961e+05 
19 	16780569.016566 	3.412095e+00 	3.908245e+00 	2.062393e+00 	1.303127e-03 	1.427827e-03 	1.441773e-03 	6.290906e+05 
20 	17382832.108890 	3.426977e+00 	3.887288e+00 	2.041411e+00 	1.316105e-03 	1.444297e-03 	1.458752e-03 	6.022631e+05 
21 	17958710.337403 	3.441628e+00 	3.866530e+00 	2.020630e+00 	1.329196e-03 	1.460981e-03 	1.475964e-03 	5.758782e+05 
22 	18508709.602295 	3.456006e+00 	3.845972e+00 	2.000049e+00 	1.342418e-03 	1.477902e-03 	1.493433e-03 	5.499993e+05 
23 	19033395.677094 	3.470077e+00 	3.825611e+00 	1.979667e+00 	1.355789e-03 	1.495084e-03 	1.511184e-03 	5.246861e+05 
24 	19533389.423395 	3.483810e+00 	3.805446e+00 	1.959482e+00 	1.369326e-03 	1.512548e-03 	1.529239e-03 	4.999937e+05 
25 	20009360.899295 	3.497176e+00 	3.785475e+00 	1.939493e+00 	1.383046e-03 	1.530317e-03 	1.547621e-03 	4.759715e+05 
