i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	3.119732 	12.125783 	2.074993 	0.000194 	0.000197 	0.000197 	0 
1 	17449904.158717 	3.107854e+00 	1.210484e+01 	2.054039e+00 	1.961875e-04 	1.991792e-04 	1.993079e-04 	1.744990e+07 
2 	34360121.845499 	3.096088e+00 	1.208409e+01 	2.033281e+00 	1.980254e-04 	2.010638e-04 	2.011949e-04 	1.691022e+07 
3 	50749493.044100 	3.084441e+00 	1.206355e+01 	2.012734e+00 	1.998672e-04 	2.029528e-04 	2.030863e-04 	1.638937e+07 
4 	66636541.057370 	3.072912e+00 	1.204322e+01 	1.992396e+00 	2.017129e-04 	2.048460e-04 	2.049820e-04 	1.588705e+07 
5 	82039057.969782 	3.061501e+00 	1.202309e+01 	1.972265e+00 	2.035623e-04 	2.067433e-04 	2.068817e-04 	1.540252e+07 
6 	96974134.073971 	3.050205e+00 	1.200317e+01 	1.952339e+00 	2.054152e-04 	2.086445e-04 	2.087854e-04 	1.493508e+07 
7 	111458187.988720 	3.039024e+00 	1.198346e+01 	1.932616e+00 	2.072714e-04 	2.105494e-04 	2.106929e-04 	1.448405e+07 
8 	125506995.400912 	3.027957e+00 	1.196394e+01 	1.913094e+00 	2.091309e-04 	2.124580e-04 	2.126040e-04 	1.404881e+07 
9 	139135716.488565 	3.017002e+00 	1.194463e+01 	1.893770e+00 	2.109935e-04 	2.143700e-04 	2.145185e-04 	1.362872e+07 
10 	152358922.089369 	3.006159e+00 	1.192551e+01 	1.874643e+00 	2.128590e-04 	2.162853e-04 	2.164364e-04 	1.322321e+07 
11 	165190618.675285 	2.995426e+00 	1.190658e+01 	1.855711e+00 	2.147272e-04 	2.182037e-04 	2.183575e-04 	1.283170e+07 
12 	177644272.191215 	2.984801e+00 	1.188785e+01 	1.836971e+00 	2.165981e-04 	2.201251e-04 	2.202815e-04 	1.245365e+07 
13 	189732830.812655 	2.974285e+00 	1.186931e+01 	1.818422e+00 	2.184714e-04 	2.220493e-04 	2.222084e-04 	1.208856e+07 
14 	201468746.674218 	2.963875e+00 	1.185096e+01 	1.800061e+00 	2.203470e-04 	2.239762e-04 	2.241380e-04 	1.173592e+07 
15 	212863996.618487 	2.953571e+00 	1.183279e+01 	1.781888e+00 	2.222248e-04 	2.259055e-04 	2.260701e-04 	1.139525e+07 
16 	223930102.012179 	2.943372e+00 	1.181481e+01 	1.763898e+00 	2.241046e-04 	2.278373e-04 	2.280046e-04 	1.106611e+07 
17 	234678147.674184 	2.933276e+00 	1.179701e+01 	1.746092e+00 	2.259862e-04 	2.297712e-04 	2.299413e-04 	1.074805e+07 
18 	245118799.957635 	2.923283e+00 	1.177939e+01 	1.728467e+00 	2.278695e-04 	2.317072e-04 	2.318801e-04 	1.044065e+07 
19 	255262324.026438 	2.913391e+00 	1.176195e+01 	1.711021e+00 	2.297543e-04 	2.336450e-04 	2.338207e-04 	1.014352e+07 
20 	265118600.364205 	2.903599e+00 	1.174469e+01 	1.693753e+00 	2.316406e-04 	2.355846e-04 	2.357632e-04 	9.856276e+06 
21 	274697140.552034 	2.893907e+00 	1.172761e+01 	1.676660e+00 	2.335280e-04 	2.375257e-04 	2.377072e-04 	9.578540e+06 
22 	284007102.349480 	2.884313e+00 	1.171070e+01 	1.659740e+00 	2.354166e-04 	2.394682e-04 	2.396526e-04 	9.309962e+06 
23 	293057304.111513 	2.874817e+00 	1.169396e+01 	1.642993e+00 	2.373061e-04 	2.414120e-04 	2.415994e-04 	9.050202e+06 
24 	301856238.572575 	2.865417e+00 	1.167739e+01 	1.626415e+00 	2.391964e-04 	2.433569e-04 	2.435472e-04 	8.798934e+06 
25 	310412086.027371 	2.856112e+00 	1.166098e+01 	1.610006e+00 	2.410874e-04 	2.453028e-04 	2.454961e-04 	8.555847e+06 
26 	318732726.936408 	2.846902e+00 	1.164475e+01 	1.593764e+00 	2.429788e-04 	2.472495e-04 	2.474457e-04 	8.320641e+06 
27 	326825753.983104 	2.837786e+00 	1.162868e+01 	1.577687e+00 	2.448705e-04 	2.491968e-04 	2.493961e-04 	8.093027e+06 
28 	334698483.607941 	2.828761e+00 	1.161277e+01 	1.561773e+00 	2.467625e-04 	2.511446e-04 	2.513469e-04 	7.872730e+06 
29 	342357967.043695 	2.819829e+00 	1.159703e+01 	1.546020e+00 	2.486545e-04 	2.530927e-04 	2.532981e-04 	7.659483e+06 
30 	349811000.874893 	2.810987e+00 	1.158144e+01 	1.530428e+00 	2.505465e-04 	2.550410e-04 	2.552496e-04 	7.453034e+06 
31 	357064137.143271 	2.802234e+00 	1.156602e+01 	1.514993e+00 	2.524381e-04 	2.569894e-04 	2.572010e-04 	7.253136e+06 
32 	364123693.020150 	2.793571e+00 	1.155075e+01 	1.499716e+00 	2.543294e-04 	2.589377e-04 	2.591525e-04 	7.059556e+06 
33 	370995760.065450 	2.784995e+00 	1.153563e+01 	1.484593e+00 	2.562202e-04 	2.608857e-04 	2.611036e-04 	6.872067e+06 
34 	377686213.092231 	2.776506e+00 	1.152067e+01 	1.469624e+00 	2.581103e-04 	2.628333e-04 	2.630544e-04 	6.690453e+06 
35 	384200718.654729 	2.768103e+00 	1.150586e+01 	1.454807e+00 	2.599996e-04 	2.647803e-04 	2.650047e-04 	6.514506e+06 
36 	390544743.176868 	2.759786e+00 	1.149120e+01 	1.440141e+00 	2.618879e-04 	2.667267e-04 	2.669543e-04 	6.344025e+06 
37 	396723560.737672 	2.751553e+00 	1.147669e+01 	1.425623e+00 	2.637752e-04 	2.686722e-04 	2.689030e-04 	6.178818e+06 
38 	402742260.528871 	2.743403e+00 	1.146233e+01 	1.411252e+00 	2.656612e-04 	2.706167e-04 	2.708508e-04 	6.018700e+06 
39 	408605753.999595 	2.735336e+00 	1.144811e+01 	1.397027e+00 	2.675458e-04 	2.725601e-04 	2.727975e-04 	5.863493e+06 
40 	414318781.702093 	2.727351e+00 	1.143404e+01 	1.382947e+00 	2.694290e-04 	2.745023e-04 	2.747430e-04 	5.713028e+06 
41 	419885919.851926 	2.719446e+00 	1.142011e+01 	1.369009e+00 	2.713105e-04 	2.764430e-04 	2.766871e-04 	5.567138e+06 
42 	425311586.615269 	2.711622e+00 	1.140632e+01 	1.355212e+00 	2.731902e-04 	2.783822e-04 	2.786296e-04 	5.425667e+06 
43 	430600048.135635 	2.703877e+00 	1.139267e+01 	1.341556e+00 	2.750681e-04 	2.803197e-04 	2.805705e-04 	5.288462e+06 
44 	435755424.311382 	2.696211e+00 	1.137916e+01 	1.328038e+00 	2.769439e-04 	2.822554e-04 	2.825095e-04 	5.155376e+06 
45 	440781694.335142 	2.688622e+00 	1.136579e+01 	1.314656e+00 	2.788175e-04 	2.841891e-04 	2.844466e-04 	5.026270e+06 
46 	445682702.005690 	2.681110e+00 	1.135255e+01 	1.301411e+00 	2.806888e-04 	2.861207e-04 	2.863817e-04 	4.901008e+06 
47 	450462160.822195 	2.673675e+00 	1.133944e+01 	1.288300e+00 	2.825577e-04 	2.880501e-04 	2.883145e-04 	4.779459e+06 
48 	455123658.870441 	2.666314e+00 	1.132647e+01 	1.275322e+00 	2.844241e-04 	2.899771e-04 	2.902450e-04 	4.661498e+06 
49 	459670663.510120 	2.659028e+00 	1.131363e+01 	1.262475e+00 	2.862878e-04 	2.919016e-04 	2.921730e-04 	4.547005e+06 
50 	464106525.871867 	2.651816e+00 	1.130092e+01 	1.249758e+00 	2.881486e-04 	2.938235e-04 	2.940984e-04 	4.435862e+06 
51 	468434485.172301 	2.644678e+00 	1.128834e+01 	1.237170e+00 	2.900066e-04 	2.957427e-04 	2.960211e-04 	4.327959e+06 
52 	472657672.855006 	2.637611e+00 	1.127589e+01 	1.224710e+00 	2.918615e-04 	2.976590e-04 	2.979409e-04 	4.223188e+06 
53 	476779116.564937 	2.630616e+00 	1.126356e+01 	1.212376e+00 	2.937132e-04 	2.995722e-04 	2.998577e-04 	4.121444e+06 
54 	480801743.963472 	2.623692e+00 	1.125136e+01 	1.200167e+00 	2.955617e-04 	3.014824e-04 	3.017714e-04 	4.022627e+06 
55 	484728386.390955 	2.616838e+00 	1.123928e+01 	1.188082e+00 	2.974067e-04 	3.033893e-04 	3.036819e-04 	3.926642e+06 
56 	488561782.383262 	2.610053e+00 	1.122733e+01 	1.176119e+00 	2.992483e-04 	3.052928e-04 	3.055890e-04 	3.833396e+06 
57 	492304581.048651 	2.603337e+00 	1.121549e+01 	1.164277e+00 	3.010862e-04 	3.071928e-04 	3.074926e-04 	3.742799e+06 
58 	495959345.310838 	2.596689e+00 	1.120378e+01 	1.152555e+00 	3.029203e-04 	3.090892e-04 	3.093926e-04 	3.654764e+06 
59 	499528555.024020 	2.590108e+00 	1.119218e+01 	1.140951e+00 	3.047506e-04 	3.109819e-04 	3.112889e-04 	3.569210e+06 
60 	503014609.965236 	2.583594e+00 	1.118071e+01 	1.129466e+00 	3.065770e-04 	3.128708e-04 	3.131814e-04 	3.486055e+06 
61 	506419832.709306 	2.577146e+00 	1.116934e+01 	1.118096e+00 	3.083992e-04 	3.147556e-04 	3.150699e-04 	3.405223e+06 
62 	509746471.391239 	2.570763e+00 	1.115810e+01 	1.106841e+00 	3.102173e-04 	3.166364e-04 	3.169544e-04 	3.326639e+06 
63 	512996702.360903 	2.564445e+00 	1.114696e+01 	1.095701e+00 	3.120311e-04 	3.185130e-04 	3.188347e-04 	3.250231e+06 
64 	516172632.734445 	2.558191e+00 	1.113594e+01 	1.084673e+00 	3.138405e-04 	3.203854e-04 	3.207107e-04 	3.175930e+06 
65 	519276302.846774 	2.552000e+00 	1.112503e+01 	1.073757e+00 	3.156454e-04 	3.222533e-04 	3.225824e-04 	3.103670e+06 
66 	522309688.609268 	2.545871e+00 	1.111423e+01 	1.062951e+00 	3.174457e-04 	3.241167e-04 	3.244495e-04 	3.033386e+06 
67 	525274703.776598 	2.539805e+00 	1.110354e+01 	1.052254e+00 	3.192413e-04 	3.259755e-04 	3.263120e-04 	2.965015e+06 
68 	528173202.126490 	2.533800e+00 	1.109296e+01 	1.041666e+00 	3.210321e-04 	3.278296e-04 	3.281698e-04 	2.898498e+06 
69 	531006979.555977 	2.527856e+00 	1.108249e+01 	1.031185e+00 	3.228180e-04 	3.296788e-04 	3.300228e-04 	2.833777e+06 
70 	533777776.097629 	2.521972e+00 	1.107212e+01 	1.020809e+00 	3.245990e-04 	3.315232e-04 	3.318709e-04 	2.770797e+06 
71 	536487277.859016 	2.516147e+00 	1.106186e+01 	1.010539e+00 	3.263748e-04 	3.333625e-04 	3.337140e-04 	2.709502e+06 
72 	539137118.888592 	2.510381e+00 	1.105170e+01 	1.000373e+00 	3.281455e-04 	3.351967e-04 	3.355520e-04 	2.649841e+06 
73 	541728882.970948 	2.504674e+00 	1.104164e+01 	9.903089e-01 	3.299110e-04 	3.370256e-04 	3.373848e-04 	2.591764e+06 
74 	544264105.354392 	2.499024e+00 	1.103169e+01 	9.803470e-01 	3.316711e-04 	3.388493e-04 	3.392122e-04 	2.535222e+06 
75 	546744274.413538 	2.493432e+00 	1.102183e+01 	9.704858e-01 	3.334257e-04 	3.406676e-04 	3.410343e-04 	2.480169e+06 
76 	549170833.249584 	2.487896e+00 	1.101208e+01 	9.607243e-01 	3.351749e-04 	3.424804e-04 	3.428509e-04 	2.426559e+06 
77 	551545181.230775 	2.482416e+00 	1.100242e+01 	9.510614e-01 	3.369184e-04 	3.442876e-04 	3.446619e-04 	2.374348e+06 
78 	553868675.475475 	2.476991e+00 	1.099286e+01 	9.414962e-01 	3.386563e-04 	3.460892e-04 	3.464673e-04 	2.323494e+06 
79 	556142632.280155 	2.471622e+00 	1.098340e+01 	9.320277e-01 	3.403883e-04 	3.478850e-04 	3.482669e-04 	2.273957e+06 
80 	558368328.494489 	2.466306e+00 	1.097403e+01 	9.226549e-01 	3.421146e-04 	3.496749e-04 	3.500607e-04 	2.225696e+06 
81 	560547002.845708 	2.461045e+00 	1.096476e+01 	9.133768e-01 	3.438349e-04 	3.514590e-04 	3.518486e-04 	2.178674e+06 
82 	562679857.214182 	2.455836e+00 	1.095559e+01 	9.041924e-01 	3.455492e-04 	3.532370e-04 	3.536305e-04 	2.132854e+06 
83 	564768057.862232 	2.450680e+00 	1.094650e+01 	8.951008e-01 	3.472575e-04 	3.550090e-04 	3.554063e-04 	2.088201e+06 
84 	566812736.617962 	2.445577e+00 	1.093751e+01 	8.861010e-01 	3.489596e-04 	3.567748e-04 	3.571760e-04 	2.044679e+06 
