i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	2.737372 	2.271720 	4.990908 	0.001045 	0.001102 	0.001107 	0 
1 	820060.574817 	2.734618e+00 	2.248787e+00 	4.968009e+00 	1.060538e-03 	1.119309e-03 	1.124891e-03 	8.200596e+05 
2 	1613502.728127 	2.732190e+00 	2.226046e+00 	4.945302e+00 	1.076638e-03 	1.137077e-03 	1.142861e-03 	7.934422e+05 
3 	2381548.095937 	2.730070e+00 	2.203540e+00 	4.922829e+00 	1.092808e-03 	1.154950e-03 	1.160942e-03 	7.680454e+05 
4 	3125375.137931 	2.728257e+00 	2.181266e+00 	4.900590e+00 	1.109042e-03 	1.172921e-03 	1.179128e-03 	7.438270e+05 
5 	3846099.995987 	2.726755e+00 	2.159224e+00 	4.878581e+00 	1.125333e-03 	1.190985e-03 	1.197412e-03 	7.207249e+05 
6 	4544779.436292 	2.725563e+00 	2.137409e+00 	4.856800e+00 	1.141676e-03 	1.209135e-03 	1.215790e-03 	6.986794e+05 
7 	5222413.840834 	2.724685e+00 	2.115819e+00 	4.835244e+00 	1.158063e-03 	1.227365e-03 	1.234253e-03 	6.776344e+05 
8 	5879950.007898 	2.724122e+00 	2.094453e+00 	4.813911e+00 	1.174489e-03 	1.245669e-03 	1.252797e-03 	6.575362e+05 
9 	6518283.770490 	2.723875e+00 	2.073307e+00 	4.792800e+00 	1.190945e-03 	1.264039e-03 	1.271414e-03 	6.383338e+05 
10 	7138262.443895 	2.723945e+00 	2.052379e+00 	4.771906e+00 	1.207426e-03 	1.282468e-03 	1.290097e-03 	6.199787e+05 
11 	7740687.113176 	2.724333e+00 	2.031668e+00 	4.751228e+00 	1.223924e-03 	1.300951e-03 	1.308840e-03 	6.024247e+05 
12 	8326314.771088 	2.725041e+00 	2.011170e+00 	4.730763e+00 	1.240432e-03 	1.319478e-03 	1.327635e-03 	5.856277e+05 
13 	8895860.316600 	2.726068e+00 	1.990882e+00 	4.710510e+00 	1.256944e-03 	1.338044e-03 	1.346476e-03 	5.695455e+05 
14 	9449998.424052 	2.727416e+00 	1.970804e+00 	4.690465e+00 	1.273451e-03 	1.356641e-03 	1.365355e-03 	5.541381e+05 
15 	9989365.292864 	2.729085e+00 	1.950932e+00 	4.670626e+00 	1.289947e-03 	1.375262e-03 	1.384265e-03 	5.393669e+05 
16 	10514560.287655 	2.731074e+00 	1.931264e+00 	4.650992e+00 	1.306424e-03 	1.393899e-03 	1.403199e-03 	5.251950e+05 
17 	11026147.478680 	2.733382e+00 	1.911797e+00 	4.631559e+00 	1.322876e-03 	1.412546e-03 	1.422149e-03 	5.115872e+05 
18 	11524657.092552 	2.736009e+00 	1.892531e+00 	4.612325e+00 	1.339295e-03 	1.431195e-03 	1.441110e-03 	4.985096e+05 
19 	12010586.883345 	2.738954e+00 	1.873461e+00 	4.593289e+00 	1.355675e-03 	1.449839e-03 	1.460073e-03 	4.859298e+05 
20 	12484403.434312 	2.742214e+00 	1.854586e+00 	4.574447e+00 	1.372009e-03 	1.468471e-03 	1.479033e-03 	4.738166e+05 
21 	12946543.400603 	2.745787e+00 	1.835904e+00 	4.555798e+00 	1.388291e-03 	1.487085e-03 	1.497982e-03 	4.621400e+05 
22 	13397414.703499 	2.749670e+00 	1.817412e+00 	4.537339e+00 	1.404514e-03 	1.505675e-03 	1.516915e-03 	4.508713e+05 
23 	13837397.686760 	2.753859e+00 	1.799109e+00 	4.519068e+00 	1.420673e-03 	1.524234e-03 	1.535825e-03 	4.399830e+05 
24 	14266846.245692 	2.758350e+00 	1.780992e+00 	4.500984e+00 	1.436762e-03 	1.542757e-03 	1.554707e-03 	4.294486e+05 
