i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.735621 	6.172732 	2.091647 	0.001030 	0.001077 	0.001081 	0 
1 	310484.376137 	1.724154e+00 	6.151463e+00 	2.070361e+00 	1.046821e-03 	1.096024e-03 	1.099783e-03 	3.104834e+05 
2 	606232.127685 	1.712798e+00 	6.130377e+00 	2.049259e+00 	1.064222e-03 	1.114823e-03 	1.118709e-03 	2.957478e+05 
3 	887978.473123 	1.701566e+00 	6.109508e+00 	2.028373e+00 	1.081824e-03 	1.133857e-03 	1.137874e-03 	2.817463e+05 
4 	1156440.496653 	1.690458e+00 	6.088854e+00 	2.007703e+00 	1.099628e-03 	1.153127e-03 	1.157278e-03 	2.684620e+05 
5 	1412296.470470 	1.679473e+00 	6.068413e+00 	1.987245e+00 	1.117634e-03 	1.172632e-03 	1.176922e-03 	2.558560e+05 
6 	1656187.856270 	1.668610e+00 	6.048183e+00 	1.966997e+00 	1.135842e-03 	1.192376e-03 	1.196808e-03 	2.438914e+05 
7 	1888721.402149 	1.657866e+00 	6.028162e+00 	1.946958e+00 	1.154252e-03 	1.212357e-03 	1.216936e-03 	2.325335e+05 
8 	2110471.116968 	1.647242e+00 	6.008346e+00 	1.927125e+00 	1.172865e-03 	1.232577e-03 	1.237306e-03 	2.217497e+05 
9 	2321980.127707 	1.636735e+00 	5.988736e+00 	1.907496e+00 	1.191681e-03 	1.253037e-03 	1.257921e-03 	2.115090e+05 
10 	2523762.426950 	1.626345e+00 	5.969327e+00 	1.888069e+00 	1.210700e-03 	1.273737e-03 	1.278781e-03 	2.017823e+05 
11 	2716304.517256 	1.616070e+00 	5.950118e+00 	1.868841e+00 	1.229922e-03 	1.294679e-03 	1.299886e-03 	1.925421e+05 
12 	2900066.958710 	1.605909e+00 	5.931108e+00 	1.849812e+00 	1.249347e-03 	1.315862e-03 	1.321237e-03 	1.837624e+05 
13 	3075485.825561 	1.595862e+00 	5.912293e+00 	1.830978e+00 	1.268976e-03 	1.337287e-03 	1.342835e-03 	1.754189e+05 
14 	3242974.077495 	1.585926e+00 	5.893673e+00 	1.812337e+00 	1.288807e-03 	1.358956e-03 	1.364681e-03 	1.674883e+05 
15 	3402922.850714 	1.576101e+00 	5.875244e+00 	1.793889e+00 	1.308841e-03 	1.380868e-03 	1.386775e-03 	1.599488e+05 
16 	3555702.673705 	1.566385e+00 	5.857005e+00 	1.775630e+00 	1.329078e-03 	1.403024e-03 	1.409118e-03 	1.527798e+05 
17 	3701664.612239 	1.556778e+00 	5.838954e+00 	1.757558e+00 	1.349518e-03 	1.425424e-03 	1.431710e-03 	1.459619e+05 
18 	3841141.347889 	1.547279e+00 	5.821089e+00 	1.739673e+00 	1.370160e-03 	1.448069e-03 	1.454552e-03 	1.394767e+05 
19 	3974448.194065 	1.537885e+00 	5.803408e+00 	1.721971e+00 	1.391004e-03 	1.470959e-03 	1.477644e-03 	1.333068e+05 
20 	4101884.053327 	1.528597e+00 	5.785909e+00 	1.704451e+00 	1.412049e-03 	1.494094e-03 	1.500987e-03 	1.274359e+05 
