i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	6.037800 	1.701279 	2.260921 	0.001186 	0.001504 	0.001571 	0 
1 	387494.061610 	6.028790e+00 	1.696652e+00 	2.282352e+00 	1.181296e-03 	1.491926e-03 	1.557344e-03 	3.874931e+05 
2 	858042.394851 	6.017982e+00 	1.688986e+00 	2.303222e+00 	1.178831e-03 	1.484279e-03 	1.548285e-03 	4.705483e+05 
3 	1417980.518455 	6.005173e+00 	1.678352e+00 	2.324609e+00 	1.178221e-03 	1.479591e-03 	1.542503e-03 	5.599381e+05 
4 	2077903.470011 	5.990104e+00 	1.664201e+00 	2.346355e+00 	1.179870e-03 	1.478464e-03 	1.540654e-03 	6.599230e+05 
5 	2816477.797025 	5.973195e+00 	1.646870e+00 	2.367915e+00 	1.183733e-03 	1.480864e-03 	1.542705e-03 	7.385743e+05 
6 	3492442.625282 	5.957633e+00 	1.629906e+00 	2.385896e+00 	1.188649e-03 	1.485509e-03 	1.547328e-03 	6.759648e+05 
7 	4127616.168433 	5.942878e+00 	1.613256e+00 	2.402038e+00 	1.194026e-03 	1.491169e-03 	1.553118e-03 	6.351735e+05 
8 	4731614.100211 	5.928715e+00 	1.596841e+00 	2.416902e+00 	1.199720e-03 	1.497522e-03 	1.559706e-03 	6.039979e+05 
9 	5310280.856867 	5.915007e+00 	1.580636e+00 	2.430893e+00 	1.205601e-03 	1.504298e-03 	1.566782e-03 	5.786668e+05 
10 	5867290.259563 	5.901672e+00 	1.564625e+00 	2.444245e+00 	1.211599e-03 	1.511350e-03 	1.574180e-03 	5.570094e+05 
11 	6405185.644306 	5.888656e+00 	1.548796e+00 	2.457112e+00 	1.217666e-03 	1.518577e-03 	1.581784e-03 	5.378954e+05 
12 	6925816.279124 	5.875922e+00 	1.533142e+00 	2.469600e+00 	1.223768e-03 	1.525912e-03 	1.589516e-03 	5.206306e+05 
13 	7430594.012252 	5.863441e+00 	1.517656e+00 	2.481783e+00 	1.229883e-03 	1.533306e-03 	1.597323e-03 	5.047777e+05 
14 	7920639.135846 	5.851194e+00 	1.502336e+00 	2.493714e+00 	1.235993e-03 	1.540726e-03 	1.605166e-03 	4.900451e+05 
15 	8396870.920193 	5.839166e+00 	1.487177e+00 	2.505431e+00 	1.242087e-03 	1.548148e-03 	1.613016e-03 	4.762318e+05 
16 	8860065.367645 	5.827344e+00 	1.472176e+00 	2.516961e+00 	1.248157e-03 	1.555553e-03 	1.620854e-03 	4.631944e+05 
17 	9310893.409500 	5.815718e+00 	1.457331e+00 	2.528327e+00 	1.254195e-03 	1.562928e-03 	1.628664e-03 	4.508280e+05 
18 	9749946.815531 	5.804281e+00 	1.442641e+00 	2.539545e+00 	1.260196e-03 	1.570263e-03 	1.636434e-03 	4.390534e+05 
19 	10177756.177501 	5.793025e+00 	1.428101e+00 	2.550625e+00 	1.266157e-03 	1.577551e-03 	1.644157e-03 	4.278094e+05 
20 	10594803.642638 	5.781945e+00 	1.413712e+00 	2.561579e+00 	1.272076e-03 	1.584787e-03 	1.651826e-03 	4.170475e+05 
21 	11001532.097424 	5.771036e+00 	1.399470e+00 	2.572413e+00 	1.277949e-03 	1.591965e-03 	1.659435e-03 	4.067285e+05 
22 	11398351.908047 	5.760292e+00 	1.385374e+00 	2.583133e+00 	1.283777e-03 	1.599084e-03 	1.666983e-03 	3.968198e+05 
23 	11785645.952975 	5.749710e+00 	1.371423e+00 	2.593744e+00 	1.289557e-03 	1.606141e-03 	1.674465e-03 	3.872940e+05 
24 	12163773.445234 	5.739286e+00 	1.357614e+00 	2.604251e+00 	1.295289e-03 	1.613133e-03 	1.681881e-03 	3.781275e+05 
25 	12533072.886085 	5.729016e+00 	1.343947e+00 	2.614655e+00 	1.300972e-03 	1.620061e-03 	1.689227e-03 	3.692994e+05 
