i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.863879 	7.943358 	7.513271 	0.000194 	0.000196 	0.000196 	0 
1 	13189957.096897 	1.844935e+00 	7.909182e+00 	7.479101e+00 	1.968466e-04 	1.992735e-04 	1.993718e-04 	1.318996e+07 
2 	25770646.669517 	1.826142e+00 	7.875236e+00 	7.445160e+00 	1.998574e-04 	2.023433e-04 	2.024445e-04 	1.258069e+07 
3 	37771128.382607 	1.807542e+00 	7.841591e+00 	7.411520e+00 	2.029015e-04 	2.054476e-04 	2.055517e-04 	1.200048e+07 
4 	49220231.106757 	1.789133e+00 	7.808243e+00 	7.378178e+00 	2.059789e-04 	2.085864e-04 	2.086935e-04 	1.144910e+07 
5 	60145276.878334 	1.770912e+00 	7.775191e+00 	7.345131e+00 	2.090898e-04 	2.117600e-04 	2.118701e-04 	1.092505e+07 
6 	70572148.596147 	1.752880e+00 	7.742430e+00 	7.312376e+00 	2.122344e-04 	2.149684e-04 	2.150817e-04 	1.042687e+07 
7 	80525369.621535 	1.735032e+00 	7.709958e+00 	7.279909e+00 	2.154128e-04 	2.182119e-04 	2.183284e-04 	9.953221e+06 
8 	90028178.963732 	1.717367e+00 	7.677772e+00 	7.247728e+00 	2.186252e-04 	2.214906e-04 	2.216104e-04 	9.502809e+06 
9 	99102602.122292 	1.699884e+00 	7.645868e+00 	7.215829e+00 	2.218717e-04 	2.248047e-04 	2.249279e-04 	9.074423e+06 
10 	107769517.844947 	1.682581e+00 	7.614243e+00 	7.184209e+00 	2.251523e-04 	2.281543e-04 	2.282810e-04 	8.666916e+06 
11 	116048721.045696 	1.665455e+00 	7.582894e+00 	7.152866e+00 	2.284674e-04 	2.315396e-04 	2.316698e-04 	8.279203e+06 
12 	123958982.112557 	1.648505e+00 	7.551818e+00 	7.121796e+00 	2.318170e-04 	2.349607e-04 	2.350945e-04 	7.910261e+06 
13 	131518102.820485 	1.631729e+00 	7.521013e+00 	7.090996e+00 	2.352011e-04 	2.384178e-04 	2.385553e-04 	7.559121e+06 
14 	138742969.051495 	1.615126e+00 	7.490475e+00 	7.060463e+00 	2.386201e-04 	2.419111e-04 	2.420524e-04 	7.224866e+06 
15 	145649600.511558 	1.598692e+00 	7.460202e+00 	7.030195e+00 	2.420740e-04 	2.454406e-04 	2.455858e-04 	6.906631e+06 
16 	152253197.622331 	1.582428e+00 	7.430190e+00 	7.000188e+00 	2.455628e-04 	2.490066e-04 	2.491557e-04 	6.603597e+06 
17 	158568185.754737 	1.566330e+00 	7.400437e+00 	6.970440e+00 	2.490869e-04 	2.526091e-04 	2.527623e-04 	6.314988e+06 
18 	164608256.961216 	1.550397e+00 	7.370940e+00 	6.940948e+00 	2.526462e-04 	2.562484e-04 	2.564057e-04 	6.040071e+06 
19 	170386409.353875 	1.534628e+00 	7.341696e+00 	6.911709e+00 	2.562409e-04 	2.599245e-04 	2.600860e-04 	5.778152e+06 
20 	175914984.266843 	1.519021e+00 	7.312703e+00 	6.882721e+00 	2.598710e-04 	2.636375e-04 	2.638035e-04 	5.528575e+06 
21 	181205701.332657 	1.503573e+00 	7.283957e+00 	6.853981e+00 	2.635368e-04 	2.673877e-04 	2.675581e-04 	5.290717e+06 
22 	186269691.594606 	1.488284e+00 	7.255457e+00 	6.825485e+00 	2.672384e-04 	2.711752e-04 	2.713500e-04 	5.063990e+06 
23 	191117528.769693 	1.473152e+00 	7.227199e+00 	6.797232e+00 	2.709758e-04 	2.750000e-04 	2.751795e-04 	4.847837e+06 
24 	195759258.769768 	1.458175e+00 	7.199181e+00 	6.769219e+00 	2.747491e-04 	2.788623e-04 	2.790465e-04 	4.641730e+06 
25 	200204427.582042 	1.443352e+00 	7.171400e+00 	6.741444e+00 	2.785585e-04 	2.827622e-04 	2.829513e-04 	4.445169e+06 
