i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	4.736447 	0.182913 	5.080640 	0.001092 	0.001198 	0.001214 	0 
1 	377750.816590 	4.735383e+00 	1.810883e-01 	5.078893e+00 	1.093293e-03 	1.200042e-03 	1.216186e-03 	3.777498e+05 
2 	753299.777701 	4.734313e+00 	1.792812e-01 	5.077164e+00 	1.094928e-03 	1.201971e-03 	1.218176e-03 	3.755490e+05 
3 	1126677.567783 	4.733239e+00 	1.774922e-01 	5.075454e+00 	1.096555e-03 	1.203891e-03 	1.220157e-03 	3.733778e+05 
4 	1497914.182088 	4.732159e+00 	1.757211e-01 	5.073762e+00 	1.098173e-03 	1.205801e-03 	1.222127e-03 	3.712366e+05 
5 	1867039.099139 	4.731075e+00 	1.739677e-01 	5.072088e+00 	1.099783e-03 	1.207701e-03 	1.224087e-03 	3.691249e+05 
6 	2234081.289381 	4.729986e+00 	1.722318e-01 	5.070431e+00 	1.101385e-03 	1.209592e-03 	1.226038e-03 	3.670422e+05 
7 	2599069.225393 	4.728893e+00 	1.705133e-01 	5.068793e+00 	1.102978e-03 	1.211472e-03 	1.227978e-03 	3.649879e+05 
8 	2962030.891877 	4.727795e+00 	1.688120e-01 	5.067172e+00 	1.104564e-03 	1.213344e-03 	1.229908e-03 	3.629617e+05 
9 	3322993.795414 	4.726692e+00 	1.671277e-01 	5.065568e+00 	1.106141e-03 	1.215205e-03 	1.231829e-03 	3.609629e+05 
10 	3681984.974002 	4.725586e+00 	1.654603e-01 	5.063981e+00 	1.107711e-03 	1.217057e-03 	1.233739e-03 	3.589912e+05 
11 	4039031.006378 	4.724475e+00 	1.638095e-01 	5.062412e+00 	1.109272e-03 	1.218900e-03 	1.235640e-03 	3.570460e+05 
12 	4394158.021130 	4.723359e+00 	1.621752e-01 	5.060859e+00 	1.110826e-03 	1.220733e-03 	1.237531e-03 	3.551270e+05 
13 	4747391.705597 	4.722240e+00 	1.605573e-01 	5.059323e+00 	1.112372e-03 	1.222556e-03 	1.239413e-03 	3.532337e+05 
14 	5098757.314581 	4.721116e+00 	1.589555e-01 	5.057803e+00 	1.113910e-03 	1.224370e-03 	1.241284e-03 	3.513656e+05 
15 	5448279.678852 	4.719989e+00 	1.573698e-01 	5.056300e+00 	1.115440e-03 	1.226175e-03 	1.243146e-03 	3.495224e+05 
16 	5795983.213472 	4.718858e+00 	1.557999e-01 	5.054813e+00 	1.116962e-03 	1.227971e-03 	1.244999e-03 	3.477035e+05 
17 	6141891.925924 	4.717722e+00 	1.542456e-01 	5.053342e+00 	1.118477e-03 	1.229757e-03 	1.246842e-03 	3.459087e+05 
18 	6486029.424068 	4.716583e+00 	1.527070e-01 	5.051886e+00 	1.119984e-03 	1.231535e-03 	1.248676e-03 	3.441375e+05 
19 	6828418.923916 	4.715440e+00 	1.511837e-01 	5.050446e+00 	1.121484e-03 	1.233303e-03 	1.250500e-03 	3.423895e+05 
20 	7169083.257234 	4.714294e+00 	1.496756e-01 	5.049022e+00 	1.122976e-03 	1.235062e-03 	1.252315e-03 	3.406643e+05 
21 	7508044.878979 	4.713144e+00 	1.481826e-01 	5.047613e+00 	1.124460e-03 	1.236812e-03 	1.254120e-03 	3.389616e+05 
22 	7845325.874568 	4.711990e+00 	1.467046e-01 	5.046220e+00 	1.125937e-03 	1.238553e-03 	1.255917e-03 	3.372810e+05 
23 	8180947.966992 	4.710833e+00 	1.452413e-01 	5.044841e+00 	1.127406e-03 	1.240285e-03 	1.257704e-03 	3.356221e+05 
24 	8514932.523769 	4.709672e+00 	1.437926e-01 	5.043477e+00 	1.128869e-03 	1.242008e-03 	1.259482e-03 	3.339846e+05 
25 	8847300.563744 	4.708508e+00 	1.423584e-01 	5.042128e+00 	1.130323e-03 	1.243723e-03 	1.261250e-03 	3.323680e+05 
26 	9178072.763747 	4.707341e+00 	1.409385e-01 	5.040794e+00 	1.131771e-03 	1.245429e-03 	1.263010e-03 	3.307722e+05 
27 	9507269.465099 	4.706170e+00 	1.395328e-01 	5.039474e+00 	1.133211e-03 	1.247126e-03 	1.264761e-03 	3.291967e+05 
28 	9834910.679980 	4.704996e+00 	1.381412e-01 	5.038168e+00 	1.134644e-03 	1.248814e-03 	1.266503e-03 	3.276412e+05 
29 	10161016.097656 	4.703819e+00 	1.367635e-01 	5.036877e+00 	1.136070e-03 	1.250494e-03 	1.268235e-03 	3.261054e+05 
30 	10485605.090574 	4.702639e+00 	1.353995e-01 	5.035599e+00 	1.137489e-03 	1.252165e-03 	1.269960e-03 	3.245890e+05 
31 	10808696.720325 	4.701456e+00 	1.340492e-01 	5.034335e+00 	1.138900e-03 	1.253827e-03 	1.271675e-03 	3.230916e+05 
32 	11130309.743477 	4.700270e+00 	1.327124e-01 	5.033085e+00 	1.140305e-03 	1.255482e-03 	1.273381e-03 	3.216130e+05 
33 	11450462.617281 	4.699081e+00 	1.313889e-01 	5.031849e+00 	1.141703e-03 	1.257127e-03 	1.275079e-03 	3.201529e+05 
34 	11769173.505262 	4.697889e+00 	1.300786e-01 	5.030626e+00 	1.143094e-03 	1.258765e-03 	1.276768e-03 	3.187109e+05 
35 	12086460.282680 	4.696694e+00 	1.287814e-01 	5.029417e+00 	1.144477e-03 	1.260394e-03 	1.278449e-03 	3.172868e+05 
36 	12402340.541884 	4.695496e+00 	1.274972e-01 	5.028220e+00 	1.145854e-03 	1.262015e-03 	1.280121e-03 	3.158803e+05 
37 	12716831.597546 	4.694295e+00 	1.262258e-01 	5.027037e+00 	1.147225e-03 	1.263627e-03 	1.281784e-03 	3.144911e+05 
38 	13029950.491784 	4.693092e+00 	1.249671e-01 	5.025866e+00 	1.148588e-03 	1.265232e-03 	1.283439e-03 	3.131189e+05 
