i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.944054 	2.768331 	5.287615 	0.001032 	0.001078 	0.001082 	0 
1 	460408.193012 	1.929393e+00 	2.740035e+00 	5.259348e+00 	1.054909e-03 	1.102383e-03 	1.106354e-03 	4.604072e+05 
2 	894105.467531 	1.914878e+00 	2.711951e+00 	5.231293e+00 	1.078209e-03 	1.127429e-03 	1.131580e-03 	4.336973e+05 
3 	1302665.341602 	1.900538e+00 	2.684157e+00 	5.203528e+00 	1.101944e-03 	1.152967e-03 	1.157305e-03 	4.085599e+05 
4 	1687626.924895 	1.886374e+00 	2.656651e+00 	5.176051e+00 	1.126116e-03 	1.179003e-03 	1.183536e-03 	3.849616e+05 
5 	2050432.200042 	1.872383e+00 	2.629430e+00 	5.148859e+00 	1.150732e-03 	1.205544e-03 	1.210281e-03 	3.628053e+05 
6 	2392431.373775 	1.858563e+00 	2.602490e+00 	5.121949e+00 	1.175798e-03 	1.232598e-03 	1.237546e-03 	3.419992e+05 
7 	2714888.894270 	1.844914e+00 	2.575829e+00 	5.095318e+00 	1.201318e-03 	1.260172e-03 	1.265340e-03 	3.224575e+05 
8 	3018989.078621 	1.831434e+00 	2.549445e+00 	5.068963e+00 	1.227297e-03 	1.288273e-03 	1.293671e-03 	3.041002e+05 
9 	3305841.361328 	1.818122e+00 	2.523333e+00 	5.042881e+00 	1.253743e-03 	1.316908e-03 	1.322545e-03 	2.868523e+05 
10 	3576485.189661 	1.804975e+00 	2.497492e+00 	5.017070e+00 	1.280658e-03 	1.346085e-03 	1.351970e-03 	2.706438e+05 
11 	3831894.590182 	1.791993e+00 	2.471919e+00 	4.991526e+00 	1.308050e-03 	1.375811e-03 	1.381955e-03 	2.554094e+05 
12 	4072982.429035 	1.779174e+00 	2.446610e+00 	4.966247e+00 	1.335924e-03 	1.406093e-03 	1.412506e-03 	2.410878e+05 
13 	4300604.387003 	1.766517e+00 	2.421563e+00 	4.941230e+00 	1.364283e-03 	1.436938e-03 	1.443631e-03 	2.276220e+05 
14 	4515562.668867 	1.754020e+00 	2.396776e+00 	4.916473e+00 	1.393135e-03 	1.468354e-03 	1.475339e-03 	2.149583e+05 
15 	4718609.465268 	1.741682e+00 	2.372245e+00 	4.891972e+00 	1.422483e-03 	1.500347e-03 	1.507636e-03 	2.030468e+05 
16 	4910450.183955 	1.729502e+00 	2.347968e+00 	4.867725e+00 	1.452334e-03 	1.532927e-03 	1.540530e-03 	1.918407e+05 
17 	5091746.466158 	1.717478e+00 	2.323942e+00 	4.843729e+00 	1.482692e-03 	1.566098e-03 	1.574030e-03 	1.812963e+05 
18 	5263119.002730 	1.705610e+00 	2.300165e+00 	4.819983e+00 	1.513561e-03 	1.599870e-03 	1.608142e-03 	1.713725e+05 
19 	5425150.163665 	1.693895e+00 	2.276635e+00 	4.796482e+00 	1.544948e-03 	1.634248e-03 	1.642874e-03 	1.620312e+05 
20 	5578386.453663 	1.682333e+00 	2.253347e+00 	4.773225e+00 	1.576857e-03 	1.669241e-03 	1.678235e-03 	1.532363e+05 
21 	5723340.805598 	1.670922e+00 	2.230301e+00 	4.750210e+00 	1.609293e-03 	1.704854e-03 	1.714232e-03 	1.449544e+05 
22 	5860494.722622 	1.659661e+00 	2.207493e+00 	4.727432e+00 	1.642260e-03 	1.741097e-03 	1.750871e-03 	1.371539e+05 
23 	5990300.279589 	1.648548e+00 	2.184922e+00 	4.704891e+00 	1.675764e-03 	1.777975e-03 	1.788162e-03 	1.298056e+05 
24 	6113181.992854 	1.637584e+00 	2.162583e+00 	4.682584e+00 	1.709808e-03 	1.815495e-03 	1.826112e-03 	1.228817e+05 
25 	6229538.567532 	1.626766e+00 	2.140476e+00 	4.660507e+00 	1.744397e-03 	1.853665e-03 	1.864727e-03 	1.163566e+05 
26 	6339744.530418 	1.616093e+00 	2.118598e+00 	4.638660e+00 	1.779536e-03 	1.892492e-03 	1.904016e-03 	1.102060e+05 
27 	6444151.756257 	1.605565e+00 	2.096946e+00 	4.617039e+00 	1.815229e-03 	1.931982e-03 	1.943986e-03 	1.044072e+05 
28 	6543090.894500 	1.595179e+00 	2.075519e+00 	4.595642e+00 	1.851480e-03 	1.972142e-03 	1.984644e-03 	9.893914e+04 
29 	6636872.703227 	1.584936e+00 	2.054313e+00 	4.574467e+00 	1.888294e-03 	2.012980e-03 	2.025998e-03 	9.378181e+04 
30 	6725789.296617 	1.574833e+00 	2.033326e+00 	4.553511e+00 	1.925673e-03 	2.054501e-03 	2.068056e-03 	8.891659e+04 
31 	6810115.310818 	1.564870e+00 	2.012556e+00 	4.532773e+00 	1.963622e-03 	2.096712e-03 	2.110823e-03 	8.432601e+04 
32 	6890108.995472 	1.555046e+00 	1.992002e+00 	4.512249e+00 	2.002146e-03 	2.139620e-03 	2.154309e-03 	7.999368e+04 
33 	6966013.234042 	1.545360e+00 	1.971660e+00 	4.491938e+00 	2.041246e-03 	2.183232e-03 	2.198518e-03 	7.590424e+04 
34 	7038056.498572 	1.535810e+00 	1.951528e+00 	4.471838e+00 	2.080928e-03 	2.227552e-03 	2.243459e-03 	7.204326e+04 
35 	7106453.743020 	1.526396e+00 	1.931605e+00 	4.451946e+00 	2.121193e-03 	2.272589e-03 	2.289139e-03 	6.839724e+04 
36 	7171407.239258 	1.517117e+00 	1.911888e+00 	4.432259e+00 	2.162046e-03 	2.318348e-03 	2.335564e-03 	6.495350e+04 
37 	7233107.359518 	1.507971e+00 	1.892374e+00 	4.412777e+00 	2.203490e-03 	2.364834e-03 	2.382741e-03 	6.170012e+04 
38 	7291733.308802 	1.498959e+00 	1.873063e+00 	4.393497e+00 	2.245526e-03 	2.412054e-03 	2.430677e-03 	5.862595e+04 
39 	7347453.810575 	1.490078e+00 	1.853951e+00 	4.374417e+00 	2.288159e-03 	2.460014e-03 	2.479378e-03 	5.572050e+04 
