i 	 t 	 J_r 	 J_theta 	 J_phi 	 Omega_r 	 Omega_theta 	 Omega_phi 	 dt 
------------
0 	1.000000 	1.140667 	8.490817 	7.689024 	0.000194 	0.000196 	0.000196 	0 
1 	8105888.837070 	1.129147e+00 	8.465954e+00 	7.664164e+00 	1.956603e-04 	1.978577e-04 	1.979423e-04 	8.105888e+06 
2 	15945928.121339 	1.117725e+00 	8.441228e+00 	7.639441e+00 	1.977502e-04 	1.999847e-04 	2.000710e-04 	7.840039e+06 
3 	23529504.764629 	1.106418e+00 	8.416681e+00 	7.614897e+00 	1.998534e-04 	2.021255e-04 	2.022136e-04 	7.583577e+06 
4 	30866063.920292 	1.095227e+00 	8.392309e+00 	7.590528e+00 	2.019699e-04 	2.042801e-04 	2.043700e-04 	7.336559e+06 
5 	37964672.753457 	1.084150e+00 	8.368112e+00 	7.566334e+00 	2.040997e-04 	2.064485e-04 	2.065401e-04 	7.098609e+06 
6 	44834032.787104 	1.073186e+00 	8.344088e+00 	7.542313e+00 	2.062428e-04 	2.086306e-04 	2.087241e-04 	6.869360e+06 
7 	51482495.789952 	1.062333e+00 	8.320234e+00 	7.518462e+00 	2.083992e-04 	2.108266e-04 	2.109219e-04 	6.648463e+06 
8 	57918078.965116 	1.051591e+00 	8.296550e+00 	7.494781e+00 	2.105688e-04 	2.130363e-04 	2.131334e-04 	6.435583e+06 
9 	64148479.435062 	1.040958e+00 	8.273033e+00 	7.471267e+00 	2.127518e-04 	2.152597e-04 	2.153588e-04 	6.230400e+06 
10 	70181088.057000 	1.030433e+00 	8.249682e+00 	7.447919e+00 	2.149480e-04 	2.174969e-04 	2.175979e-04 	6.032609e+06 
11 	76023002.601416 	1.020016e+00 	8.226495e+00 	7.424735e+00 	2.171575e-04 	2.197479e-04 	2.198509e-04 	5.841915e+06 
12 	81681040.324868 	1.009705e+00 	8.203471e+00 	7.401714e+00 	2.193802e-04 	2.220127e-04 	2.221176e-04 	5.658038e+06 
13 	87161749.966472 	9.994981e-01 	8.180608e+00 	7.378853e+00 	2.216162e-04 	2.242912e-04 	2.243982e-04 	5.480710e+06 
14 	92471423.196084 	9.893955e-01 	8.157904e+00 	7.356152e+00 	2.238655e-04 	2.265835e-04 	2.266925e-04 	5.309673e+06 
15 	97616105.540673 	9.793957e-01 	8.135357e+00 	7.333609e+00 	2.261280e-04 	2.288896e-04 	2.290006e-04 	5.144682e+06 
16 	102601606.814137 	9.694976e-01 	8.112967e+00 	7.311222e+00 	2.284038e-04 	2.312094e-04 	2.313225e-04 	4.985501e+06 
17 	107433511.074398 	9.597002e-01 	8.090731e+00 	7.288989e+00 	2.306928e-04 	2.335429e-04 	2.336582e-04 	4.831904e+06 
18 	112117186.130532 	9.500025e-01 	8.068649e+00 	7.266909e+00 	2.329950e-04 	2.358902e-04 	2.360077e-04 	4.683675e+06 
19 	116657792.621478 	9.404034e-01 	8.046718e+00 	7.244981e+00 	2.353104e-04 	2.382512e-04 	2.383710e-04 	4.540606e+06 
20 	121060292.686760 	9.309020e-01 	8.024937e+00 	7.223203e+00 	2.376391e-04 	2.406260e-04 	2.407480e-04 	4.402500e+06 
21 	125329458.248709 	9.214971e-01 	8.003304e+00 	7.201573e+00 	2.399809e-04 	2.430146e-04 	2.431388e-04 	4.269166e+06 
22 	129469878.924596 	9.121879e-01 	7.981819e+00 	7.180090e+00 	2.423360e-04 	2.454168e-04 	2.455433e-04 	4.140421e+06 
23 	133485969.586252 	9.029733e-01 	7.960479e+00 	7.158753e+00 	2.447042e-04 	2.478328e-04 	2.479616e-04 	4.016091e+06 
24 	137381977.583842 	8.938525e-01 	7.939283e+00 	7.137560e+00 	2.470856e-04 	2.502625e-04 	2.503937e-04 	3.896008e+06 
25 	141161989.649600 	8.848243e-01 	7.918230e+00 	7.116510e+00 	2.494802e-04 	2.527059e-04 	2.528395e-04 	3.780012e+06 
26 	144829938.496562 	8.758879e-01 	7.897318e+00 	7.095601e+00 	2.518880e-04 	2.551631e-04 	2.552991e-04 	3.667949e+06 
27 	148389609.126682 	8.670423e-01 	7.876547e+00 	7.074832e+00 	2.543089e-04 	2.576339e-04 	2.577724e-04 	3.559671e+06 
28 	151844644.861821 	8.582866e-01 	7.855914e+00 	7.054202e+00 	2.567430e-04 	2.601184e-04 	2.602595e-04 	3.455036e+06 
29 	155198553.110597 	8.496199e-01 	7.835418e+00 	7.033709e+00 	2.591902e-04 	2.626167e-04 	2.627603e-04 	3.353908e+06 
30 	158454710.883371 	8.410412e-01 	7.815058e+00 	7.013351e+00 	2.616505e-04 	2.651286e-04 	2.652748e-04 	3.256158e+06 
31 	161616370.067072 	8.325497e-01 	7.794832e+00 	6.993129e+00 	2.641239e-04 	2.676543e-04 	2.678030e-04 	3.161659e+06 
